MTS,Open,Close,High,Low,Volume
2019-02-04,0.065385,0.066921,0.066989,0.06018,20059.32891551
2019-02-05,0.066621,0.064513,0.066978,0.061311,1680.90840019
2019-02-06,0.064539,0.064,0.064994,0.054359,139735.0218681
2019-02-07,0.063936,0.06482,0.07,0.052486,81050.35924775
2019-02-08,0.064202,0.066414,0.072178,0.064202,13402.909673690001
2019-02-09,0.065003,0.07,0.07,0.060667,6605.36573147
2019-02-10,0.068817,0.072,0.072255,0.068817,28211.143717580002
2019-02-11,0.070007,0.067961,0.074198,0.067961,1094.37054523
2019-02-12,0.072989,0.074198,0.074198,0.068551,16464.48681515
2019-02-13,0.06856,0.068712,0.068712,0.065001,12109.31664196
2019-02-14,0.066,0.06501,0.066,0.065,28838.7705
2019-02-15,0.067001,0.067,0.067001,0.067,529.0
2019-02-16,0.065,0.065,0.065,0.065,162.0
2019-02-17,0.067989,0.068235,0.068235,0.065001,1371.80230604
2019-02-18,0.068235,0.073489,0.076386,0.068235,101737.41995946
2019-02-19,0.0737,0.0737,0.0749,0.071049,49448.11982393
2019-02-20,0.0737,0.07899,0.07899,0.0705,23323.53535682
2019-02-21,0.07839,0.10233,0.12,0.07688,284945.17221349
2019-02-22,0.10238,0.11555,0.11555,0.1,41218.44644136
2019-02-23,0.11986,0.11275,0.1238,0.10443,26547.27222354
2019-02-24,0.11867,0.11398,0.12,0.1,39483.39825498
2019-02-25,0.10503,0.105,0.10989,0.095,57155.96385476
2019-02-26,0.105,0.1021,0.10994,0.102,60613.57262916
2019-02-27,0.10204,0.102,0.106,0.102,11550.14070225
2019-02-28,0.102,0.10199,0.10203,0.1019,3762.29837119
2019-03-01,0.10611,0.10407,0.10999,0.10407,5149.23397854
2019-03-02,0.11,0.113,0.113,0.11,35473.52972508
2019-03-03,0.1188,0.1188,0.1188,0.1188,1060.60606052
