MTS,Open,Close,High,Low,Volume
2019-02-04,1.8428,1.8397,1.8557,1.832,2394.65555272
2019-02-05,1.8344,1.8273,1.8441,1.8154,2595.08103042
2019-02-06,1.8312,1.7542,1.8312,1.7299,6429.54471228
2019-02-07,1.7659,1.788,1.8172,1.7576,3138.49546592
2019-02-08,1.7848,1.9572,2.004,1.77,25509.332022309998
2019-02-09,1.9767,1.9601,2.0064,1.9585,4269.2256895400005
2019-02-10,1.9442,1.9732,1.9888,1.9141,1738.98111347
2019-02-11,1.9906,1.9475,1.9906,1.9001,4530.7724314
2019-02-12,1.9227,1.9807,2.0099,1.9163,4199.38707853
2019-02-13,1.9881,1.9531,1.9957,1.9502,1514.119582
2019-02-14,1.9531,1.9381,1.9551,1.916,2052.88774397
2019-02-15,1.9116,1.9439,1.9872,1.9116,2243.54271629
2019-02-16,1.9439,1.9771,2.0239,1.9439,5360.19927176
2019-02-17,1.98,2.0184,2.0531,1.9557,3657.11372358
2019-02-18,1.9983,2.1881,2.2286,1.9983,15080.13823713
2019-02-19,2.2184,2.2033,2.2435,2.1249,4004.5049826
2019-02-20,2.1325,2.1861,2.2037,2.1001,2314.31800655
2019-02-21,2.175,2.0985,2.2264,2.0727,6327.00032168
2019-02-22,2.1108,2.144,2.1455,2.1061,1755.1235350700001
2019-02-23,2.1713,2.41,2.5,2.1713,19868.51639641
2019-02-24,2.4379,2.0995,2.4959,2.05,17829.24743359
2019-02-25,2.0896,2.1328,2.1777,2.0523,14495.14621537
2019-02-26,2.1328,2.107,2.1451,2.02,11644.87091722
2019-02-27,2.0847,2.13,2.1458,2.0643,7052.38675834
2019-02-28,2.1108,2.1083,2.2,2.0864,16664.16530238
2019-03-01,2.1172,2.1707,2.2299,2.1172,9466.96884354
2019-03-02,2.1678,2.1086,2.1796,2.0901,2533.35501216
2019-03-03,2.1028,2.0907,2.1228,2.0901,1180.79711438
