MTS,open,close,high,low,volume
2018-07-25,0.050039,0.044102,0.050999,0.0441,57592.82711512
2018-07-26,0.0498,0.0425,0.049889,0.0425,28863.08651669
2018-07-27,0.046,0.042012,0.0493,0.042012,23999.39112948
2018-07-28,0.049,0.048888,0.049,0.043,1765.60402205
2018-07-29,0.047779,0.050777,0.050777,0.0432,18114.00152824
2018-07-30,0.044311,0.044741,0.051,0.0435,63588.26931667
2018-07-31,0.04472,0.043,0.0488,0.043,62249.81040799
2018-08-01,0.04203,0.040001,0.047799,0.04,53659.84837327
2018-08-02,0.040608,0.03631,0.046873,0.03631,273486.22314588
2018-08-03,0.0362,0.0331,0.042344,0.0331,55616.32688037
2018-08-04,0.034058,0.035,0.03852,0.030988,85640.30390138
2018-08-05,0.036668,0.03684,0.038198,0.036668,22177.1033
2018-08-06,0.03778,0.0321,0.037999,0.032029,10760.846
2018-08-07,0.037,0.032,0.037,0.032,26535.41232027
2018-08-08,0.032,0.027006,0.0358,0.027006,132606.31013335
2018-08-09,0.02671,0.026712,0.030199,0.02671,9992.66353778
2018-08-10,0.033145,0.0252,0.03475,0.0252,69840.69132709
2018-08-11,0.025203,0.0298,0.029993,0.021137,26629.13697232
2018-08-12,0.025771,0.023,0.025771,0.022006,368287.96933004
2018-08-13,0.023021,0.020503,0.023031,0.019982,279667.28170113
2018-08-14,0.018655,0.016001,0.0235,0.015671,410191.92908029
2018-08-15,0.023219,0.025999,0.028999,0.016013,92086.00243148
2018-08-16,0.01821,0.01851,0.024619,0.0178,138564.95062895
