MTS,Open,Close,High,Low,Volume
2019-01-20,0.192,0.2,0.2,0.192,336.82166087
2019-01-22,0.2,0.20147,0.21,0.2,3929.09908638
2019-01-23,0.201,0.26045,0.26045,0.201,521.83641883
2019-01-24,0.192,0.25272,0.25273,0.185,667.09374684
2019-01-25,0.2473,0.24002,0.26998,0.22816,3777.3769923
2019-01-26,0.23413,0.23413,0.23413,0.23413,120.0
2019-01-27,0.26808,0.26993,0.27,0.23856,4182.17399574
2019-01-28,0.23819,0.21842,0.23959,0.21842,1166.90620042
2019-01-30,0.2251,0.3,0.3,0.2251,14161.27624318
2019-01-31,0.28156,0.25345,0.28156,0.25345,559.80489406
2019-02-04,0.235,0.27197,0.27197,0.235,605.42774636
2019-02-06,0.23273,0.23273,0.23273,0.23273,581.0
2019-02-07,0.23273,0.24758,0.24758,0.23232,1135.63319211
2019-02-08,0.25052,0.25,0.25974,0.24019,873.5645496699999
2019-02-09,0.25367,0.26507,0.2947,0.25367,5439.18263245
2019-02-10,0.265,0.265,0.265,0.265,6.97486928
2019-02-14,0.211,0.21065,0.211,0.21065,651.00484734
2019-02-18,0.265,0.265,0.265,0.265,114.65546749
2019-02-19,0.265,0.265,0.265,0.265,184.74453251
2019-02-20,0.26568,0.26568,0.26568,0.26568,199.8
2019-02-21,0.29197,0.29197,0.29197,0.29197,73.44660901
2019-02-23,0.2947,0.32879,0.34614,0.2947,11673.58567576
2019-02-24,0.32791,0.25485,0.32791,0.25485,615.57923013
2019-02-25,0.28661,0.30916,0.3499,0.25677,1783.87133201
2019-02-26,0.29466,0.34,0.34,0.29466,739.01908
2019-02-27,0.33627,0.25586,0.35972,0.25586,1739.79271775
2019-02-28,0.30925,0.33784,0.33784,0.30925,255.35301671
2019-03-03,0.35699,0.31371,0.35699,0.31371,143.52758393
