MTS,Open,Close,High,Low,Volume
2019-02-04,0.36,0.3659,0.36789,0.3505,33138.7991886
2019-02-05,0.3658,0.40429,0.40798,0.35759,127800.19766276
2019-02-06,0.39402,0.39056,0.40429,0.3806,67888.89149903
2019-02-07,0.39056,0.38502,0.395,0.3806,13392.8058359
2019-02-08,0.38062,0.46375,0.5,0.38062,349477.62596093
2019-02-09,0.46375,0.44421,0.48,0.44295,27337.95811837
2019-02-10,0.45158,0.47567,0.47567,0.44512,16870.42838377
2019-02-11,0.47567,0.4511,0.483,0.4511,26043.533161
2019-02-12,0.452,0.47388,0.47388,0.45073,25448.60252417
2019-02-13,0.4739,0.4521,0.47478,0.45111,25099.7383378
2019-02-14,0.46954,0.4666,0.47484,0.45073,44555.68898609
2019-02-15,0.45107,0.46232,0.49488,0.45104,17079.01530986
2019-02-16,0.4621,0.4562,0.48261,0.4562,61022.7833611
2019-02-17,0.472,0.4715,0.4797,0.46011,15830.01349203
2019-02-18,0.47145,0.50644,0.525,0.47,121627.37071973
2019-02-19,0.50721,0.5263,0.54466,0.5011,96221.58617142
2019-02-20,0.5263,0.527,0.53896,0.5258,42615.59283383
2019-02-21,0.53183,0.53065,0.544,0.5282,26958.86585542
2019-02-22,0.5394,0.5427,0.54608,0.53068,26994.33572327
2019-02-23,0.5337,0.562,0.5777,0.53077,74608.73619417001
2019-02-24,0.5699,0.51704,0.5699,0.51704,96294.9997272
2019-02-25,0.51704,0.5201,0.5377,0.515,62787.76598204
2019-02-26,0.5201,0.5268,0.53,0.5019,63251.07239817
2019-02-27,0.50455,0.52836,0.54,0.5031,23682.00943635
2019-02-28,0.5162,0.52101,0.53288,0.50651,3195.69413028
2019-03-01,0.5222,0.52,0.533,0.52,3563.47706171
2019-03-02,0.52,0.52586,0.531,0.52,7472.71753826
2019-03-03,0.52423,0.40004,0.53257,0.40001,109164.98142012
