MTS,Open,Close,High,Low,Volume
2019-01-30,0.011888,0.011685,0.011888,0.011685,151020.59295551002
2019-01-31,0.011685,0.011395,0.012448,0.011394,131145.26573731
2019-02-01,0.011394,0.012199,0.012199,0.011,91319.38959453
2019-02-02,0.011011,0.01068,0.011011,0.01068,87075.32678314
2019-02-03,0.01068,0.0108,0.011703,0.01068,25734.154930020002
2019-02-04,0.011,0.0108,0.011,0.0108,1734.2640000000001
2019-02-05,0.0108,0.0108,0.0108,0.0108,286.713
2019-02-06,0.01096,0.01205,0.01205,0.010619,95555.88505866
2019-02-07,0.01205,0.01063,0.01205,0.01063,2298.0
2019-02-08,0.011,0.0119,0.013009,0.011,164930.66607621
2019-02-09,0.012804,0.011521,0.012804,0.011521,1926.0
2019-02-10,0.011532,0.011521,0.011532,0.011521,20445.64245447
2019-02-12,0.01108,0.011044,0.012385,0.01062,115752.76505958
2019-02-14,0.010888,0.010777,0.010888,0.010777,2874.24
2019-02-17,0.012,0.013364,0.013364,0.011089,79006.23136399999
2019-02-18,0.013361,0.01356,0.01356,0.011309,163125.29229384
2019-02-19,0.01356,0.013651,0.013651,0.0118,23653.367327059997
2019-02-21,0.0126,0.0126,0.0126,0.0126,3578.77273381
2019-02-22,0.0126,0.012,0.01365,0.012,22523.5635147
2019-02-23,0.0116,0.0135,0.0135,0.011,14793.036922439998
2019-02-24,0.012333,0.010711,0.012956,0.010711,124796.14945642
2019-02-25,0.011989,0.010001,0.011989,0.010001,4405.553
2019-02-26,0.010001,0.010126,0.011111,0.01,90801.32112691
2019-02-27,0.010126,0.01,0.010126,0.01,22395.79450952
2019-02-28,0.00926,0.0091,0.012,0.0091,29035.96468185
2019-03-01,0.0094999,0.0096989,0.0096989,0.00932,11302.27659557
2019-03-02,0.0096978,0.0096978,0.0096978,0.0096978,527.14088987
2019-03-03,0.0095011,0.0095,0.0095011,0.0095,7241.19133574
