MTS,Open,Close,High,Low,Volume
2019-02-04,43.463,43.134,43.68,42.509,5159.59620764
2019-02-05,43.135,43.844,44.171,43.029,8652.92564967
2019-02-06,43.844,43.705,43.999,42.548,12486.11955315
2019-02-07,43.688,43.711,44.369,43.193,11511.35576307
2019-02-08,43.712,48.958,50.69,43.669,30922.339031479998
2019-02-09,48.911,49.082,49.674,48.448,8506.69751454
2019-02-10,49.083,50.57,50.571,47.457,10354.8105506
2019-02-11,50.55,48.68,50.586,47.605,16642.36736984
2019-02-12,48.608,49.721,50.226,47.755,6449.24541776
2019-02-13,49.68,49.65,51.4,49.419,19970.68751163
2019-02-14,49.62,47.25,50.146,46.41,26922.46772698
2019-02-15,47.242,47.873,49.247,47.0,12840.19983225
2019-02-16,47.977,47.324,49.341,47.324,5679.84355297
2019-02-17,47.333,48.658,49.013,47.263,8966.12033048
2019-02-18,48.659,52.176,52.885,48.503,18992.09821535
2019-02-19,52.18,52.581,54.29,51.749,22335.05080359
2019-02-20,52.465,52.656,53.413,50.861,20623.53153968
2019-02-21,52.651,50.523,52.683,50.163,9241.71401557
2019-02-22,50.523,52.632,52.73,50.523,6220.24400305
2019-02-23,52.644,54.991,55.623,51.545,20679.40420246
2019-02-24,54.994,48.212,56.8,48.175,38022.88304841
2019-02-25,48.247,49.606,49.998,48.244,9588.04693493
2019-02-26,49.587,49.1,49.651,48.562,7708.10115539
2019-02-27,49.066,49.82,49.82,48.211,11113.21850135
2019-02-28,49.886,48.824,50.446,48.71,11423.27626938
2019-03-01,48.812,49.44,49.909,48.528,4286.37536848
2019-03-02,49.434,49.659,49.738,48.49,5147.87227806
2019-03-03,49.692,49.633,50.0,49.142,2624.86636439
