MTS,Open,Close,High,Low,Volume
2019-02-04,0.3057,0.30148,0.30939,0.29816,12609726.62691216
2019-02-05,0.30148,0.3034,0.30604,0.29918,8865283.80617264
2019-02-06,0.3037,0.29389,0.30462,0.291,16115222.13573606
2019-02-07,0.2939,0.29497,0.29896,0.29381,8770055.03091001
2019-02-08,0.295,0.31746,0.3259,0.29266,35702296.21457618
2019-02-09,0.31744,0.31724,0.32144,0.31201,12435908.193193961
2019-02-10,0.317,0.31558,0.31731,0.30366,14936775.98517161
2019-02-11,0.31558,0.30694,0.31559,0.30601,11515779.77327772
2019-02-12,0.30717,0.31086,0.31428,0.301,16953693.9278956
2019-02-13,0.31086,0.30905,0.3189,0.30535,20552439.40773595
2019-02-14,0.30906,0.30643,0.31157,0.30537,9323248.16085166
2019-02-15,0.30642,0.3069,0.31292,0.30338,12568288.6481712
2019-02-16,0.3069,0.30565,0.3095,0.30459,8799997.02932239
2019-02-17,0.3055,0.3085,0.315,0.30149,20476633.73076193
2019-02-18,0.3085,0.32855,0.33753,0.30658,52550431.21536114
2019-02-19,0.32872,0.32906,0.35499,0.32564,54699268.56344882
2019-02-20,0.32904,0.33767,0.34216,0.32363,25221858.88609427
2019-02-21,0.3377,0.32649,0.34118,0.32277,24077384.48786951
2019-02-22,0.3266,0.32841,0.33111,0.32018,22824403.48317727
2019-02-23,0.32861,0.34046,0.34291,0.32402,26247498.44370514
2019-02-24,0.34042,0.30391,0.35178,0.29952,61148561.75213652
2019-02-25,0.3039,0.33533,0.34744,0.30374,52833614.60985766
2019-02-26,0.33533,0.32371,0.34277,0.32024,31266644.53067507
2019-02-27,0.3238,0.3177,0.32723,0.30557,28917535.46334011
2019-02-28,0.31754,0.3208,0.32532,0.31412,24284916.38339356
2019-03-01,0.3205,0.3233,0.33192,0.3187,20152114.20507244
2019-03-02,0.3233,0.3214,0.3252,0.3168,13034583.36851457
2019-03-03,0.3213,0.3164,0.32299,0.31398,10475030.41606754
