MTS,Open,Close,High,Low,Volume
2019-02-04,48.792,48.893,49.101,48.5,3038.16166641
2019-02-05,48.895,48.947,49.1,48.5,1982.94981167
2019-02-06,48.763,47.051,48.847,46.0,9054.14670625
2019-02-07,47.091,47.152,47.97,46.995,2331.75994214
2019-02-08,47.24,50.707,54.0,47.04,17619.06139394
2019-02-09,50.631,50.693,52.135,50.091,8231.17875633
2019-02-10,50.654,51.143,51.579,49.577,7153.7307935
2019-02-11,51.312,51.897,52.423,49.812,9149.16926574
2019-02-12,52.02,54.517,54.898,51.034,17789.64657792
2019-02-13,54.578,53.408,56.631,52.828,21521.9996698
2019-02-14,53.593,52.171,54.368,52.152,5258.56084496
2019-02-15,52.173,51.415,52.779,51.356,7271.1438591099995
2019-02-16,51.469,52.229,52.587,51.469,2566.76396006
2019-02-17,52.247,52.917,53.06,51.356,7351.22502339
2019-02-18,52.919,55.7,57.329,52.552,39817.540251290004
2019-02-19,55.664,55.251,57.829,55.008,16368.1376657
2019-02-20,55.362,55.76,56.855,54.185,7319.85812278
2019-02-21,55.652,54.1,56.813,53.504,11536.62081527
2019-02-22,53.952,54.604,56.832,53.951,9462.8198591
2019-02-23,54.608,57.706,57.805,54.0,19369.76949701
2019-02-24,57.825,52.228,60.0,50.759,38532.47271667
2019-02-25,52.226,53.3,53.986,51.882,7983.40402923
2019-02-26,53.229,53.048,53.638,52.379,6333.97761327
2019-02-27,53.067,53.084,53.49,50.801,9097.18177352
2019-02-28,53.229,52.187,53.777,51.646,10455.26657402
2019-03-01,52.26,53.174,53.331,52.105,4002.25879423
2019-03-02,52.975,52.366,53.396,50.758,4834.39673844
2019-03-03,52.378,51.189,52.546,51.019,2285.14863915
