MTS,open,close,high,low,volume
2018-07-01 03:00:00,25.423,25.653,25.653,25.423,1384.89986224
2018-07-01 04:00:00,25.654,25.804,25.805,25.52,536.03305703
2018-07-01 05:00:00,25.812,25.83,25.94,25.648,931.69160092
2018-07-01 06:00:00,25.997,25.85,26.054,25.723,288.64237992
2018-07-01 07:00:00,25.735,25.843,25.85,25.711,123.24189305
2018-07-01 08:00:00,25.843,25.914,25.951,25.804,69.457
2018-07-01 09:00:00,25.9,26.102,26.188,25.892,922.00898433
2018-07-01 10:00:00,26.17,26.096,26.178,25.894,671.74402643
2018-07-01 11:00:00,26.075,26.2,26.249,26.075,212.62984055
2018-07-01 12:00:00,26.21,25.96,26.238,25.96,286.70038558
2018-07-01 13:00:00,25.964,25.972,26.161,25.91,875.76492721
2018-07-01 14:00:00,25.98,25.535,26.039,25.535,807.61605656
2018-07-01 15:00:00,25.697,25.85,25.897,25.482,1172.74758151
2018-07-01 16:00:00,25.805,25.718,25.812,25.674,408.87986142
2018-07-01 17:00:00,25.834,26.03,26.089,25.768,1026.1361005
2018-07-01 18:00:00,26.001,26.0,26.076,25.91,224.79835082
2018-07-01 19:00:00,26.001,26.12,26.12,25.874,629.74421023
2018-07-01 20:00:00,26.237,26.322,26.717,26.011,1681.85089051
2018-07-01 21:00:00,26.219,26.13,26.219,25.967,618.09234319
2018-07-01 22:00:00,26.132,26.34,26.34,26.13,59.62637245
2018-07-01 23:00:00,26.35,26.607,26.88,26.35,1154.63360917
2018-07-02 00:00:00,26.788,26.505,26.791,26.4,169.2591979
2018-07-02 01:00:00,26.559,26.495,26.588,26.397,97.36641885
2018-07-02 02:00:00,26.348,26.412,26.572,26.297,188.54482154
2018-07-02 03:00:00,26.444,26.439,26.545,26.349,183.62320637
2018-07-02 04:00:00,26.413,26.253,26.545,26.14,244.26790696
2018-07-02 05:00:00,26.35,26.81,26.9,26.35,2245.07309024
2018-07-02 06:00:00,26.8,26.767,26.8,26.474,897.5271922
2018-07-02 07:00:00,26.761,26.5,26.766,26.32,753.09187051
2018-07-02 08:00:00,26.5,26.7,26.7,26.464,2263.60768219
2018-07-02 09:00:00,26.7,26.6,26.798,26.576,408.58279838
2018-07-02 10:00:00,26.6,28.152,28.152,26.6,6203.35782306
2018-07-02 11:00:00,27.985,27.703,29.4,27.6,6977.76582326
2018-07-02 12:00:00,27.691,27.42,27.699,27.42,2253.77524311
2018-07-02 13:00:00,27.411,28.756,29.586,27.411,7658.66763547
2018-07-02 14:00:00,28.768,28.801,29.424,28.745,3300.41978808
2018-07-02 15:00:00,28.741,29.005,29.286,28.741,1221.95461305
2018-07-02 16:00:00,29.0,28.805,29.154,28.687,1355.58062698
2018-07-02 17:00:00,28.846,29.136,29.136,28.846,693.32985897
2018-07-02 18:00:00,29.12,29.217,29.522,29.12,1724.46218559
2018-07-02 19:00:00,29.263,29.011,29.7,28.911,4582.27567998
2018-07-02 20:00:00,29.092,29.374,29.374,29.05,410.25575781
2018-07-02 21:00:00,29.393,30.45,30.45,29.393,3093.53130552
2018-07-02 22:00:00,30.401,29.713,30.481,29.54,2316.10422257
2018-07-02 23:00:00,29.681,29.17,29.879,29.165,1382.08688278
2018-07-03 00:00:00,29.172,29.11,29.319,28.951,851.08981462
2018-07-03 01:00:00,29.142,29.424,29.424,29.01,820.33847969
2018-07-03 02:00:00,29.502,30.121,30.333,29.28,3376.50805854
2018-07-03 03:00:00,30.137,30.688,31.222,30.106,3475.67269986
