MTS,Open,Close,High,Low,Volume
2019-02-03 11:00:00,7.1833,7.158,7.2066,7.158,1598.19034479
2019-02-03 12:00:00,7.1539,7.133,7.154,7.1076,6766.90241706
2019-02-03 13:00:00,7.1325,7.1577,7.1697,7.1325,1396.18150986
2019-02-03 14:00:00,7.1555,7.1335,7.1555,7.1321,446.19188339
2019-02-03 15:00:00,7.1335,7.0893,7.1335,7.0713,14237.90099732
2019-02-03 16:00:00,7.0874,7.1325,7.1325,7.0874,3446.14853979
2019-02-03 17:00:00,7.1248,7.1202,7.1265,7.1128,1812.79889829
2019-02-03 18:00:00,7.1205,7.1348,7.1408,7.1204,1522.75778794
2019-02-03 19:00:00,7.1348,7.0812,7.1717,7.0463,7975.63108479
2019-02-03 20:00:00,7.0878,7.0714,7.0986887,7.0403,5980.2802222
2019-02-03 21:00:00,7.0585,7.0668,7.079,7.0338,4245.90578523
2019-02-03 22:00:00,7.0747,7.0837,7.0837,7.03,2197.3719423000002
2019-02-03 23:00:00,7.0837,7.09968089,7.1,7.07717154,1287.92179883
2019-02-04 00:00:00,7.0999,7.0852,7.1,7.0852,565.09573385
2019-02-04 01:00:00,7.0853,7.0784,7.0853,7.0727,1155.19720573
2019-02-04 02:00:00,7.0782,7.0848,7.09,7.078,1931.55492085
2019-02-04 03:00:00,7.0848,7.0934,7.1014,7.0847,1801.43723459
2019-02-04 04:00:00,7.0943,7.1045,7.1046,7.0943,203.84664896
2019-02-04 05:00:00,7.1045,7.0924,7.1045,7.0924,875.31828605
2019-02-04 06:00:00,7.0926,7.1,7.1,7.0926,924.13744354
2019-02-04 07:00:00,7.10458938,7.1155,7.1156,7.10458938,518.74775651
2019-02-04 08:00:00,7.1155796,7.1662,7.2363,7.1045,8138.01247683
2019-02-04 09:00:00,7.1662,7.1951,7.21837623,7.128,10078.17682134
2019-02-04 10:00:00,7.1798,7.1947,7.1947,7.1587,935.20794316
2019-02-04 11:00:00,7.1947,7.1345,7.1947,7.1324,1543.76942766
2019-02-04 12:00:00,7.1205974,7.1777,7.1797,7.1205974,2009.0017935
2019-02-04 13:00:00,7.178,7.1929,7.198,7.175,840.88805685
2019-02-04 14:00:00,7.1986,7.1497,7.1999,7.1497,862.3060218
2019-02-04 15:00:00,7.16342382,7.1049,7.16342382,7.1049,2231.49787065
2019-02-04 16:00:00,7.105,7.1562,7.1562,7.105,824.62888222
2019-02-04 17:00:00,7.1552,7.1107,7.1553,7.0979,2364.82881519
2019-02-04 18:00:00,7.1107,7.132,7.1419,7.1013,2095.88128558
2019-02-04 19:00:00,7.1273,7.1302,7.14,7.1172,346.31269045
2019-02-04 20:00:00,7.13,7.0986,7.1358,7.0947,1541.50218223
2019-02-04 21:00:00,7.0985,7.1134,7.1294,7.0949,1573.0734381
2019-02-04 22:00:00,7.10416,7.1032,7.1132,7.1029,1514.7794152
2019-02-04 23:00:00,7.1201,7.1029,7.1317,7.1029,658.06631132
2019-02-05 00:00:00,7.103,7.1163,7.1163,7.103,1255.97235731
2019-02-05 01:00:00,7.1163,7.1459,7.1459,7.1163,1402.06362795
2019-02-05 02:00:00,7.1417,7.1366,7.1458,7.1111,1068.72783784
2019-02-05 03:00:00,7.14,7.1266,7.1499,7.1265,289.24745815
2019-02-05 04:00:00,7.1266,7.1129,7.1266,7.1085,706.37953823
2019-02-05 05:00:00,7.113,7.1155,7.1261,7.1029,1178.18639769
2019-02-05 06:00:00,7.1152,7.0857,7.1461,7.079,5803.20999509
2019-02-05 07:00:00,7.086,7.124,7.1256,7.0857,594.27606072
2019-02-05 08:00:00,7.1178,7.1141,7.1178,7.1094,274.54659966
2019-02-05 09:00:00,7.114,7.152,7.152,7.1113,5089.09640654
2019-02-05 10:00:00,7.1557,7.1586,7.1796,7.1494,2839.33236907
2019-02-05 11:00:00,7.15358224,7.1359,7.1668,7.1352,2059.02213875
2019-02-05 12:00:00,7.1358,7.1436,7.1487,7.1358,822.57852075
2019-02-05 13:00:00,7.1386,7.0856,7.141,7.0856,4217.98856995
2019-02-05 14:00:00,7.0856,7.0584,7.0856,6.9157,66320.00408931
2019-02-05 15:00:00,7.0584,7.068,7.07,7.0423,892.69487845
2019-02-05 16:00:00,7.0683,7.0704,7.0704,7.046,6688.39260158
2019-02-05 17:00:00,7.0704,7.0787,7.0969,7.0671,2636.97036787
2019-02-05 18:00:00,7.0787,7.093,7.0981,7.0764,1817.86684511
2019-02-05 19:00:00,7.0905,7.0947,7.1004,7.0884612,2863.73205706
