MTS,Open,Close,High,Low,Volume
2019-01-03 21:00:00,2.284,2.279,2.2841,2.279,260.0
2019-01-03 22:00:00,2.2628,2.2595,2.2628,2.2575,3738.48817
2019-01-04 00:00:00,2.2593,2.2593,2.2593,2.2593,13.456
2019-01-04 03:00:00,2.29,2.3014,2.3014,2.29,115.0
2019-01-04 04:00:00,2.3,2.293,2.3292,2.293,1027.66089478
2019-01-04 05:00:00,2.3057,2.3052,2.3057,2.3052,459.73335027
2019-01-04 06:00:00,2.3202,2.3227,2.3227,2.3202,432.79487321
2019-01-04 07:00:00,2.3225,2.3086,2.3225,2.3086,108.91177
2019-01-04 08:00:00,2.3027,2.3062,2.3062,2.3027,182.0099
2019-01-04 09:00:00,2.2921,2.2756,2.2922,2.2756,282.63437077
2019-01-04 10:00:00,2.278,2.2766,2.278,2.2766,257.63
2019-01-04 11:00:00,2.2992,2.2812,2.2992,2.2812,14.98
2019-01-04 12:00:00,2.2762,2.2762,2.2762,2.2762,164.3
2019-01-04 13:00:00,2.277,2.28,2.288,2.2768,786.63064127
2019-01-04 14:00:00,2.2771,2.2403,2.28,2.2261,6429.85678216
2019-01-04 15:00:00,2.2358,2.2327,2.2539,2.2327,1369.46525104
2019-01-04 16:00:00,2.2548,2.2643,2.2646,2.2548,377.51593575
2019-01-04 17:00:00,2.2574,2.2671,2.2671,2.2574,24.2
2019-01-04 19:00:00,2.2604,2.2534,2.2604,2.2534,76.00514414
2019-01-04 20:00:00,2.2561,2.2848,2.2859,2.2559,2991.7867363
2019-01-04 21:00:00,2.2862,2.3004,2.3011,2.2862,1248.88365809
2019-01-04 22:00:00,2.2988,2.2963,2.2988,2.2842,1589.345
2019-01-05 00:00:00,2.3335,2.3326,2.3335,2.3298,180.26078412
2019-01-05 01:00:00,2.3268,2.3287,2.3287,2.3264,384.68634
2019-01-05 02:00:00,2.3163,2.3185,2.3185,2.3163,228.2
2019-01-05 03:00:00,2.3186,2.3362,2.3362,2.3186,35.62937524
2019-01-05 06:00:00,2.315,2.2888,2.3151,2.2888,2449.10811
2019-01-05 07:00:00,2.2974,2.2854,2.2974,2.2854,2245.08685
2019-01-05 08:00:00,2.2881,2.3148,2.3176,2.2881,44.03596689
2019-01-05 09:00:00,2.3231,2.3177,2.3377,2.3177,772.27302839
2019-01-05 10:00:00,2.3177,2.3177,2.3177,2.3177,380.79806958
2019-01-05 12:00:00,2.3376,2.3441,2.3441,2.3376,300.0
2019-01-05 14:00:00,2.3186,2.3146,2.324,2.3146,1017.99590438
2019-01-05 15:00:00,2.3294,2.3139,2.3457,2.3139,9303.85849713
2019-01-05 16:00:00,2.314,2.336,2.336,2.2867,1320.90699829
2019-01-05 17:00:00,2.3443,2.346,2.346,2.3443,462.15162925
2019-01-05 18:00:00,2.346,2.3459,2.346,2.3459,174.88566969
2019-01-05 19:00:00,2.3406,2.3458,2.3458,2.3406,276.33035136
2019-01-05 20:00:00,2.3409,2.3409,2.3409,2.3409,10.0
2019-01-05 21:00:00,2.3306,2.3518,2.3518,2.3306,822.93798001
2019-01-05 22:00:00,2.3278,2.29,2.3278,2.29,1991.09809626
2019-01-05 23:00:00,2.3192,2.2932,2.3192,2.2932,290.12
2019-01-06 00:00:00,2.28,2.3,2.3,2.28,130.0
2019-01-06 01:00:00,2.2916,2.2916,2.2916,2.2916,34.0
2019-01-06 02:00:00,2.2725,2.2725,2.2725,2.2725,15.0
2019-01-06 07:00:00,2.276,2.262,2.276,2.262,724.39739
2019-01-06 08:00:00,2.2597,2.2679,2.268,2.2597,624.09114292
2019-01-06 09:00:00,2.2828,2.2709,2.2857,2.2709,283.49565039
2019-01-06 10:00:00,2.2709,2.2863,2.2863,2.2709,29.69404085
2019-01-06 11:00:00,2.3022,2.3022,2.3022,2.3022,308.37945019
2019-01-06 12:00:00,2.2976,2.2992,2.2996,2.2976,344.25214329
2019-01-06 13:00:00,2.2917,2.2847,2.2926,2.2847,1321.18902184
2019-01-06 14:00:00,2.2886,2.2966,2.2966,2.2886,22.17278743
2019-01-06 15:00:00,2.3083,2.3056,2.3084,2.2988,2402.2531543
2019-01-06 16:00:00,2.3437,2.3437,2.3437,2.3437,9.0
2019-01-06 17:00:00,2.3466,2.4553,2.4553,2.3455,487.79181624
2019-01-06 18:00:00,2.4388,2.4485,2.4485,2.4208,3082.23669961
2019-01-06 19:00:00,2.41,2.41,2.41,2.41,99.11166336
2019-01-06 20:00:00,2.4362,2.402,2.4362,2.402,451.71253841
2019-01-06 21:00:00,2.4033,2.403,2.4033,2.4003,813.80921083
2019-01-06 23:00:00,2.4088,2.4088,2.4088,2.4088,20.731
2019-01-07 00:00:00,2.4113,2.4113,2.4113,2.4113,40.0
2019-01-07 01:00:00,2.3928,2.3928,2.3928,2.3928,31.77457065
2019-01-07 02:00:00,2.3833,2.3765,2.3833,2.3765,110.0
2019-01-07 04:00:00,2.3838,2.3838,2.3838,2.3838,11.64965369
2019-01-07 05:00:00,2.3758,2.3758,2.3758,2.3758,7.56710785
2019-01-07 06:00:00,2.37,2.3789,2.3789,2.37,536.82366886
2019-01-07 08:00:00,2.3773,2.3763,2.3851,2.3763,120.61451685
2019-01-07 09:00:00,2.3663,2.3368,2.3663,2.2863,1369.481708
2019-01-07 17:00:00,2.3448,2.3449,2.3449,2.3448,17.56710785
2019-01-07 18:00:00,2.3501,2.56,2.56,2.35,149.745675
2019-01-07 19:00:00,2.35,2.35,2.35,2.35,19.96
2019-01-07 20:00:00,2.3517,2.3517,2.3517,2.3517,26.62973498
2019-01-07 21:00:00,2.3471,2.3471,2.3471,2.3471,6.0021252
2019-01-07 22:00:00,2.3203,2.3203,2.3203,2.3203,203.03731538
2019-01-07 23:00:00,2.3129,2.3285,2.3285,2.3129,177.45761622
2019-01-08 00:00:00,2.3462,2.3321,2.3462,2.3321,37.33906215
2019-01-08 01:00:00,2.3263,2.3315,2.3315,2.3263,68.71588909
2019-01-08 02:00:00,2.3131,2.2957,2.3132,2.2957,2434.08926714
2019-01-08 03:00:00,2.3001,2.3016,2.3016,2.3001,593.72843904
2019-01-08 05:00:00,2.2893,2.2893,2.2893,2.2893,19.44
2019-01-08 06:00:00,2.2962,2.2859,2.2962,2.2859,26.7
2019-01-08 07:00:00,2.3141,2.3021,2.3141,2.3021,15.80129073
2019-01-08 08:00:00,2.3062,2.2915,2.3149,2.2761,1868.3150936
2019-01-08 09:00:00,2.3004,2.3301,2.3301,2.3004,30.83635
2019-01-08 10:00:00,2.3192,2.3195,2.3208,2.3192,1524.2574008
2019-01-08 11:00:00,2.3432,2.3771,2.3867,2.332,131.06351411
2019-01-08 12:00:00,2.3838,2.3613,2.3838,2.3613,202.42869984
2019-01-08 13:00:00,2.3775,2.3889,2.4,2.3774,2282.37683855
2019-01-08 14:00:00,2.3889,2.3931,2.3957,2.3889,704.65237265
2019-01-08 15:00:00,2.4,2.3769,2.4119,2.3769,1030.8280498
2019-01-08 16:00:00,2.3667,2.3667,2.3668,2.3667,496.66330136
2019-01-08 18:00:00,2.3339,2.3339,2.3339,2.3339,233.11203
2019-01-08 20:00:00,2.3515,2.3151,2.3515,2.3151,76.92047551
2019-01-08 21:00:00,2.314,2.314,2.314,2.314,11.0
2019-01-08 22:00:00,2.3096,2.2947,2.3172,2.2929,641.39674
