MTS,open,close,high,low,volume
2018-08-21 06:00:00,93.46,94.257,94.288,93.46,84.32758759
2018-08-21 07:00:00,94.257,94.554,94.648,94.252,190.33636555
2018-08-21 08:00:00,94.4,95.851,95.99,94.4,216.34720169
2018-08-21 09:00:00,95.527,94.75,95.928,94.75,57.60625904
2018-08-21 10:00:00,94.911,95.194,95.195,94.911,14.10632225
2018-08-21 11:00:00,95.303,95.153,95.318,95.152,60.61716402
2018-08-21 12:00:00,95.153,93.828,95.154,93.593,332.20159216
2018-08-21 13:00:00,93.982,92.626,93.982,92.524,104.30781427
2018-08-21 14:00:00,92.54,92.376,92.628,91.49,539.47908011
2018-08-21 15:00:00,92.724,93.11,93.179,92.522,207.60752338
2018-08-21 16:00:00,93.08,95.387,95.389,92.751,226.97407075
2018-08-21 17:00:00,95.389,95.997,95.997,94.302,222.33876685
2018-08-21 18:00:00,95.69,96.407,96.507,95.295,85.35884362
2018-08-21 19:00:00,96.411,95.577,97.119,95.575,475.4938241
2018-08-21 20:00:00,95.603,92.891,95.603,92.57,221.34510455
2018-08-21 21:00:00,92.89,94.449,95.292,92.889,1416.91987935
2018-08-21 22:00:00,94.388,94.461,95.547,94.388,169.7425656
2018-08-21 23:00:00,94.416,94.742,94.742,94.416,45.02033788
2018-08-22 00:00:00,94.685,93.327,94.685,93.327,363.21214528
2018-08-22 01:00:00,93.684,97.36,98.591,93.684,3030.39025914
2018-08-22 02:00:00,98.085,97.042,98.799,96.383,1086.89112978
2018-08-22 03:00:00,97.031,96.723,97.031,96.59,86.87203258
2018-08-22 04:00:00,96.723,96.59,97.046,96.59,107.68230481
2018-08-22 05:00:00,96.594,96.407,96.601,96.28,1416.96986158
2018-08-22 06:00:00,96.408,96.01,96.408,95.88,297.36627095
2018-08-22 07:00:00,96.038,95.236,96.2,95.211,150.50062162
2018-08-22 08:00:00,95.295,95.344,96.034,95.268,135.48852451
2018-08-22 09:00:00,95.357,95.052,95.453,95.013,120.53022335
2018-08-22 10:00:00,94.876,94.809,94.997,94.523,281.53877789
2018-08-22 11:00:00,94.718,94.76,95.034,93.8,623.07342708
2018-08-22 12:00:00,94.814,95.064,95.078,94.814,117.0072378
2018-08-22 13:00:00,94.768,94.932,94.95,94.585,133.50700631
2018-08-22 14:00:00,94.901,94.8,94.901,94.8,1.67922302
