MTS,open,close,high,low,volume
2018-08-18 18:00:00,540.07,548.91,557.95,539.68,1972.41404088
2018-08-18 21:00:00,548.5,553.8,564.98,548.5,2277.29221172
2018-08-19 00:00:00,553.89,552.12,554.24,541.85,1253.36280671
2018-08-19 03:00:00,552.12,557.33,562.09,539.74,1907.46606738
2018-08-19 06:00:00,557.32,553.1,561.56,548.29,670.35592439
2018-08-19 09:00:00,553.11,574.13,579.64,550.89,2628.73629179
2018-08-19 12:00:00,573.45,571.6,583.0,566.34,3515.33563732
2018-08-19 15:00:00,571.59,560.22,572.42,554.44,3810.93932643
2018-08-19 18:00:00,560.21,574.91,579.55,557.42,2682.52006787
2018-08-19 21:00:00,575.03,570.95,577.26,567.12,1282.53470676
2018-08-20 00:00:00,570.62,572.73,576.76,569.69,1039.83031274
2018-08-20 03:00:00,572.79,566.0,573.0,561.76,1237.67249205
2018-08-20 06:00:00,565.62,542.0,567.32,542.0,2827.70941453
2018-08-20 09:00:00,541.99,551.7,553.99,535.0,3103.85961274
2018-08-20 12:00:00,551.7,547.97,554.9,538.13,2005.79712681
2018-08-20 15:00:00,547.77,545.65,556.46,542.25,1625.57616573
2018-08-20 18:00:00,545.59,543.6,549.42,540.9,1329.03462994
2018-08-20 21:00:00,543.6,513.17,543.9,506.42,12936.1924663
2018-08-21 00:00:00,513.18,519.0,523.85,510.32,2748.54019603
2018-08-21 03:00:00,519.0,520.24,521.87,517.0,1191.42201121
