MTS,Open,Close,High,Low,Volume
2019-02-03 15:00:00,9.9702,9.931,9.9702,9.931,512.9866295
2019-02-03 18:00:00,9.931,9.8439,9.931,9.8158,564.81039139
2019-02-03 21:00:00,9.8274,9.8356,9.8356,9.773,485.6473978
2019-02-04 00:00:00,9.8122,9.7702,9.88,9.7702,1676.07195712
2019-02-04 03:00:00,9.7702,9.8346,9.8346,9.7702,330.45688675
2019-02-04 06:00:00,9.8283,9.7941,9.8633,9.7941,123.83974028
2019-02-04 09:00:00,9.8065,9.8085,9.8092,9.79,396.37889803
2019-02-04 12:00:00,9.7977,9.8947,10.025,9.7586,944.9254199
2019-02-04 15:00:00,9.8364,9.8356,9.8914,9.7623,683.2092656
2019-02-04 18:00:00,9.8276,10.011,10.15,9.8172,3920.57854062
2019-02-04 21:00:00,10.043,9.8497,10.043,9.8133,510.01979087
2019-02-05 00:00:00,9.8014,9.7692,9.8169,9.737,420.28657952
2019-02-05 03:00:00,9.7588,9.7074,9.7965,9.659,723.30929743
2019-02-05 06:00:00,9.7161,9.659,9.7165,9.659,293.06411502
2019-02-05 09:00:00,9.659,9.6976,9.721,9.659,796.45758185
2019-02-05 12:00:00,9.6678,9.6658,9.6966,9.6657,275.63069232
2019-02-05 15:00:00,9.6657,9.659,9.6817,9.659,1431.4279153700002
2019-02-05 18:00:00,9.659,9.714,9.7163,9.659,33.61037193
2019-02-05 21:00:00,9.6635,9.666,9.6773,9.6596,605.3410000599999
2019-02-06 00:00:00,9.7021,9.4049,9.7021,9.3966,3546.61978588
2019-02-06 03:00:00,9.4,9.28,9.4,9.2779,1450.39472271
2019-02-06 06:00:00,9.28,9.276,9.3244,9.2759,590.45407813
2019-02-06 09:00:00,9.3418,9.2696,9.3894,9.2696,457.42821884
2019-02-06 12:00:00,9.2838,9.2888,9.3099,9.257,122.96266133
2019-02-06 15:00:00,9.2654,9.4695,9.5254,9.2654,1635.7176079399999
2019-02-06 18:00:00,9.3943,9.4061,9.456,9.3665,416.00877054
2019-02-06 21:00:00,9.4272,9.33,9.4273,9.3254,910.06689446
2019-02-07 00:00:00,9.3516,9.4343,9.4343,9.325,336.31867089
2019-02-07 03:00:00,9.4343,9.5041,9.5041,9.4343,621.6017792
2019-02-07 06:00:00,9.5118,9.4323,9.5119,9.3917,839.71624178
2019-02-07 09:00:00,9.4739,9.577,9.6077,9.4616,1216.25496782
2019-02-07 12:00:00,9.6176,9.576,9.6387,9.576,554.03941549
2019-02-07 15:00:00,9.576,9.5927,9.6237,9.5352,229.31565805
2019-02-07 18:00:00,9.5628,9.484,9.5628,9.4727,1654.77395184
