MTS,open,close,high,low,volume
2018-09-25 03:00:00,191.95,191.63,194.03,190.82,534.69380303
2018-09-25 06:00:00,191.74,186.27,191.85,183.56,2955.16155849
2018-09-25 09:00:00,186.07,181.69,187.78,180.0,1494.92727308
2018-09-25 12:00:00,181.72,183.73,184.96,181.46,567.96809968
2018-09-25 15:00:00,183.35,182.45,185.05,181.68,983.00687402
2018-09-25 18:00:00,182.38,184.39,185.0,181.1,661.81835187
2018-09-25 21:00:00,184.18,189.94,190.84,184.05,937.44295752
2018-09-26 00:00:00,190.53,184.89,190.53,184.72,620.40793917
2018-09-26 03:00:00,184.7,188.69,189.41,184.21,367.70365196
2018-09-26 06:00:00,188.79,188.65,189.88,187.19,321.68282128
2018-09-26 09:00:00,188.65,187.61,190.16,186.63,799.42279149
2018-09-26 12:00:00,188.19,189.44,189.75,184.64,823.09327267
2018-09-26 15:00:00,189.37,191.33,193.72,188.37,1656.53365509
2018-09-26 18:00:00,191.29,189.53,191.72,188.21,470.90381248
2018-09-26 21:00:00,189.52,183.52,189.52,183.04,593.21608129
2018-09-27 00:00:00,183.51,186.92,187.26,183.07,572.15362029
2018-09-27 03:00:00,186.88,186.44,189.0,186.41,273.29838844
2018-09-27 06:00:00,186.84,183.8,186.84,183.39,378.65901091
