MTS,open,close,high,low,volume
2018-08-17 09:00:00,4.8201,4.8276,4.9769,4.74350145,1369981.05167166
2018-08-17 12:00:00,4.826,4.83,4.909,4.7825,601814.38758431
2018-08-17 15:00:00,4.83,5.225,5.3245,4.8141,3023011.97153194
2018-08-17 18:00:00,5.2251,5.1659,5.2471,5.1261,1010961.6113623
2018-08-17 21:00:00,5.1659,5.5819,5.59,5.1658,3086289.21642162
2018-08-18 00:00:00,5.582,5.365,5.65,5.365,1928000.13003511
2018-08-18 03:00:00,5.365,5.3727,5.4643,5.3057,993687.96217826
2018-08-18 06:00:00,5.373,5.3169,5.3799,5.1739,1878314.80531925
2018-08-18 09:00:00,5.3126,5.3944,5.45,5.2625,924394.24640615
2018-08-18 12:00:00,5.387,5.0776,5.4362,5.05,2265398.86142482
2018-08-18 15:00:00,5.0768,4.8901,5.0785,4.8121,2625083.17130809
