MTS,Open,Close,High,Low,Volume
2019-01-05 00:00:00,158.71,164.48,167.0,158.51,123596.65041928
2019-01-05 03:00:00,164.5,165.2071993,166.0,163.84,30438.45125454
2019-01-05 06:00:00,165.2071993,161.44,165.28,160.0,55869.98750058
2019-01-05 09:00:00,161.4,162.74,163.74,159.44,32967.83508433
2019-01-05 12:00:00,162.74,161.49,164.01,160.47,32781.25769323
2019-01-05 15:00:00,161.48473926,161.09,163.93,158.43,83159.59520866
2019-01-05 18:00:00,161.08,161.5,162.69,160.2,29987.45231591
2019-01-05 21:00:00,161.49395327,158.32,162.61,155.0,112025.08340036
2019-01-06 00:00:00,158.36,154.7,159.64,152.59,96686.45824231
2019-01-06 03:00:00,154.69468492,156.09,156.93,154.3,32054.48952492
2019-01-06 06:00:00,156.08,155.23,156.43,154.17,39525.38227687
2019-01-06 09:00:00,155.23,157.77,158.41,155.22,56360.32278656
2019-01-06 12:00:00,157.88,156.54076514,158.03,155.33,43990.71437601
2019-01-06 15:00:00,156.54,162.82147755,165.86,156.0,139045.14710785
2019-01-06 18:00:00,162.81,159.89,164.02,159.74,55912.2849131
2019-01-06 21:00:00,159.88554417,160.84,161.83,159.37,43453.41715018
2019-01-07 00:00:00,160.76,158.86165091,162.59,157.39,45288.13852057
2019-01-07 03:00:00,158.89005744,159.64,159.82,158.49,18666.09810093
2019-01-07 06:00:00,159.64,159.46,160.01,159.07,18535.13279468
2019-01-07 09:00:00,159.45,155.27,159.46,153.16,46507.05931405
2019-01-07 12:00:00,155.16,155.16,155.34832879,155.16,1.7
2019-01-07 15:00:00,155.25,156.57,157.26,154.8,2854.40052421
2019-01-07 18:00:00,156.63,155.51,158.6,154.9171651,35760.47872348
2019-01-07 21:00:00,155.38,154.79,156.31561386,153.0,25785.32189823
2019-01-08 00:00:00,154.79,151.9,156.19,146.0,83774.3351702
2019-01-08 03:00:00,151.89,151.78,152.60147367,151.03,25846.91165414
2019-01-08 06:00:00,151.72,152.62,153.14,151.2,35308.05388491
2019-01-08 09:00:00,152.62,155.1,155.62,150.2,87703.18364991
2019-01-08 12:00:00,155.1,155.38,157.13550354,154.33,43460.72315698
2019-01-08 15:00:00,155.39,153.70342272,158.09124123,153.07,77556.72818985
2019-01-08 18:00:00,153.63,153.39,154.93,153.39,15039.28307317
2019-01-08 21:00:00,153.39,153.84,154.14,152.8,15731.85413118
