MTS,open,close,high,low,volume
2018-08-17 09:00:00,0.15081,0.15199,0.15686,0.15081,39996.39784595
2018-08-17 12:00:00,0.15408,0.16235,0.1732,0.15408,122924.35731763
2018-08-17 15:00:00,0.16151,0.16673,0.17325,0.16151,39675.88892112
2018-08-17 18:00:00,0.16778,0.16673,0.16977,0.16673,83453.18641988
2018-08-17 21:00:00,0.16674,0.1778,0.17877,0.16673,35622.97177938
2018-08-18 00:00:00,0.17881,0.17358,0.18599,0.17139,323005.90409461
2018-08-18 03:00:00,0.17058,0.16734,0.17219,0.16698,27919.98852657
2018-08-18 06:00:00,0.17,0.16049,0.17,0.15607,34629.97865459
2018-08-18 09:00:00,0.16427,0.16542,0.16845,0.16265,19612.25616572
2018-08-18 12:00:00,0.16554,0.154,0.1656,0.154,24807.75895247
2018-08-18 15:00:00,0.1519,0.14503,0.1519,0.14464,97877.85952048
