MTS,open,close,high,low,volume
2018-07-25 09:00:00,86.919,85.886,86.958,85.022,15083.83357411
2018-07-25 12:00:00,85.936,86.144,86.57,85.797,5183.69510647
2018-07-25 15:00:00,86.111,86.337,87.323,84.83,10538.26222247
2018-07-25 18:00:00,86.323,87.38,87.57,86.216,5242.7158234
2018-07-25 21:00:00,87.286,86.399,87.97,86.311,7329.0462844
2018-07-26 00:00:00,86.48,86.78,87.433,86.48,4692.71440888
2018-07-26 03:00:00,86.779,86.47,87.08,86.385,2484.1808417
2018-07-26 06:00:00,86.494,87.393,87.909,86.494,9327.87570581
2018-07-26 09:00:00,87.371,87.172,87.856,87.172,5108.35090137
2018-07-26 12:00:00,87.26,86.915,87.304,86.411,4635.38164802
2018-07-26 15:00:00,86.907,86.751,87.145,86.319,4183.75974173
2018-07-26 18:00:00,86.796,85.75,87.259,85.75,6635.16848771
2018-07-26 21:00:00,85.782,83.603,85.912,82.877,35337.34957028
2018-07-27 00:00:00,83.513,83.105,83.649,82.7,3555.8185733
2018-07-27 03:00:00,83.094,83.473,83.754,83.094,4310.81797312
2018-07-27 06:00:00,83.452,83.543,83.8,81.596,27055.21878032
2018-07-27 09:00:00,83.543,82.55,83.678,82.45,2945.40897384
2018-07-27 12:00:00,82.565,81.818,82.602,81.507,10381.09001918
2018-07-27 15:00:00,81.827,84.249,85.0,81.827,19972.91254894
2018-07-27 18:00:00,84.246,84.515,84.99,84.179,8237.76451323
2018-07-27 21:00:00,84.528,84.418,85.0,84.073,6083.07583159
2018-07-28 00:00:00,84.417,83.973,84.728,83.922,3036.06510794
2018-07-28 03:00:00,83.987,83.624,84.199,83.396,3592.14394339
2018-07-28 06:00:00,83.655,84.259,84.312,83.53,1817.87776427
2018-07-28 09:00:00,84.27,84.0,84.409,83.712,3479.30588608
2018-07-28 12:00:00,83.965,82.931,84.026,82.556,6989.10063143
2018-07-28 15:00:00,82.931,83.449,83.592,82.344,7066.96132674
2018-07-28 18:00:00,83.473,83.861,84.138,83.231,4705.53215262
2018-07-28 21:00:00,83.86,84.187,84.38,83.742,1882.88634284
2018-07-29 00:00:00,84.17,84.49,85.52,84.156,11615.66088981
2018-07-29 03:00:00,84.49,84.095,84.49,83.889,1448.53651694
2018-07-29 06:00:00,84.095,83.662,84.149,83.379,4394.88629327
2018-07-29 09:00:00,83.638,83.689,83.989,83.461,5170.73156948
2018-07-29 12:00:00,83.69,84.03,84.297,83.6,3452.62414265
2018-07-29 15:00:00,84.0,83.621,84.02,83.49,4293.48081331
2018-07-29 18:00:00,83.609,83.547,83.92,83.462,3054.28597243
2018-07-29 21:00:00,83.58,84.076,84.549,83.478,4404.1307165
2018-07-30 00:00:00,83.993,84.181,84.803,82.483,23011.49178646
2018-07-30 03:00:00,84.182,84.071,84.252,83.93,3202.88194942
2018-07-30 06:00:00,84.084,83.157,84.084,82.863,7385.62796079
2018-07-30 09:00:00,83.149,82.992,83.318,82.75,3508.15346619
2018-07-30 12:00:00,82.983,82.95,83.097,82.048,10757.89740595
2018-07-30 15:00:00,82.95,80.121,83.275,79.948,21127.28551426
2018-07-30 18:00:00,80.119,82.43,82.592,79.742,16631.03516012
2018-07-30 21:00:00,82.43,82.168,82.65,81.823,2746.95466323
2018-07-31 00:00:00,82.196,81.762,82.451,81.64,4319.77565427
2018-07-31 03:00:00,81.772,81.702,81.797,81.009,2753.02034185
