MTS,Open,Close,High,Low,Volume
2019-01-04 21:00:00,1.4984,1.5132,1.5301,1.493,21715.32137176
2019-01-05 00:00:00,1.5098,1.595,1.6194,1.5078,139098.78029636
2019-01-05 03:00:00,1.5964,1.602,1.6122,1.5792,24222.72207193
2019-01-05 06:00:00,1.5969,1.5561,1.5977,1.5381,36865.04916317
2019-01-05 09:00:00,1.5534,1.571,1.587,1.5436,11070.89013339
2019-01-05 12:00:00,1.5783,1.5711,1.5788,1.5473,8547.21751965
2019-01-05 15:00:00,1.5761,1.5791,1.6148,1.548,29383.23573507
2019-01-05 18:00:00,1.579,1.5663,1.5849,1.5495,11164.3518616
2019-01-05 21:00:00,1.561,1.5362,1.5636,1.5202,29455.85268197
2019-01-06 00:00:00,1.5364,1.5205,1.5406,1.5149,28760.92413299
2019-01-06 03:00:00,1.5229,1.5158,1.523,1.5,16808.01583771
2019-01-06 06:00:00,1.5182,1.5003,1.5194,1.5003,3555.61862957
2019-01-06 09:00:00,1.503,1.5514,1.5524,1.503,11320.24121994
2019-01-06 12:00:00,1.5519,1.5274,1.5529,1.5223,13083.82987253
2019-01-06 15:00:00,1.532,1.6079,1.62,1.532,75035.5117049
2019-01-06 18:00:00,1.6078,1.6167,1.6271,1.594,115763.18918932
2019-01-06 21:00:00,1.6132,1.6175,1.6239,1.5993,22178.90716599
2019-01-07 00:00:00,1.6135,1.5763,1.6245,1.567,60779.09340495
2019-01-07 03:00:00,1.5782,1.5826,1.5886,1.5749,7585.94099701
2019-01-07 06:00:00,1.5828,1.5771,1.5913,1.5634,21139.90578322
2019-01-07 09:00:00,1.5715,1.5377,1.5762,1.5365,24614.59350612
2019-01-07 15:00:00,1.537,1.5462,1.5462,1.5365,451.78570412
2019-01-07 18:00:00,1.5443,1.5239,1.575,1.5123,23240.09488453
2019-01-07 21:00:00,1.5306,1.5251,1.5473,1.5145,16432.11380677
2019-01-08 00:00:00,1.5252,1.5038,1.5336,1.4995,21410.38392187
2019-01-08 03:00:00,1.5038,1.5025,1.5093,1.5,10064.90825915
2019-01-08 06:00:00,1.5077,1.5213,1.5385,1.4913,17747.04883436
2019-01-08 09:00:00,1.5237,1.5503,1.5557,1.5175,46070.94342939
2019-01-08 12:00:00,1.547,1.555,1.5774,1.5406,67799.29231257
2019-01-08 15:00:00,1.5553,1.5339,1.59,1.5224,90210.53721042
2019-01-08 18:00:00,1.5314,1.5407,1.5518,1.5212,35995.76570607
2019-01-08 21:00:00,1.5351,1.5269,1.5461,1.5212,29135.08217357
