MTS,open,close,high,low,volume
2018-08-17 09:00:00,144.37,145.52,147.28,143.0,1864.84757627
2018-08-17 12:00:00,145.37,143.16,146.75,141.14,1571.31340574
2018-08-17 15:00:00,143.2,147.04,148.08,143.04,3159.62486541
2018-08-17 18:00:00,147.17,146.76,147.27,144.33,1574.31811848
2018-08-17 21:00:00,146.59,151.99,152.0,146.59,2373.39734127
2018-08-18 00:00:00,151.72,150.2,153.79,149.18,1679.07750042
2018-08-18 03:00:00,149.82,148.48,149.91,147.63,427.78392261
2018-08-18 06:00:00,148.44,144.6,148.45,143.0,982.91385879
2018-08-18 09:00:00,144.95,147.03,147.24,144.95,579.58287511
2018-08-18 12:00:00,146.81,142.95,147.6,142.95,1957.56188522
2018-08-18 15:00:00,142.95,141.01,142.95,141.0,1815.15331284
