MTS,Open,Close,High,Low,Volume
2018-11-11 18:00:00,524.55,535.49,537.8,518.15,17034.28746716
2018-11-12 00:00:00,535.52,519.53,537.8,515.25,19187.58431904
2018-11-12 06:00:00,519.43,517.39,531.25,504.72,50175.92473475
2018-11-12 12:00:00,517.66,525.95,544.0,517.53,55758.65304022
2018-11-12 18:00:00,525.19,520.62,527.49,517.89,12087.87677506
2018-11-13 00:00:00,520.64,518.64,522.07,508.51,16994.34649025
2018-11-13 06:00:00,518.53,551.6,557.48,510.0,45925.61338604
2018-11-13 12:00:00,551.62,544.6,557.5,528.62,60009.00384319
2018-11-13 18:00:00,544.57,520.43,544.81,518.89,37070.54338558
2018-11-14 00:00:00,520.43,535.0,535.0,518.8,19548.82956145
2018-11-14 06:00:00,534.98,491.11,536.75,478.52,71192.81480053
2018-11-14 12:00:00,491.01,456.45,493.88,415.0,94925.98319359
2018-11-14 18:00:00,456.46,452.58,457.0,425.0,48534.65237771
2018-11-15 00:00:00,452.27,438.86,454.11,421.82,21693.50339408
2018-11-15 06:00:00,438.86,446.35,467.0,434.17,32994.10834441
2018-11-15 12:00:00,446.33,275.0,451.0,275.0,77253.32287598
