MTS,Open,Close,High,Low,Volume
2019-01-05 00:00:00,33.137,34.727,34.731,33.136,40945.61371393
2019-01-05 06:00:00,34.727,35.258,35.59,33.757,58381.186286
2019-01-05 12:00:00,35.258,36.31,37.452,35.0,142543.00739851
2019-01-05 18:00:00,36.31,35.61,36.62,35.311,63066.56602921
2019-01-06 00:00:00,35.614,36.634,37.1,35.221,56514.17648762
2019-01-06 06:00:00,36.646,38.671,38.952,35.666,179943.19472932
2019-01-06 12:00:00,38.704,40.683,41.4,38.35,202819.48801143
2019-01-06 18:00:00,40.698,40.079,41.039,39.545,108877.31356673
2019-01-07 00:00:00,40.079,39.682,40.75,38.89,49781.53878533
2019-01-07 06:00:00,39.659,38.959,40.458,38.456,59159.85432593
2019-01-07 12:00:00,38.959,38.894,40.972,38.502,4591.23049735
2019-01-07 18:00:00,39.376,38.651,39.681,38.222,40867.68441928
2019-01-08 00:00:00,38.651,39.214,40.057,38.482,50966.17560549
2019-01-08 06:00:00,39.261,40.699,40.972,39.03,71535.02878214
2019-01-08 12:00:00,40.7,40.087,42.229,39.951,144981.64385832
2019-01-08 18:00:00,40.112,40.355,40.689,39.856,35907.1544302
