sewma,bewma,ratio,dollars
4,8,2.0,1998.5344683404655
4,9,2.25,1955.1399752625332
4,10,2.5,1606.5029266587323
4,11,2.75,1406.9263761963023
4,12,3.0,1573.1527293768654
4,13,3.25,1246.98005090179
4,14,3.5,1434.3410506931568
4,15,3.75,1331.4164503508584
5,10,2.0,1477.445552464687
5,11,2.2,1413.7944255141676
5,12,2.4,1415.4228579523801
5,13,2.6,1481.563131396564
5,14,2.8,1327.752475964568
5,15,3.0,1262.5441846898786
5,16,3.2,1241.16349934227
5,17,3.4,1302.8816198976447
5,18,3.6,1247.4036387424437
5,19,3.8,1271.467675556701
6,12,2.0,1558.3454337086052
6,13,2.1666666666666665,1320.865096707224
6,14,2.3333333333333335,1290.5761340737436
6,15,2.5,1195.0816632846295
6,16,2.6666666666666665,1369.2705644160615
6,17,2.8333333333333335,1492.3659465688902
6,18,3.0,1438.4373474387025
6,19,3.1666666666666665,1524.6284950072834
6,20,3.3333333333333335,1412.6478123874456
6,21,3.5,1216.7926570041386
6,22,3.6666666666666665,1295.1658729107828
6,23,3.8333333333333335,1303.9223500259143
7,14,2.0,1240.082499515756
7,15,2.142857142857143,1349.4062283702046
7,16,2.2857142857142856,1425.4252806661777
7,17,2.4285714285714284,1531.421296946971
7,18,2.5714285714285716,1474.1283866626475
7,19,2.7142857142857144,1259.7382624635372
7,20,2.857142857142857,1346.871680724354
7,21,3.0,1256.8925059303808
7,22,3.142857142857143,1348.428326234031
7,23,3.2857142857142856,1339.1728449718828
7,24,3.4285714285714284,1171.0512367164029
7,25,3.5714285714285716,1175.9690930388035
7,26,3.7142857142857144,1156.3782323987293
7,27,3.857142857142857,1189.9889463923773
8,16,2.0,1485.456400196499
8,17,2.125,1415.9344858792808
8,18,2.25,1300.4885424238926
8,19,2.375,1350.3843135845582
8,20,2.5,1144.7952342158499
8,21,2.625,1066.5304226099925
8,22,2.75,1114.2752180511789
8,23,2.875,1055.2831870320174
8,24,3.0,1069.4664503817883
8,25,3.125,1098.7426998504832
8,26,3.25,1132.6447455139103
8,27,3.375,1229.8025532533836
8,28,3.5,1079.4904596212816
8,29,3.625,1070.5187816673576
8,30,3.75,1061.6574256560154
8,31,3.875,1142.8233357962959
9,18,2.0,1146.8909538609958
9,19,2.111111111111111,954.7284345682367
9,20,2.2222222222222223,999.6327521780843
9,21,2.3333333333333335,1108.2433212623678
9,22,2.4444444444444446,1071.5225797800565
9,23,2.5555555555555554,1027.6591394064849
9,24,2.6666666666666665,1093.7262335564092
9,25,2.7777777777777777,1222.6702664583986
9,26,2.888888888888889,1157.2513539846193
9,27,3.0,1078.071881851369
9,28,3.111111111111111,1075.8323098846447
9,29,3.2222222222222223,1161.0814046715072
9,30,3.3333333333333335,1172.875876041794
9,31,3.4444444444444446,1140.5642781122174
9,32,3.5555555555555554,1145.4406838972154
9,33,3.6666666666666665,1137.656331941374
9,34,3.7777777777777777,1239.4691110981862
9,35,3.888888888888889,1185.6736015543925
10,20,2.0,1040.1830864653261
10,21,2.1,982.9287041709617
10,22,2.2,1099.2996453911935
10,23,2.3,1192.1779809085704
10,24,2.4,1109.4360843062937
10,25,2.5,1146.2603253170366
10,26,2.6,1112.8742324528137
10,27,2.7,1199.5630674852346
10,28,2.8,1193.1068197848163
10,29,2.9,1251.9695694707227
10,30,3.0,1166.6862433121635
10,31,3.1,1198.822220855442
10,32,3.2,1305.0215924669103
10,33,3.3,1187.1711020529956
10,34,3.4,1378.2423372819555
10,35,3.5,1324.0319448920359
10,36,3.6,1353.8055791087418
10,37,3.7,1376.2021467823595
10,38,3.8,1183.4868556307788
10,39,3.9,1177.6935096994205
11,22,2.0,1163.13475832246
11,23,2.090909090909091,1162.2544818965098
11,24,2.1818181818181817,1179.8032334323111
11,25,2.272727272727273,1191.3730341166222
11,26,2.3636363636363638,1178.7520539088584
11,27,2.4545454545454546,1207.3724172151576
11,28,2.5454545454545454,1233.1149278385776
11,29,2.6363636363636362,1189.0863938985308
11,30,2.727272727272727,1248.7342588922372
11,31,2.8181818181818183,1175.181253355212
11,32,2.909090909090909,1270.552698926681
11,33,3.0,1286.6238424386736
11,34,3.090909090909091,1361.5536826501125
11,35,3.1818181818181817,1126.4347625860198
11,36,3.272727272727273,1087.3962824886917
11,37,3.3636363636363638,1142.3909397840368
11,38,3.4545454545454546,1161.288515408199
11,39,3.5454545454545454,1132.216276797047
11,40,3.6363636363636362,1142.1228112931055
11,41,3.727272727272727,1119.8751028717325
11,42,3.8181818181818183,1103.3236341191785
11,43,3.909090909090909,1164.1745520635245
12,24,2.0,1231.588772434075
12,25,2.0833333333333335,1223.9383535417733
12,26,2.1666666666666665,1296.812734513823
12,27,2.25,1268.8078477345687
12,28,2.3333333333333335,1197.0957529187842
12,29,2.4166666666666665,1268.9056941795964
12,30,2.5,1299.2756432095655
12,31,2.5833333333333335,1284.8488058971568
12,32,2.6666666666666665,1085.7236002419768
12,33,2.75,1133.5547485407492
12,34,2.8333333333333335,1051.5188476455412
12,35,2.9166666666666665,1157.9485456812733
12,36,3.0,1188.7243584917794
12,37,3.0833333333333335,1091.8307557044063
12,38,3.1666666666666665,1142.7130046419738
12,39,3.25,1111.0292359335413
12,40,3.3333333333333335,1075.8955620914787
12,41,3.4166666666666665,1082.9401176331828
12,42,3.5,1147.2621121031991
12,43,3.5833333333333335,1128.107579940758
12,44,3.6666666666666665,1258.080881365099
12,45,3.75,1152.597891219144
12,46,3.8333333333333335,1234.569500702132
12,47,3.9166666666666665,1157.1178324039686
13,26,2.0,1266.3980446930673
13,27,2.076923076923077,1183.1715240726335
13,28,2.1538461538461537,1335.027694206982
13,29,2.230769230769231,1252.9836967346594
13,30,2.3076923076923075,1051.5677314829384
13,31,2.3846153846153846,1137.613421127247
13,32,2.4615384615384617,1130.9677780010804
13,33,2.5384615384615383,1154.4783643909202
13,34,2.6153846153846154,1182.2708001408312
13,35,2.6923076923076925,1108.2948540788962
13,36,2.769230769230769,1117.666499083061
13,37,2.8461538461538463,1111.0292359335413
13,38,2.923076923076923,1089.0877132988646
13,39,3.0,1047.4496353495754
13,40,3.076923076923077,1106.2822687486428
13,41,3.1538461538461537,1273.2783504704548
13,42,3.230769230769231,1250.817182652449
13,43,3.3076923076923075,1241.752839658851
13,44,3.3846153846153846,1405.76244585516
13,45,3.4615384615384617,1227.1364490267188
13,46,3.5384615384615383,1370.7366845107558
13,47,3.6153846153846154,1289.308600670916
13,48,3.6923076923076925,1278.1136745797291
13,49,3.769230769230769,1250.7204485517266
13,50,3.8461538461538463,1315.223009141588
13,51,3.923076923076923,1342.3450054071834
14,28,2.0,1029.0244449958107
14,29,2.0714285714285716,1099.968867115094
14,30,2.142857142857143,1200.3135443670133
14,31,2.2142857142857144,1126.965210080549
14,32,2.2857142857142856,1265.2116834491708
14,33,2.357142857142857,1130.4913151954845
14,34,2.4285714285714284,1115.701560259968
14,35,2.5,1114.3432241242724
14,36,2.5714285714285716,1085.1742962665273
14,37,2.642857142857143,1047.4496353495754
14,38,2.7142857142857144,1331.5623553263226
14,39,2.7857142857142856,1392.0680731673674
14,40,2.857142857142857,1350.4058139591496
14,41,2.9285714285714284,1348.5493929729032
14,42,3.0,1431.755760788671
14,43,3.0714285714285716,1404.8300616158747
14,44,3.142857142857143,1209.5781192334605
14,45,3.2142857142857144,1267.7839378295907
14,46,3.2857142857142856,1256.7759080404383
14,47,3.357142857142857,1238.6422494423068
14,48,3.4285714285714284,1256.3184072619445
14,49,3.5,1325.4115588539555
14,50,3.5714285714285716,1366.1547519732683
14,51,3.642857142857143,1423.8331258711323
14,52,3.7142857142857144,1587.1517814652827
14,53,3.7857142857142856,1597.2376371880778
14,54,3.857142857142857,1696.769525117781
14,55,3.9285714285714284,1807.3143556623772
15,30,2.0,1196.8504596648218
15,31,2.066666666666667,1223.5220832058465
15,32,2.1333333333333333,1113.627423326418
15,33,2.2,1147.803688990709
15,34,2.2666666666666666,1078.530427954859
15,35,2.3333333333333335,1087.9346044809492
15,36,2.4,1276.642875333931
15,37,2.466666666666667,1363.2010717547062
15,38,2.533333333333333,1366.9523299777138
15,39,2.6,1284.3523066243004
15,40,2.6666666666666665,1458.4802038409698
15,41,2.7333333333333334,1348.1561669052098
15,42,2.8,1251.022369960201
15,43,2.8666666666666667,1182.3701332727333
15,44,2.933333333333333,1199.7345904123367
15,45,3.0,1272.077458918651
15,46,3.066666666666667,1251.7809136618005
15,47,3.1333333333333333,1286.0834084287794
15,48,3.2,1337.949451511133
15,49,3.2666666666666666,1392.2125123478763
15,50,3.3333333333333335,1550.9300298625033
15,51,3.4,1510.7854848626446
15,52,3.466666666666667,1652.9664864858537
15,53,3.533333333333333,1732.9977057699664
15,54,3.6,1850.5379643895635
15,55,3.6666666666666665,1919.2383871512652
15,56,3.7333333333333334,1812.494075656512
15,57,3.8,1815.9553748719136
15,58,3.8666666666666667,1901.826827537382
15,59,3.933333333333333,1968.0854053002856
