sewma,bewma,ratio,dollars
4,8,2.0,4666.201926384431
4,9,2.25,4045.5126823967116
4,10,2.5,3578.7119871274817
4,11,2.75,3636.9410353697613
4,12,3.0,4379.197122498094
4,13,3.25,4865.309615521618
4,14,3.5,4795.8521535022655
4,15,3.75,5771.944122306374
5,10,2.0,4061.566922223433
5,11,2.2,4490.851293401685
5,12,2.4,4630.083272675569
5,13,2.6,4643.8949113709405
5,14,2.8,5581.315383690374
5,15,3.0,6525.745923824433
5,16,3.2,5518.800276974772
5,17,3.4,5250.240590780704
5,18,3.6,5031.346290676146
5,19,3.8,6310.67616854404
6,12,2.0,5662.663966836305
6,13,2.1666666666666665,6185.782813091071
6,14,2.3333333333333335,6302.231933648211
6,15,2.5,5747.0263956735225
6,16,2.6666666666666665,4590.833821347149
6,17,2.8333333333333335,6047.823852835143
6,18,3.0,5957.078871356273
6,19,3.1666666666666665,6193.496236203673
6,20,3.3333333333333335,7038.417312148949
6,21,3.5,6138.055171905412
6,22,3.6666666666666665,5632.243838418162
6,23,3.8333333333333335,5431.615456460942
7,14,2.0,6560.077223771315
7,15,2.142857142857143,4894.171914708332
7,16,2.2857142857142856,6151.306551640855
7,17,2.4285714285714284,6694.471095941847
7,18,2.5714285714285716,5948.509497502829
7,19,2.7142857142857144,5011.76336595882
7,20,2.857142857142857,4535.8306254117715
7,21,3.0,5072.277451145042
7,22,3.142857142857143,5263.314819291904
7,23,3.2857142857142856,4977.868008644645
7,24,3.4285714285714284,4999.446916712619
7,25,3.5714285714285716,5076.979936069886
7,26,3.7142857142857144,4922.41973127508
7,27,3.857142857142857,4683.023037272114
8,16,2.0,6546.983777946713
8,17,2.125,6407.621641361441
8,18,2.25,5321.109231728942
8,19,2.375,5423.481102294638
8,20,2.5,5705.266384150162
8,21,2.625,5850.365238996127
8,22,2.75,4918.299652669783
8,23,2.875,6025.146542350237
8,24,3.0,5580.426149448735
8,25,3.125,4737.043549668501
8,26,3.25,4647.553101218951
8,27,3.375,4736.542449616738
8,28,3.5,4089.6361118127284
8,29,3.625,4080.634409390789
8,30,3.75,3843.1457759591035
8,31,3.875,4374.325217040089
9,18,2.0,5475.298456856008
9,19,2.111111111111111,5239.636572689633
9,20,2.2222222222222223,5237.251634674239
9,21,2.3333333333333335,5965.188390459064
9,22,2.4444444444444446,5441.078918333738
9,23,2.5555555555555554,5213.595453088209
9,24,2.6666666666666665,4614.769790867871
9,25,2.7777777777777777,4134.745070215612
9,26,2.888888888888889,3640.255574746447
9,27,3.0,3965.251216056779
