sewma,bewma,ratio,dollars
4,8,2.0,771.5619084351555
4,9,2.25,737.2009622635079
4,10,2.5,889.1738911414536
4,11,2.75,798.9279074775333
4,12,3.0,933.7468544891059
4,13,3.25,1058.8220159309694
4,14,3.5,1099.0441693648947
4,15,3.75,1064.4866957763618
5,10,2.0,949.5013770802766
5,11,2.2,955.7955960006223
5,12,2.4,1197.5735577190926
5,13,2.6,1065.938091230118
5,14,2.8,859.366534140077
5,15,3.0,918.2542260147577
5,16,3.2,852.5297854305174
5,17,3.4,871.0411695621794
5,18,3.6,881.9905295127289
5,19,3.8,750.4379899141693
6,12,2.0,1026.5979915216587
6,13,2.1666666666666665,814.3537779411263
6,14,2.3333333333333335,804.0390062464567
6,15,2.5,789.6303690679314
6,16,2.6666666666666665,880.7453757731703
6,17,2.8333333333333335,716.7740633119406
6,18,3.0,794.1120810632142
6,19,3.1666666666666665,731.6375334260858
6,20,3.3333333333333335,776.4563018619755
6,21,3.5,825.9976089675117
6,22,3.6666666666666665,946.1620157965984
6,23,3.8333333333333335,1011.8415006961435
7,14,2.0,815.5810930657517
7,15,2.142857142857143,766.3951979272362
7,16,2.2857142857142856,707.9224342673666
7,17,2.4285714285714284,785.4038601031995
7,18,2.5714285714285716,721.702970422533
7,19,2.7142857142857144,787.472488939779
7,20,2.857142857142857,893.1855847217009
7,21,3.0,990.1807315521821
7,22,3.142857142857143,1040.3938440859035
7,23,3.2857142857142856,1157.0139886693369
7,24,3.4285714285714284,1101.951543165463
7,25,3.5714285714285716,1054.728319460292
7,26,3.7142857142857144,1050.218494709778
7,27,3.857142857142857,1106.6788631989507
8,16,2.0,748.9145658445158
8,17,2.125,819.6796993861608
8,18,2.25,789.3913522784216
8,19,2.375,852.8681466866179
8,20,2.5,1008.8435732960281
8,21,2.625,1156.4273537778372
8,22,2.75,1249.5601705278386
8,23,2.875,1177.7437078678377
8,24,3.0,1080.555137136912
8,25,3.125,1085.1458968167665
8,26,3.25,1133.9376931150798
8,27,3.375,1139.1766329651489
8,28,3.5,1118.2462514374529
8,29,3.625,1137.9972515361903
8,30,3.75,1074.6203232156795
8,31,3.875,1037.2330527275346
9,18,2.0,1002.6823899647126
9,19,2.111111111111111,1172.6881916565578
9,20,2.2222222222222223,1200.3947000797666
9,21,2.3333333333333335,1232.3089175164594
9,22,2.4444444444444446,1035.9243665626377
9,23,2.5555555555555554,1119.5052327754925
9,24,2.6666666666666665,1125.3155207648792
9,25,2.7777777777777777,1161.7342586922402
9,26,2.888888888888889,1130.9506212115807
9,27,3.0,1117.0017799755592
9,28,3.111111111111111,1237.8982197552957
9,29,3.2222222222222223,1136.444982536515
9,30,3.3333333333333335,1093.7720251262044
9,31,3.4444444444444446,1138.2948237973621
9,32,3.5555555555555554,1159.031274126356
9,33,3.6666666666666665,1225.9188946606434
9,34,3.7777777777777777,1270.3151499483652
9,35,3.888888888888889,1316.7702601884405
10,20,2.0,1147.6766997678262
10,21,2.1,1047.2226206817165
10,22,2.2,1111.0524849755745
10,23,2.3,1049.959710894252
10,24,2.4,1228.5707247568928
10,25,2.5,1203.3746210688337
10,26,2.6,1248.8531301317107
10,27,2.7,1239.0649743992033
10,28,2.8,1231.8289273726948
10,29,2.9,1167.4595557793193
10,30,3.0,1181.8523755638682
10,31,3.1,1298.9010705132305
10,32,3.2,1295.308758782721
10,33,3.3,1279.5136436091273
10,34,3.4,1333.2462954043494
10,35,3.5,1362.9775155559375
10,36,3.6,1370.540357029525
10,37,3.7,1296.144728070189
10,38,3.8,1261.6538091877537
10,39,3.9,1167.8543278867119
11,22,2.0,1210.3775686843412
11,23,2.090909090909091,1162.4080908231097
11,24,2.1818181818181817,1235.1240333354297
11,25,2.272727272727273,1217.5633126384594
11,26,2.3636363636363638,1210.9014475231031
11,27,2.4545454545454546,1228.2050171018682
11,28,2.5454545454545454,1209.5862991125919
11,29,2.6363636363636362,1237.0715279870387
11,30,2.727272727272727,1331.688086495133
11,31,2.8181818181818183,1271.7144358057883
