sma,bma,ratio,dollars
4,8,2.0,8487.920751524678
4,9,2.25,7466.576278316876
4,10,2.5,4629.393312153636
4,11,2.75,4619.390492068658
4,12,3.0,3591.510757916351
4,13,3.25,3766.0027441062593
4,14,3.5,4010.6181776000276
4,15,3.75,3238.0701504411354
5,10,2.0,6669.978568245122
5,11,2.2,5834.897384347942
5,12,2.4,3578.8523461527343
5,13,2.6,3834.103441788553
5,14,2.8,5582.487370667197
5,15,3.0,5041.937403752618
5,16,3.2,3854.00864323714
5,17,3.4,4338.6227554840525
5,18,3.6,5611.779598578902
5,19,3.8,5811.5749908474745
6,12,2.0,4769.139223934529
6,13,2.1666666666666665,4837.467982763238
6,14,2.3333333333333335,5635.771802365227
6,15,2.5,6380.545818464552
6,16,2.6666666666666665,7955.955428916942
6,17,2.8333333333333335,7870.632300918439
6,18,3.0,5841.446557425001
6,19,3.1666666666666665,5045.86980418056
6,20,3.3333333333333335,5662.320117853522
6,21,3.5,5889.2456790142705
6,22,3.6666666666666665,5817.123448616239
6,23,3.8333333333333335,6141.776806000212
7,14,2.0,7482.58840470852
7,15,2.142857142857143,7423.368624510076
7,16,2.2857142857142856,5543.4399707130615
7,17,2.4285714285714284,6185.35299916538
7,18,2.5714285714285716,4655.199062340127
7,19,2.7142857142857144,4689.523446803831
7,20,2.857142857142857,4481.97215369276
7,21,3.0,3448.7696376124895
7,22,3.142857142857143,4374.515001168202
7,23,3.2857142857142856,4426.0598814620635
7,24,3.4285714285714284,4627.212379465746
7,25,3.5714285714285716,4065.962139850023
7,26,3.7142857142857144,4796.158286881043
7,27,3.857142857142857,5075.767690027351
8,16,2.0,5186.9425079587045
8,17,2.125,4270.034401253213
8,18,2.25,5099.61867378167
8,19,2.375,4899.7419758134865
8,20,2.5,3490.303009365452
8,21,2.625,3230.879848638674
8,22,2.75,4161.243903680613
8,23,2.875,3860.95094773741
8,24,3.0,3872.2170521452135
8,25,3.125,4037.113087124102
8,26,3.25,3651.26291061597
8,27,3.375,3228.7097265064813
8,28,3.5,3808.328127672872
8,29,3.625,5351.960977709556
8,30,3.75,6648.11492916019
8,31,3.875,6526.952688453893
9,18,2.0,5290.885566608541
9,19,2.111111111111111,4910.62702577519
9,20,2.2222222222222223,3407.310700441618
9,21,2.3333333333333335,3079.7091097952775
9,22,2.4444444444444446,3968.857774878347
9,23,2.5555555555555554,4182.855736674654
9,24,2.6666666666666665,3832.2631800975264
9,25,2.7777777777777777,3542.0614956832683
9,26,2.888888888888889,3293.3885528787714
9,27,3.0,4185.51209238229
9,28,3.111111111111111,4263.585362564477
9,29,3.2222222222222223,5620.463443981782
9,30,3.3333333333333335,5475.9604654973355
9,31,3.4444444444444446,5009.586387502646
9,32,3.5555555555555554,5292.730915585911
9,33,3.6666666666666665,5368.743024343066
9,34,3.7777777777777777,5253.048459984266
9,35,3.888888888888889,5334.233309212789
10,20,2.0,3698.4922871474596
10,21,2.1,3679.2132954420194
10,22,2.2,4158.239745972813
10,23,2.3,4420.449430240087
10,24,2.4,2960.7370826359393
10,25,2.5,2996.2269453757453
10,26,2.6,3376.3672129050324
10,27,2.7,3614.0260906981503
10,28,2.8,3515.4685967969003
10,29,2.9,5286.900885735769
10,30,3.0,5410.251506774558
10,31,3.1,4694.30056708584
10,32,3.2,4694.673460798792
10,33,3.3,4624.435022670384
10,34,3.4,4166.959899327893
10,35,3.5,4562.277727490822
10,36,3.6,4332.906809437837
10,37,3.7,4854.249754930166
10,38,3.8,4549.858325907066
10,39,3.9,5774.402117350345
11,22,2.0,3796.9849790699773
11,23,2.090909090909091,3597.7235985273373
11,24,2.1818181818181817,3051.466759287489
11,25,2.272727272727273,3026.8866595063882
11,26,2.3636363636363638,3479.9609296710905
11,27,2.4545454545454546,3892.109951703243
11,28,2.5454545454545454,4444.1522116586875
11,29,2.6363636363636362,5301.5303009191775
11,30,2.727272727272727,4830.472817028878
11,31,2.8181818181818183,4768.295573455111
11,32,2.909090909090909,5557.6234921886235
11,33,3.0,4975.104446550134
11,34,3.090909090909091,5191.870466588372
11,35,3.1818181818181817,5215.908510179784
11,36,3.272727272727273,4925.715874026296
11,37,3.3636363636363638,5321.328690475114
11,38,3.4545454545454546,4938.90611704691
11,39,3.5454545454545454,6076.576511719655
11,40,3.6363636363636362,5689.715626754376
11,41,3.727272727272727,5313.52952599351
11,42,3.8181818181818183,5283.032334982845
11,43,3.909090909090909,4996.208265407333
12,24,2.0,3919.58963740858
12,25,2.0833333333333335,3420.5137053102303
12,26,2.1666666666666665,3100.8675218106164
12,27,2.25,4236.435498588423
12,28,2.3333333333333335,4563.521295247341
12,29,2.4166666666666665,4432.056686260507
12,30,2.5,4828.887616810716
12,31,2.5833333333333335,4711.240311542056
12,32,2.6666666666666665,4425.534801146938
12,33,2.75,4565.946839406053
12,34,2.8333333333333335,5108.718622312901
12,35,2.9166666666666665,4910.577641277179
12,36,3.0,4399.7684139007415
12,37,3.0833333333333335,4962.892534087734
12,38,3.1666666666666665,5051.822254717624
12,39,3.25,5899.365508887562
12,40,3.3333333333333335,6744.356669790202
12,41,3.4166666666666665,6278.946378354263
12,42,3.5,5892.190128311508
12,43,3.5833333333333335,4846.948539592844
12,44,3.6666666666666665,5085.216739726707
12,45,3.75,5251.846269372388
12,46,3.8333333333333335,5565.083717329272
12,47,3.9166666666666665,5577.508318543375
13,26,2.0,3373.2719326145466
13,27,2.076923076923077,3363.304335788845
13,28,2.1538461538461537,3931.6066362670376
13,29,2.230769230769231,4422.2731417815285
13,30,2.3076923076923075,4192.241799667018
13,31,2.3846153846153846,4417.998194094052
13,32,2.4615384615384617,4729.237685490335
13,33,2.5384615384615383,4704.984793269062
13,34,2.6153846153846154,4939.115709739879
13,35,2.6923076923076925,5206.824830513492
13,36,2.769230769230769,4659.7603306034625
13,37,2.8461538461538463,5103.063028712887
13,38,2.923076923076923,4704.919688304939
13,39,3.0,5553.114666441074
13,40,3.076923076923077,5842.5250920088065
13,41,3.1538461538461537,5718.837509890594
13,42,3.230769230769231,5408.809219044929
13,43,3.3076923076923075,4840.712856371789
13,44,3.3846153846153846,5193.807788911389
13,45,3.4615384615384617,5034.312507588718
13,46,3.5384615384615383,4914.463068882366
13,47,3.6153846153846154,4828.698117174812
13,48,3.6923076923076925,4110.375589158299
13,49,3.769230769230769,4091.9337099132586
13,50,3.8461538461538463,4146.975033034585
13,51,3.923076923076923,4799.98515462038
14,28,2.0,5028.603928632904
14,29,2.0714285714285716,5128.942150273727
14,30,2.142857142857143,4993.70879993465
14,31,2.2142857142857144,6090.13478073208
14,32,2.2857142857142856,5730.597672553157
14,33,2.357142857142857,5017.250903438504
14,34,2.4285714285714284,5157.734924510068
14,35,2.5,5498.980334419961
14,36,2.5714285714285716,5057.364343754005
14,37,2.642857142857143,5956.766459497481
14,38,2.7142857142857144,5283.892015398715
14,39,2.7857142857142856,5440.402286088622
14,40,2.857142857142857,5978.953847878114
14,41,2.9285714285714284,6327.008314011194
14,42,3.0,5934.810122884314
14,43,3.0714285714285716,4941.739957554212
14,44,3.142857142857143,4215.855936198335
14,45,3.2142857142857144,4418.95893913374
14,46,3.2857142857142856,4780.952695697074
14,47,3.357142857142857,4793.858462224536
14,48,3.4285714285714284,4251.314399057671
14,49,3.5,4263.187716499753
14,50,3.5714285714285716,4535.7685853118855
14,51,3.642857142857143,5458.836981604372
14,52,3.7142857142857144,5544.761897887207
14,53,3.7857142857142856,5078.459437612427
14,54,3.857142857142857,4757.3245770956055
14,55,3.9285714285714284,6182.049732804011
15,30,2.0,5348.357319455116
15,31,2.066666666666667,5915.519924498365
15,32,2.1333333333333333,6375.795312758023
15,33,2.2,7078.122955482194
15,34,2.2666666666666666,6686.463588499755
15,35,2.3333333333333335,7160.330313959739
15,36,2.4,6805.096932498161
15,37,2.466666666666667,7306.274823755106
15,38,2.533333333333333,7284.448315000557
15,39,2.6,7651.187359106252
15,40,2.6666666666666665,6358.235056981449
15,41,2.7333333333333334,7138.724012308781
15,42,2.8,7548.627725132904
15,43,2.8666666666666667,6044.441769199712
15,44,2.933333333333333,4328.918470133818
15,45,3.0,4221.35660345515
15,46,3.066666666666667,4385.254655818767
15,47,3.1333333333333333,4852.0656264597055
15,48,3.2,5188.041130126851
15,49,3.2666666666666666,4691.570560516077
15,50,3.3333333333333335,4463.7557079716735
15,51,3.4,5009.716445707107
15,52,3.466666666666667,4953.733846065635
15,53,3.533333333333333,5965.162307684429
15,54,3.6,6253.20746430026
15,55,3.6666666666666665,5657.886349206751
15,56,3.7333333333333334,6004.860665863418
15,57,3.8,6035.980464708764
15,58,3.8666666666666667,6007.172030310696
15,59,3.933333333333333,5832.437162502002
