sewma,bewma,ratio,dollars
4,8,2.0,3247.390178871635
4,9,2.25,3140.76580996812
4,10,2.5,3077.574176647178
4,11,2.75,2933.4499510085748
4,12,3.0,2819.7429813653125
4,13,3.25,2738.5263545346324
4,14,3.5,2507.7315974944136
4,15,3.75,2608.515047736729
5,10,2.0,2651.7878878337724
5,11,2.2,2748.756447922462
5,12,2.4,2585.6887918847615
5,13,2.6,2632.355164164141
5,14,2.8,2992.090275251726
5,15,3.0,2886.957468279209
5,16,3.2,2620.9851763387364
5,17,3.4,2935.0739316815557
5,18,3.6,2655.4737604312863
5,19,3.8,2599.1765799661807
6,12,2.0,2810.0204435900496
6,13,2.1666666666666665,2809.664453699879
6,14,2.3333333333333335,2913.4878625262268
6,15,2.5,2944.064869180829
6,16,2.6666666666666665,2604.5798046728096
6,17,2.8333333333333335,2646.7731088389874
6,18,3.0,3409.7713202478403
6,19,3.1666666666666665,3354.5967880281146
6,20,3.3333333333333335,3086.3889003182526
6,21,3.5,2823.077421171137
6,22,3.6666666666666665,2789.880089775443
6,23,3.8333333333333335,2742.2985913995067
7,14,2.0,2734.057245079099
7,15,2.142857142857143,2764.0653083598067
7,16,2.2857142857142856,3068.7026270035512
7,17,2.4285714285714284,3480.541176577245
7,18,2.5714285714285716,3151.492015106623
7,19,2.7142857142857144,3068.013647692094
7,20,2.857142857142857,2869.970850145992
7,21,3.0,2785.6322036342967
7,22,3.142857142857143,2628.2468102573853
7,23,3.2857142857142856,2649.735595919783
7,24,3.4285714285714284,2644.715873524635
7,25,3.5714285714285716,2405.556533385931
7,26,3.7142857142857144,2347.047735735149
7,27,3.857142857142857,2583.8810342192014
8,16,2.0,3539.6418503843706
8,17,2.125,3079.2655129795794
8,18,2.25,3090.2380212315206
8,19,2.375,2815.1447589702216
8,20,2.5,2628.2468102573853
8,21,2.625,2726.899133871861
8,22,2.75,2749.3596110244052
8,23,2.875,2316.515516090092
8,24,3.0,2316.515516090092
8,25,3.125,2619.375727301534
8,26,3.25,2724.6356536596018
8,27,3.375,2533.3686210511905
8,28,3.5,2545.15280615978
8,29,3.625,2502.201432152166
8,30,3.75,2482.1208853225685
8,31,3.875,2439.9176637639634
9,18,2.0,2769.804895801247
9,19,2.111111111111111,2731.398975229379
9,20,2.2222222222222223,2849.0485276619033
9,21,2.3333333333333335,2496.37581834475
9,22,2.4444444444444446,2288.6775330178625
9,23,2.5555555555555554,2598.974400058123
9,24,2.6666666666666665,2624.189936100207
9,25,2.7777777777777777,2545.351448686773
9,26,2.888888888888889,2487.351510620328
9,27,3.0,2462.1461264321997
9,28,3.111111111111111,2477.487761433771
9,29,3.2222222222222223,2420.537453743258
9,30,3.3333333333333335,2449.0153529784934
9,31,3.4444444444444446,2361.6629397999764
9,32,3.5555555555555554,2421.708831406025
9,33,3.6666666666666665,2475.492423527112
9,34,3.7777777777777777,2527.5547340598923
9,35,3.888888888888889,2151.961021671514
10,20,2.0,2378.502446542797
10,21,2.1,2658.7764512820886
10,22,2.2,2759.21079173313
10,23,2.3,2507.6610023043386
10,24,2.4,2440.8592417181826
10,25,2.5,2476.814846243957
10,26,2.6,2458.7384851235465
10,27,2.7,2498.475871047616
10,28,2.8,2324.795713166029
10,29,2.9,2361.6629397999764
10,30,3.0,2432.559040525072
10,31,3.1,2360.185091323948
10,32,3.2,2520.322356084696
10,33,3.3,2564.2190838155802
10,34,3.4,2678.0166804153832
10,35,3.5,2631.780674696463
10,36,3.6,2704.6836813873288
10,37,3.7,2617.3271729711964
10,38,3.8,2563.752440104591
10,39,3.9,2565.09208718062
