sewma,bewma,ratio,dollars
4,8,2.0,2190.708781552522
4,9,2.25,1869.882738280361
4,10,2.5,1774.6230114998664
4,11,2.75,1602.8154866950727
4,12,3.0,1525.6569944782323
4,13,3.25,1507.8541776612137
4,14,3.5,1449.9287034514598
4,15,3.75,1540.372888930454
5,10,2.0,1633.5894326223313
5,11,2.2,1582.3880711136312
5,12,2.4,1606.935273358055
5,13,2.6,1643.6768067509195
5,14,2.8,1690.4940959890869
5,15,3.0,1932.9410834459027
5,16,3.2,1880.2894646682569
5,17,3.4,1834.4008937085177
5,18,3.6,1880.385211866882
5,19,3.8,1710.3514671007842
6,12,2.0,1644.3262563088574
6,13,2.1666666666666665,1881.631727270463
6,14,2.3333333333333335,1782.8962976886157
6,15,2.5,1727.7896501951523
6,16,2.6666666666666665,1739.0219473771754
6,17,2.8333333333333335,1853.350341121222
6,18,3.0,1773.8302876454745
6,19,3.1666666666666665,1797.0416320096608
6,20,3.3333333333333335,1730.8499222756807
6,21,3.5,1634.4560509057305
6,22,3.6666666666666665,1627.3751240037832
6,23,3.8333333333333335,1448.420822024426
7,14,2.0,1765.0628249350243
7,15,2.142857142857143,1826.2560937230458
7,16,2.2857142857142856,1929.8894265323522
7,17,2.4285714285714284,1772.0708051343124
7,18,2.5714285714285716,1721.3463616189783
7,19,2.7142857142857144,1626.930988460238
7,20,2.857142857142857,1579.5473694418254
7,21,3.0,1588.8451474245896
7,22,3.142857142857143,1511.7698027840138
7,23,3.2857142857142856,1493.657503781307
7,24,3.4285714285714284,1487.3714464401612
7,25,3.5714285714285716,1435.2606797534063
7,26,3.7142857142857144,1487.3648428491924
7,27,3.857142857142857,1305.7697744736095
8,16,2.0,1813.132718643582
8,17,2.125,1693.569288743791
8,18,2.25,1673.9971588150856
8,19,2.375,1590.3525771513212
8,20,2.5,1623.4611569416575
8,21,2.625,1533.098374451911
8,22,2.75,1574.6767777087182
8,23,2.875,1663.257558188422
8,24,3.0,1520.2994566132872
8,25,3.125,1433.266369541205
8,26,3.25,1443.7269196244517
8,27,3.375,1453.1866385813144
8,28,3.5,1497.3036675268027
8,29,3.625,1653.206465014644
8,30,3.75,1784.8115032079731
8,31,3.875,1842.7580439185556
9,18,2.0,1748.2152007705106
9,19,2.111111111111111,1774.0606236481287
9,20,2.2222222222222223,1655.085687517928
9,21,2.3333333333333335,1802.2759471248064
9,22,2.4444444444444446,1475.2058596766353
9,23,2.5555555555555554,1460.7610221536243
9,24,2.6666666666666665,1472.44781209135
9,25,2.7777777777777777,1388.2697675887116
9,26,2.888888888888889,1591.5556297703536
9,27,3.0,1614.8921684452366
9,28,3.111111111111111,1798.44751753174
9,29,3.2222222222222223,1717.235529413207
9,30,3.3333333333333335,1715.3680575417566
9,31,3.4444444444444446,1784.0374753217943
9,32,3.5555555555555554,1790.6930871809313
9,33,3.6666666666666665,1864.1991208969616
9,34,3.7777777777777777,1801.2656228525861
9,35,3.888888888888889,1774.033308681948
10,20,2.0,1716.5302719958463
10,21,2.1,1451.3045521798695
10,22,2.2,1442.611769832143
10,23,2.3,1427.5024733052617
10,24,2.4,1559.767778160709
10,25,2.5,1609.0451601989764
10,26,2.6,1726.1889634061308
10,27,2.7,1628.9253449958776
10,28,2.8,1712.422400829737
10,29,2.9,1761.522310639926
10,30,3.0,1718.3753888347487
10,31,3.1,1764.5840838442755
10,32,3.2,1839.9659711711925
10,33,3.3,1840.7389449314066
10,34,3.4,1738.974931801835
10,35,3.5,1703.4377338009099
10,36,3.6,1703.4377338009099
10,37,3.7,1637.4945043802816
10,38,3.8,1555.596650707816
10,39,3.9,1717.0000316796188
11,22,2.0,1501.9617271253726
11,23,2.090909090909091,1643.4050948706058
11,24,2.1818181818181817,1593.9074673964446
11,25,2.272727272727273,1706.239111883293
11,26,2.3636363636363638,1746.1441526767949
11,27,2.4545454545454546,1761.0834013537822
11,28,2.5454545454545454,1728.452054203092
11,29,2.6363636363636362,1771.0737731509569
11,30,2.727272727272727,1782.2386645741685
11,31,2.8181818181818183,1620.0311728341135
11,32,2.909090909090909,1630.1285576358287
11,33,3.0,1621.3915661385342
11,34,3.090909090909091,1639.1803613785044
11,35,3.1818181818181817,1630.0127532674226
11,36,3.272727272727273,1572.0977766434883
11,37,3.3636363636363638,1717.0000316796188
11,38,3.4545454545454546,1619.588032501018
11,39,3.5454545454545454,1598.5639472258915
11,40,3.6363636363636362,1670.4340541108681
11,41,3.727272727272727,1690.1460661692756
11,42,3.8181818181818183,1587.8609676605315
11,43,3.909090909090909,1659.123266975112
12,24,2.0,1779.4574095559608
12,25,2.0833333333333335,1813.5339996419423
12,26,2.1666666666666665,1796.9626748593225
12,27,2.25,1760.8888222303633
12,28,2.3333333333333335,1689.5946662223012
12,29,2.4166666666666665,1694.9236350228668
12,30,2.5,1678.0289854256719
12,31,2.5833333333333335,1745.7175103794061
12,32,2.6666666666666665,1669.3298085531173
12,33,2.75,1662.9533761554003
12,34,2.8333333333333335,1679.628177231214
12,35,2.9166666666666665,1749.09106754169
12,36,3.0,1598.2145303215004
12,37,3.0833333333333335,1598.5639472258915
12,38,3.1666666666666665,1575.1703284860007
12,39,3.25,1579.1241540469298
12,40,3.3333333333333335,1541.1789712367151
12,41,3.4166666666666665,1604.7213490536685
12,42,3.5,1811.214667248576
12,43,3.5833333333333335,1876.3279429550316
12,44,3.6666666666666665,1719.8542477938156
12,45,3.75,1490.1568447435914
12,46,3.8333333333333335,1486.2459253765746
12,47,3.9166666666666665,1460.243114467182
13,26,2.0,1624.3182540554235
13,27,2.076923076923077,1638.7067923112868
13,28,2.1538461538461537,1615.0605432407094
13,29,2.230769230769231,1678.2728279282912
13,30,2.3076923076923075,1714.055012708525
13,31,2.3846153846153846,1639.052772972625
13,32,2.4615384615384617,1699.1669511141192
13,33,2.5384615384615383,1703.9170299919028
13,34,2.6153846153846154,1648.2649141875856
13,35,2.6923076923076925,1578.806786927499
13,36,2.769230769230769,1556.0424198372464
13,37,2.8461538461538463,1638.541255211769
13,38,2.923076923076923,1472.4046262525794
13,39,3.0,1395.5491620401992
13,40,3.076923076923077,1395.5491620401992
13,41,3.1538461538461537,1715.008291135572
13,42,3.230769230769231,1503.7135026665146
13,43,3.3076923076923075,1486.2459253765746
13,44,3.3846153846153846,1486.2459253765746
13,45,3.4615384615384617,1486.2459253765746
13,46,3.5384615384615383,1451.7454328474596
13,47,3.6153846153846154,1426.346229839154
13,48,3.6923076923076925,1423.8826845682984
13,49,3.769230769230769,1423.8826845682984
13,50,3.8461538461538463,1510.0605807511702
13,51,3.923076923076923,1510.0605807511702
14,28,2.0,1696.0752520177623
14,29,2.0714285714285716,1696.0752520177623
14,30,2.142857142857143,1776.4693601058711
14,31,2.2142857142857144,1637.4869414005384
14,32,2.2857142857142856,1594.066370327304
14,33,2.357142857142857,1538.3601696033709
14,34,2.4285714285714284,1538.696500576531
14,35,2.5,1431.1982670441541
14,36,2.5714285714285716,1494.2226340349603
14,37,2.642857142857143,1378.6024633857066
14,38,2.7142857142857144,1436.8101229508816
14,39,2.7857142857142856,1506.1342198183047
14,40,2.857142857142857,1421.5169446429431
14,41,2.9285714285714284,1503.7135026665146
14,42,3.0,1486.2459253765746
14,43,3.0714285714285716,1486.2459253765746
14,44,3.142857142857143,1470.040576350422
14,45,3.2142857142857144,1383.295826155849
