sewma,bewma,ratio,dollars
4,8,2.0,2588.3147518016913
4,9,2.25,2636.9006084752846
4,10,2.5,2548.328685931038
4,11,2.75,2655.6712185171705
4,12,3.0,2898.013200969538
4,13,3.25,2941.7794433563686
4,14,3.5,2747.2205592472965
4,15,3.75,2853.2142255591457
5,10,2.0,2852.2787761518384
5,11,2.2,2779.808847005911
5,12,2.4,2811.149674362519
5,13,2.6,2460.6525005725607
5,14,2.8,2614.3192099907883
5,15,3.0,2611.4278649450634
5,16,3.2,2583.065575922826
5,17,3.4,2303.18733319586
5,18,3.6,2550.669074683177
5,19,3.8,2271.2470210938213
6,12,2.0,2396.694153703301
6,13,2.1666666666666665,2459.9653628252304
6,14,2.3333333333333335,2489.552949770381
6,15,2.5,2371.658684210929
6,16,2.6666666666666665,2463.0321565281656
6,17,2.8333333333333335,2420.246113720918
6,18,3.0,2270.893847430271
6,19,3.1666666666666665,2244.7662906950422
6,20,3.3333333333333335,2343.7085231473275
6,21,3.5,2258.377765072202
6,22,3.6666666666666665,2351.5301039286637
6,23,3.8333333333333335,2373.343092220536
7,14,2.0,2302.672654290198
7,15,2.142857142857143,2065.0700376408604
7,16,2.2857142857142856,2427.30347105959
7,17,2.4285714285714284,2605.701926354894
7,18,2.5714285714285716,2206.1202957151067
7,19,2.7142857142857144,2246.0559420019254
7,20,2.857142857142857,2527.7450883070787
7,21,3.0,2545.325275859098
7,22,3.142857142857143,2596.1967611712835
7,23,3.2857142857142856,2226.4083694722926
7,24,3.4285714285714284,1987.1319851281282
7,25,3.5714285714285716,1877.9450206747654
7,26,3.7142857142857144,2266.870974552513
7,27,3.857142857142857,2111.0945678858793
8,16,2.0,2180.459135373713
8,17,2.125,2330.935499813629
8,18,2.25,2515.703622764502
8,19,2.375,2309.2788147856027
8,20,2.5,2703.5947517593618
8,21,2.625,2243.742775875739
8,22,2.75,2265.5156019350707
8,23,2.875,2227.21367903032
8,24,3.0,2242.128851180552
8,25,3.125,2235.08515319688
8,26,3.25,2234.631136593401
8,27,3.375,2389.6936948977673
8,28,3.5,2258.0901905237884
8,29,3.625,2308.0112400100543
8,30,3.75,2418.5980711020843
8,31,3.875,2388.0196844874627
9,18,2.0,2398.5344610436264
9,19,2.111111111111111,2756.2863717037685
9,20,2.2222222222222223,2407.9447098409814
9,21,2.3333333333333335,2416.06964049112
9,22,2.4444444444444446,2329.696944535539
9,23,2.5555555555555554,2482.979269144468
9,24,2.6666666666666665,2281.80223206382
9,25,2.7777777777777777,2411.4357034461996
9,26,2.888888888888889,2327.224187454933
9,27,3.0,2289.3229686534582
9,28,3.111111111111111,2178.2288032149067
9,29,3.2222222222222223,2480.5605342277954
9,30,3.3333333333333335,2669.6284942128163
9,31,3.4444444444444446,2622.709243333283
9,32,3.5555555555555554,2689.5416308028325
9,33,3.6666666666666665,2332.6365173228287
9,34,3.7777777777777777,2697.835336422791
9,35,3.888888888888889,2697.835336422791
10,20,2.0,2604.395820761559
10,21,2.1,2818.2845377744748
10,22,2.2,2506.625370306425
10,23,2.3,2497.529679804269
10,24,2.4,2417.1595751724253
10,25,2.5,2471.2125405351517
10,26,2.6,2302.194776886159
10,27,2.7,2384.3871410435413
10,28,2.8,2540.3071905352954
10,29,2.9,2565.199573615764
10,30,3.0,2696.2822322806232
10,31,3.1,2750.5119890015717
10,32,3.2,2655.501562582276
10,33,3.3,2635.343420150985
10,34,3.4,2854.6415857749016
10,35,3.5,2986.8742152320215
10,36,3.6,2826.324155387078
10,37,3.7,2806.011251295342
10,38,3.8,2870.461152191768
10,39,3.9,2768.6381606058508
11,22,2.0,2527.7191989928833
11,23,2.090909090909091,2485.2796192407877
11,24,2.1818181818181817,2457.2685635694784
11,25,2.272727272727273,2338.351923099672
11,26,2.3636363636363638,2460.167977170604
11,27,2.4545454545454546,2624.5011115222737
11,28,2.5454545454545454,2547.0734017130203
11,29,2.6363636363636362,2562.3219142033145
11,30,2.727272727272727,2671.620699441154
11,31,2.8181818181818183,2676.965584668954
11,32,2.909090909090909,2778.767364249097
11,33,3.0,2881.287766556022
11,34,3.090909090909091,3019.9289001339275
11,35,3.1818181818181817,2870.656465729928
11,36,3.272727272727273,2882.359884447459
11,37,3.3636363636363638,2809.790744500883
11,38,3.4545454545454546,3497.042144468955
11,39,3.5454545454545454,3459.8005054322407
11,40,3.6363636363636362,3180.09993895176
11,41,3.727272727272727,3331.5438960673832
11,42,3.8181818181818183,3131.260862075051
11,43,3.909090909090909,3080.4302262393035
12,24,2.0,2390.3430647399096
12,25,2.0833333333333335,2466.428917147761
12,26,2.1666666666666665,2616.225679658598
12,27,2.25,2547.0734017130203
12,28,2.3333333333333335,2621.432823546656
12,29,2.4166666666666665,3219.4979144489075
12,30,2.5,2928.3317173087535
12,31,2.5833333333333335,2926.79433413511
12,32,2.6666666666666665,2954.366658420076
12,33,2.75,3127.1940252008594
12,34,2.8333333333333335,2938.6445709923805
12,35,2.9166666666666665,3169.309311278101
12,36,3.0,3090.359086871351
12,37,3.0833333333333335,3167.521946864143
12,38,3.1666666666666665,3195.7381985099764
12,39,3.25,3254.8771775238865
12,40,3.3333333333333335,3440.8807694728157
12,41,3.4166666666666665,3308.0387416830454
12,42,3.5,3413.115213624118
12,43,3.5833333333333335,3370.91895929821
12,44,3.6666666666666665,3370.91895929821
12,45,3.75,3076.417709094857
12,46,3.8333333333333335,3180.6819325246797
12,47,3.9166666666666665,2982.620972126242
13,26,2.0,2507.4975890716237
13,27,2.076923076923077,2635.468312980984
13,28,2.1538461538461537,3242.818045578061
13,29,2.230769230769231,2800.1349365718756
13,30,2.3076923076923075,2972.2604115097283
13,31,2.3846153846153846,3130.3718458629096
13,32,2.4615384615384617,3139.2451159501998
13,33,2.5384615384615383,2937.5265697796594
13,34,2.6153846153846154,3049.978172678841
13,35,2.6923076923076925,3128.883492151087
13,36,2.769230769230769,3337.848920663569
13,37,2.8461538461538463,3148.6609859098717
13,38,2.923076923076923,3483.0758392930784
13,39,3.0,3405.0557517206585
13,40,3.076923076923077,3733.364714167464
13,41,3.1538461538461537,3554.454250919292
13,42,3.230769230769231,3535.28616172178
13,43,3.3076923076923075,3171.523855350261
13,44,3.3846153846153846,3170.0299218740097
13,45,3.4615384615384617,3298.837300744246
13,46,3.5384615384615383,3514.3391809689833
13,47,3.6153846153846154,3168.412879013474
13,48,3.6923076923076925,3150.153742241559
13,49,3.769230769230769,3123.0224844082627
13,50,3.8461538461538463,3096.5692150865134
13,51,3.923076923076923,3305.800223464097
14,28,2.0,3030.508140418485
14,29,2.0714285714285716,2964.1020383634973
14,30,2.142857142857143,2854.410442316878
14,31,2.2142857142857144,2915.4550210156144
14,32,2.2857142857142856,3098.1490077619515
14,33,2.357142857142857,3221.7009196547297
14,34,2.4285714285714284,3128.883492151087
14,35,2.5,3337.848920663569
14,36,2.5714285714285716,3367.458803320248
14,37,2.642857142857143,3548.9563740976764
14,38,2.7142857142857144,3829.0240228152106
14,39,2.7857142857142856,3682.1906401234273
14,40,2.857142857142857,3613.51317004821
14,41,2.9285714285714284,3252.032023172423
14,42,3.0,3477.5947297021658
14,43,3.0714285714285716,3419.7097887931905
14,44,3.142857142857143,3459.006550549483
14,45,3.2142857142857144,3471.2566499097675
14,46,3.2857142857142856,3240.385641479622
14,47,3.357142857142857,3128.6245323847243
14,48,3.4285714285714284,3096.5692150865134
14,49,3.5,3096.5692150865134
14,50,3.5714285714285716,3427.8640124551434
14,51,3.642857142857143,3583.1509515197995
14,52,3.7142857142857144,3720.4962523207755
14,53,3.7857142857142856,3730.0484334475723
14,54,3.857142857142857,3718.2601506795813
14,55,3.9285714285714284,3718.2601506795813
15,30,2.0,3243.788595603846
15,31,2.066666666666667,3155.1567895947983
15,32,2.1333333333333333,3272.583914516127
15,33,2.2,3195.2332697187917
15,34,2.2666666666666666,3513.4549021428866
15,35,2.3333333333333335,3657.5043498014347
15,36,2.4,3683.4373483322497
15,37,2.466666666666667,3971.140904733999
15,38,2.533333333333333,3682.1906401234273
15,39,2.6,3551.1043019605295
15,40,2.6666666666666665,3417.127025719121
15,41,2.7333333333333334,3475.123662742164
15,42,2.8,3781.3727564221604
15,43,2.8666666666666667,3474.4833884065633
15,44,2.933333333333333,3553.408761189489
15,45,3.0,3701.0346165933634
15,46,3.066666666666667,3221.1850154028944
15,47,3.1333333333333333,3215.8786656425254
15,48,3.2,3411.208573096958
15,49,3.2666666666666666,3559.9381059112848
15,50,3.3333333333333335,3717.126886952957
15,51,3.4,3717.126886952957
15,52,3.466666666666667,3787.444877923105
15,53,3.533333333333333,3718.2601506795813
15,54,3.6,3693.2818837205964
15,55,3.6666666666666665,3693.2818837205964
15,56,3.7333333333333334,3732.36660867908
15,57,3.8,3264.8931140051704
15,58,3.8666666666666667,3264.8931140051704
15,59,3.933333333333333,2938.016655507129
