sewma,bewma,ratio,dollars
4,8,2.0,988.998598820205
4,9,2.25,1104.850784277409
4,10,2.5,1554.4783770643826
4,11,2.75,1551.302714168449
4,12,3.0,1472.5571740156252
4,13,3.25,1309.3577429039785
4,14,3.5,1510.2549244733073
4,15,3.75,1356.8530169191058
5,10,2.0,1550.358817933716
5,11,2.2,1573.393757809511
5,12,2.4,1469.525892522063
5,13,2.6,1277.1148355656399
5,14,2.8,1442.4502696995976
5,15,3.0,1222.1410483079708
5,16,3.2,1273.345095828845
5,17,3.4,1214.5624718228758
5,18,3.6,1467.2828129238526
5,19,3.8,1463.2193008196612
6,12,2.0,1399.6372365809696
6,13,2.1666666666666665,1278.9652747960913
6,14,2.3333333333333335,1201.2041055143798
6,15,2.5,1400.5140030872358
6,16,2.6666666666666665,1379.1580804407163
6,17,2.8333333333333335,1241.14177700455
6,18,3.0,1448.0748482221668
6,19,3.1666666666666665,1182.5994515016191
6,20,3.3333333333333335,1115.84980619119
6,21,3.5,1018.0347384907528
6,22,3.6666666666666665,907.1148541030842
6,23,3.8333333333333335,934.9366303019282
7,14,2.0,1424.3960932738637
7,15,2.142857142857143,1321.9236324687377
7,16,2.2857142857142856,1274.0292701941885
7,17,2.4285714285714284,1161.1512574287597
7,18,2.5714285714285716,1362.1545265787227
7,19,2.7142857142857144,1063.0641693360035
7,20,2.857142857142857,1215.3143170767955
7,21,3.0,1145.138493670791
7,22,3.142857142857143,1069.8713397215172
7,23,3.2857142857142856,1117.7162534389724
7,24,3.4285714285714284,1186.2893139937441
7,25,3.5714285714285716,1139.215367046818
7,26,3.7142857142857144,1175.9552142680873
7,27,3.857142857142857,1230.7360428789557
8,16,2.0,1322.9976194724127
8,17,2.125,1147.2960334460615
8,18,2.25,1243.1482751394021
8,19,2.375,1310.9851284443134
8,20,2.5,1137.717997512194
8,21,2.625,1163.72455515273
8,22,2.75,1155.0030522840348
8,23,2.875,1154.1592841269155
8,24,3.0,1220.1142421528928
8,25,3.125,1162.0014195390556
8,26,3.25,1219.9995943873575
8,27,3.375,1209.3200841146804
8,28,3.5,1368.4902535004053
8,29,3.625,1308.483458857787
8,30,3.75,1163.014333312302
8,31,3.875,1293.6022095284484
9,18,2.0,1444.3494596126475
9,19,2.111111111111111,1258.700755268136
9,20,2.2222222222222223,1169.711689598415
9,21,2.3333333333333335,1201.0908582049517
9,22,2.4444444444444446,1290.245796980852
9,23,2.5555555555555554,1266.6007241524883
9,24,2.6666666666666665,1276.2158401940783
9,25,2.7777777777777777,1221.668074202345
9,26,2.888888888888889,1229.549241647455
9,27,3.0,1121.5780980378145
9,28,3.111111111111111,1121.5780980378145
9,29,3.2222222222222223,1074.0071198242747
9,30,3.3333333333333335,1058.7384563999044
9,31,3.4444444444444446,1038.4318753564942
9,32,3.5555555555555554,884.0652631979601
9,33,3.6666666666666665,876.2402526770381
9,34,3.7777777777777777,901.5529224703083
9,35,3.888888888888889,837.4674591360126
10,20,2.0,1299.0668651847
10,21,2.1,1297.068570479084
10,22,2.2,1293.8742186782283
10,23,2.3,1215.9357483558813
10,24,2.4,1062.9255987980891
10,25,2.5,1065.229051332154
10,26,2.6,1108.4409260098103
10,27,2.7,1108.4409260098103
10,28,2.8,1049.3673840310323
10,29,2.9,1049.3673840310323
10,30,3.0,876.2402526770381
10,31,3.1,876.2402526770381
10,32,3.2,813.9541004330829
10,33,3.3,815.5838873394938
10,34,3.4,845.510401843875
10,35,3.5,835.7290785496674
10,36,3.6,868.0690146762787
10,37,3.7,868.0690146762787
10,38,3.8,868.0690146762787
10,39,3.9,875.4319355120149
11,22,2.0,1102.471763442744
11,23,2.090909090909091,1034.1227200007818
11,24,2.1818181818181817,1055.800529614522
11,25,2.272727272727273,1098.629928712538
11,26,2.3636363636363638,1011.9801975032053
11,27,2.4545454545454546,1049.3673840310323
11,28,2.5454545454545454,864.1389002688974
11,29,2.6363636363636362,766.7438302968767
11,30,2.727272727272727,766.7438302968767
11,31,2.8181818181818183,821.9063891097602
11,32,2.909090909090909,817.8405375960144
11,33,3.0,849.4882466759811
11,34,3.090909090909091,839.6609055134751
11,35,3.1818181818181817,839.6609055134751
11,36,3.272727272727273,839.6609055134751
11,37,3.3636363636363638,839.6609055134751
11,38,3.4545454545454546,791.1918319367918
11,39,3.5454545454545454,791.1918319367918
11,40,3.6363636363636362,791.1918319367918
11,41,3.727272727272727,805.9183939181895
11,42,3.8181818181818183,805.9183939181895
11,43,3.909090909090909,805.9183939181895
12,24,2.0,880.0472924634469
12,25,2.0833333333333335,978.8625035926731
12,26,2.1666666666666665,841.5583862920217
12,27,2.25,781.7375396570726
12,28,2.3333333333333335,766.7438302968767
12,29,2.4166666666666665,821.9063891097602
12,30,2.5,817.8405375960144
12,31,2.5833333333333335,849.4882466759811
12,32,2.6666666666666665,839.6609055134751
12,33,2.75,821.0667433997368
12,34,2.8333333333333335,821.0667433997368
12,35,2.9166666666666665,821.0667433997368
12,36,3.0,819.9149677496786
12,37,3.0833333333333335,707.8792345875036
12,38,3.1666666666666665,732.5368566921478
12,39,3.25,732.5368566921478
12,40,3.3333333333333335,721.0550877784779
12,41,3.4166666666666665,721.0550877784779
12,42,3.5,721.0550877784779
12,43,3.5833333333333335,730.9848718262747
12,44,3.6666666666666665,615.2993728107458
12,45,3.75,606.0434366868019
12,46,3.8333333333333335,540.356025215786
12,47,3.9166666666666665,622.8549224975351
13,26,2.0,781.7375396570726
13,27,2.076923076923077,798.8299345722844
13,28,2.1538461538461537,817.8405375960144
13,29,2.230769230769231,849.4882466759811
13,30,2.3076923076923075,830.6764595977805
13,31,2.3846153846153846,821.0667433997368
13,32,2.4615384615384617,734.6083141938869
13,33,2.5384615384615383,719.3905068281529
13,34,2.6153846153846154,719.3905068281529
13,35,2.6923076923076925,751.8303493747821
13,36,2.769230769230769,794.1512608452986
13,37,2.8461538461538463,794.1512608452986
13,38,2.923076923076923,794.1512608452986
13,39,3.0,781.7037489198234
13,40,3.076923076923077,655.2033924464254
13,41,3.1538461538461537,664.2263205203698
13,42,3.230769230769231,654.2343773033729
13,43,3.3076923076923075,657.0183533770041
13,44,3.3846153846153846,697.5125508116424
13,45,3.4615384615384617,675.9932630472385
13,46,3.5384615384615383,659.5818659096755
13,47,3.6153846153846154,656.2028604490728
13,48,3.6923076923076925,628.1444511444832
13,49,3.769230769230769,594.7240558621331
13,50,3.8461538461538463,562.7529145358393
13,51,3.923076923076923,730.6614034951322
14,28,2.0,743.2061260927057
14,29,2.0714285714285716,761.698221647145
14,30,2.142857142857143,752.886483148948
14,31,2.2142857142857144,760.9651904012968
14,32,2.2857142857142856,760.9651904012968
14,33,2.357142857142857,787.4719604588166
14,34,2.4285714285714284,822.9818346713653
14,35,2.5,794.1512608452986
14,36,2.5714285714285716,794.1512608452986
14,37,2.642857142857143,655.2033924464254
14,38,2.7142857142857144,655.2033924464254
14,39,2.7857142857142856,645.3471809554692
14,40,2.857142857142857,654.2343773033729
14,41,2.9285714285714284,732.9552617268682
14,42,3.0,736.074220287408
14,43,3.0714285714285716,712.5744254069656
14,44,3.142857142857143,744.7610411901188
14,45,3.2142857142857144,705.7442840245347
14,46,3.2857142857142856,672.1066464214395
14,47,3.357142857142857,672.1066464214395
14,48,3.4285714285714284,835.8562657313902
14,49,3.5,709.7831939395031
14,50,3.5714285714285716,676.0045563335472
14,51,3.642857142857143,652.2081052329498
14,52,3.7142857142857144,680.2516734880202
14,53,3.7857142857142856,682.7743406460704
14,54,3.857142857142857,683.844519863384
14,55,3.9285714285714284,686.2054609676974
15,30,2.0,760.9651904012968
15,31,2.066666666666667,760.9651904012968
15,32,2.1333333333333333,787.4719604588166
15,33,2.2,822.9818346713653
15,34,2.2666666666666666,889.707672719367
15,35,2.3333333333333335,745.729422760045
15,36,2.4,734.0408738139628
15,37,2.466666666666667,722.9987116720623
15,38,2.533333333333333,722.9987116720623
15,39,2.6,765.2132272408409
15,40,2.6666666666666665,765.2132272408409
15,41,2.7333333333333334,768.469453739738
15,42,2.8,744.7610411901188
15,43,2.8666666666666667,744.7610411901188
15,44,2.933333333333333,744.7610411901188
15,45,3.0,921.4669749645939
15,46,3.066666666666667,885.2010524996131
15,47,3.1333333333333333,847.0159090584533
15,48,3.2,848.1502823462895
15,49,3.2666666666666666,794.1113262551203
15,50,3.3333333333333335,736.8990981309634
15,51,3.4,709.4191929639659
15,52,3.466666666666667,709.4191929639659
15,53,3.533333333333333,686.2054609676974
15,54,3.6,625.6095610019797
15,55,3.6666666666666665,646.8035213766543
15,56,3.7333333333333334,676.0901097994462
