sewma,bewma,ratio,dollars
4,8,2.0,3141.021443680586
4,9,2.25,2670.690546188528
4,10,2.5,2122.9280139310636
4,11,2.75,2292.9845966382964
4,12,3.0,2187.3094419636273
4,13,3.25,2050.6522121040325
4,14,3.5,1909.155191333149
4,15,3.75,1889.556120340927
5,10,2.0,2444.3436010537184
5,11,2.2,2505.5387911539383
5,12,2.4,2237.1727639469163
5,13,2.6,1928.1382716684266
5,14,2.8,1728.390710838152
5,15,3.0,1745.8073434307055
5,16,3.2,1660.7054446522209
5,17,3.4,1587.6830172227599
5,18,3.6,1128.1382821279385
5,19,3.8,1098.790865758757
6,12,2.0,2155.18252263651
6,13,2.1666666666666665,2032.6504740391822
6,14,2.3333333333333335,2199.530231694409
6,15,2.5,2102.352060046373
6,16,2.6666666666666665,1295.9295214189142
6,17,2.8333333333333335,1166.962306772886
6,18,3.0,1032.8679712047676
6,19,3.1666666666666665,875.2258926379487
6,20,3.3333333333333335,903.2506628016517
6,21,3.5,884.6615533991036
6,22,3.6666666666666665,877.8628285511227
6,23,3.8333333333333335,824.913631932252
7,14,2.0,1432.5417711478328
7,15,2.142857142857143,1255.1548767334598
7,16,2.2857142857142856,1109.6668849580296
7,17,2.4285714285714284,988.0839682675785
7,18,2.5714285714285716,876.0485968637641
7,19,2.7142857142857144,952.4015412467536
7,20,2.857142857142857,913.00874360059
7,21,3.0,963.609770137677
7,22,3.142857142857143,878.4218595181347
7,23,3.2857142857142856,808.0139724873758
7,24,3.4285714285714284,797.5933678577037
7,25,3.5714285714285716,754.7751594645076
7,26,3.7142857142857144,842.5780686399959
7,27,3.857142857142857,924.8656894871025
8,16,2.0,853.5252110781594
8,17,2.125,917.5208688430561
8,18,2.25,938.6590484978926
8,19,2.375,957.1760080718933
8,20,2.5,928.9200944852946
8,21,2.625,848.9402306286386
8,22,2.75,820.550053640793
8,23,2.875,814.6782288716979
8,24,3.0,844.1289795660815
8,25,3.125,755.912600291466
8,26,3.25,833.602044115067
8,27,3.375,1138.1395157980805
8,28,3.5,1302.7438135617667
8,29,3.625,1136.0261066119933
8,30,3.75,1215.483131419755
8,31,3.875,1321.9195670457332
9,18,2.0,925.8288120774499
9,19,2.111111111111111,851.0524168904215
9,20,2.2222222222222223,812.7383713456398
9,21,2.3333333333333335,803.5102403178765
9,22,2.4444444444444446,926.3032994084886
9,23,2.5555555555555554,768.4697586654554
9,24,2.6666666666666665,861.0396587455375
9,25,2.7777777777777777,975.8889634300601
9,26,2.888888888888889,1072.5486573144228
9,27,3.0,1236.5845066955703
9,28,3.111111111111111,1528.264385637755
9,29,3.2222222222222223,1470.3618561468022
9,30,3.3333333333333335,1335.190372451264
9,31,3.4444444444444446,1384.9507188723562
9,32,3.5555555555555554,1616.89917777865
9,33,3.6666666666666665,1600.9441753438693
9,34,3.7777777777777777,1604.520494525075
9,35,3.888888888888889,1647.9658515810374
10,20,2.0,897.588113954961
10,21,2.1,845.5219297606208
10,22,2.2,869.168613803372
10,23,2.3,976.981925950206
10,24,2.4,1091.6256519039318
10,25,2.5,1220.5206713812038
10,26,2.6,1418.2598123470561
10,27,2.7,1493.3353839825104
10,28,2.8,1508.7128326316583
10,29,2.9,1485.2947455806036
10,30,3.0,1482.8951113998605
10,31,3.1,1765.67278713199
10,32,3.2,1689.1618438008438
10,33,3.3,1798.834859371431
10,34,3.4,2415.4905758926466
10,35,3.5,2060.8865805055334
10,36,3.6,2200.3544809511764
10,37,3.7,1794.3519715791297
10,38,3.8,1811.8517469898632
10,39,3.9,1580.8125149047585
11,22,2.0,987.5390353486467
11,23,2.090909090909091,1200.551461317652
11,24,2.1818181818181817,1208.3373131306441
11,25,2.272727272727273,1513.0324596622147
11,26,2.3636363636363638,1380.3798983685908
11,27,2.4545454545454546,1577.4388515903324
11,28,2.5454545454545454,1607.4528078117728
11,29,2.6363636363636362,1616.3359827489132
11,30,2.727272727272727,1770.9387095768088
11,31,2.8181818181818183,2318.4656589963456
11,32,2.909090909090909,2287.813285302499
11,33,3.0,2075.203263940792
11,34,3.090909090909091,1985.450456552307
11,35,3.1818181818181817,1794.3519715791297
11,36,3.272727272727273,1842.1369663601872
11,37,3.3636363636363638,1842.4559891887102
11,38,3.4545454545454546,1607.5142410021003
11,39,3.5454545454545454,1599.7134786540837
11,40,3.6363636363636362,1725.69192590489
11,41,3.727272727272727,1626.2032357457483
11,42,3.8181818181818183,1626.2032357457483
11,43,3.909090909090909,1743.1433966477289
12,24,2.0,1430.0963436011937
12,25,2.0833333333333335,1443.2599992158628
12,26,2.1666666666666665,1699.9910339686794
12,27,2.25,1579.6174948237433
12,28,2.3333333333333335,1613.8808726674874
12,29,2.4166666666666665,2380.447464621216
12,30,2.5,2318.4656589963456
12,31,2.5833333333333335,2075.203263940792
12,32,2.6666666666666665,1999.2430960559702
12,33,2.75,1794.3519715791297
12,34,2.8333333333333335,1830.1655165796901
12,35,2.9166666666666665,1873.2527604507352
12,36,3.0,1842.4559891887102
12,37,3.0833333333333335,1842.4559891887102
12,38,3.1666666666666665,1599.7134786540837
12,39,3.25,1680.1612650196007
12,40,3.3333333333333335,1596.2652098655035
12,41,3.4166666666666665,1663.4257352715385
12,42,3.5,1717.319379837349
12,43,3.5833333333333335,1717.319379837349
12,44,3.6666666666666665,1671.0001548187233
12,45,3.75,1605.0744098334787
12,46,3.8333333333333335,1580.0748103586945
12,47,3.9166666666666665,1669.5541849784543
13,26,2.0,1706.789151193259
13,27,2.076923076923077,1886.6883371720248
13,28,2.1538461538461537,2380.447464621216
13,29,2.230769230769231,1965.5127800249627
13,30,2.3076923076923075,1881.2163518495229
13,31,2.3846153846153846,1806.8170773212562
13,32,2.4615384615384617,1781.8784241685426
13,33,2.5384615384615383,1781.8784241685426
13,34,2.6153846153846154,1823.828854069652
13,35,2.6923076923076925,1814.5764058566815
13,36,2.769230769230769,1814.5764058566815
13,37,2.8461538461538463,1805.770835776268
13,38,2.923076923076923,1963.9309952465098
13,39,3.0,1764.9716823526228
13,40,3.076923076923077,1737.1667449327927
13,41,3.1538461538461537,1642.0628696802503
13,42,3.230769230769231,1654.8011824173188
13,43,3.3076923076923075,1704.1911018239084
13,44,3.3846153846153846,1704.1911018239084
13,45,3.4615384615384617,1781.316267233968
13,46,3.5384615384615383,1661.4498762333694
13,47,3.6153846153846154,1631.923559914665
13,48,3.6923076923076925,1631.923559914665
13,49,3.769230769230769,1800.720071317736
13,50,3.8461538461538463,1762.3766092068824
13,51,3.923076923076923,1763.2837198514326
14,28,2.0,1734.7690936094841
14,29,2.0714285714285716,1946.4950602870429
14,30,2.142857142857143,1794.2568779661704
14,31,2.2142857142857144,1781.8784241685426
14,32,2.2857142857142856,1797.0503143202943
14,33,2.357142857142857,1844.9071680765396
14,34,2.4285714285714284,1814.5764058566815
14,35,2.5,1814.5764058566815
14,36,2.5714285714285716,1820.560690515465
14,37,2.642857142857143,2146.685791261377
14,38,2.7142857142857144,1993.368102163755
14,39,2.7857142857142856,1642.0628696802503
14,40,2.857142857142857,1654.8011824173188
14,41,2.9285714285714284,1683.9852262175193
14,42,3.0,1750.2576576038084
14,43,3.0714285714285716,1717.7349844635255
14,44,3.142857142857143,1760.2489253289975
14,45,3.2142857142857144,1798.0227871752882
