sewma,bewma,ratio,dollars
4,8,2.0,5243.2663038417295
4,9,2.25,4510.943973564527
4,10,2.5,5367.774413653449
4,11,2.75,5803.69039088596
4,12,3.0,7973.966892757474
4,13,3.25,6755.007966645693
4,14,3.5,7597.03847102793
4,15,3.75,7624.825476276289
5,10,2.0,6315.290932980841
5,11,2.2,7694.094037136954
5,12,2.4,7352.406856381461
5,13,2.6,8370.54819084713
5,14,2.8,8717.300067727334
5,15,3.0,11550.783791753984
5,16,3.2,12026.139419340396
5,17,3.4,12262.35004313485
5,18,3.6,10562.63619106667
5,19,3.8,9665.23243700306
6,12,2.0,8041.679072869705
6,13,2.1666666666666665,8121.968775307657
6,14,2.3333333333333335,11415.470902751584
6,15,2.5,12030.429930317354
6,16,2.6666666666666665,10799.581267642383
6,17,2.8333333333333335,10186.901845057757
6,18,3.0,9753.329155406424
6,19,3.1666666666666665,9685.505629264062
6,20,3.3333333333333335,8897.129014861288
6,21,3.5,7917.3166571347
6,22,3.6666666666666665,7945.305595538314
6,23,3.8333333333333335,8351.560244852139
7,14,2.0,10752.944138269711
7,15,2.142857142857143,9306.002621144606
7,16,2.2857142857142856,10080.631456573792
7,17,2.4285714285714284,10400.821325015948
7,18,2.5714285714285716,8344.04070514694
7,19,2.7142857142857144,8355.438723330386
7,20,2.857142857142857,8596.490392637832
7,21,3.0,7729.009875859455
7,22,3.142857142857143,8701.996880872406
7,23,3.2857142857142856,9016.119579525443
7,24,3.4285714285714284,9380.898827522498
7,25,3.5714285714285716,10603.02281334692
7,26,3.7142857142857144,10315.39410662626
7,27,3.857142857142857,10372.08999008355
8,16,2.0,9010.817635490559
8,17,2.125,8169.528275738438
8,18,2.25,8554.66477144253
8,19,2.375,7749.3286099550505
8,20,2.5,7849.332458671242
8,21,2.625,8567.051214924213
8,22,2.75,9051.917179085156
8,23,2.875,9443.797026611053
8,24,3.0,10038.075778941238
8,25,3.125,9852.649061730428
8,26,3.25,10052.986399317087
8,27,3.375,9979.950607527955
8,28,3.5,9740.381150148836
8,29,3.625,9180.538926261492
8,30,3.75,9180.538926261492
8,31,3.875,8625.870994456727
9,18,2.0,7775.866937482249
9,19,2.111111111111111,8508.81242303186
9,20,2.2222222222222223,9060.861761277927
9,21,2.3333333333333335,8842.82573317751
9,22,2.4444444444444446,9567.255419261615
9,23,2.5555555555555554,10084.87579178444
9,24,2.6666666666666665,10052.986399317087
9,25,2.7777777777777777,9465.02199504266
9,26,2.888888888888889,9330.35463991646
9,27,3.0,8233.465805160318
9,28,3.111111111111111,8233.465805160318
9,29,3.2222222222222223,9120.3230711654
9,30,3.3333333333333335,8473.065538087962
9,31,3.4444444444444446,8473.065538087962
9,32,3.5555555555555554,8656.419762434392
9,33,3.6666666666666665,8119.9916982234245
9,34,3.7777777777777777,8006.193624167874
9,35,3.888888888888889,7962.670851985222
10,20,2.0,9649.04252260896
10,21,2.1,9645.568470565098
10,22,2.2,10052.986399317087
10,23,2.3,9116.895432656827
10,24,2.4,9045.437082773036
10,25,2.5,8233.465805160318
10,26,2.6,8705.424436177123
10,27,2.7,8923.229215842457
10,28,2.8,8087.611722637791
10,29,2.9,8201.210670439223
10,30,3.0,8592.078587031097
10,31,3.1,8200.250117357007
10,32,3.2,8200.250117357007
10,33,3.3,8205.598179227865
10,34,3.4,7460.025721552522
10,35,3.5,7460.025721552522
10,36,3.6,7242.928187630461
10,37,3.7,7129.189773149524
10,38,3.8,7181.551973843336
10,39,3.9,7619.023535588936
11,22,2.0,9045.437082773036
11,23,2.090909090909091,8887.224068003214
11,24,2.1818181818181817,8799.077964825135
11,25,2.272727272727273,9114.312722869101
11,26,2.3636363636363638,9114.312722869101
11,27,2.4545454545454546,8376.832752856379
11,28,2.5454545454545454,8376.832752856379
11,29,2.6363636363636362,7816.791682951521
11,30,2.727272727272727,8200.250117357007
11,31,2.8181818181818183,8092.8719194027335
11,32,2.909090909090909,7649.195801645792
11,33,3.0,7287.563331541629
11,34,3.090909090909091,7247.9471326917965
11,35,3.1818181818181817,7273.219906580895
11,36,3.272727272727273,7680.712944675765
11,37,3.3636363636363638,7700.956243194145
11,38,3.4545454545454546,7488.039000823184
11,39,3.5454545454545454,7530.2116196517445
11,40,3.6363636363636362,7410.3469845144145
11,41,3.727272727272727,7253.493030097161
11,42,3.8181818181818183,7253.493030097161
11,43,3.909090909090909,7253.493030097161
12,24,2.0,9114.312722869101
12,25,2.0833333333333335,8376.832752856379
12,26,2.1666666666666665,8376.832752856379
12,27,2.25,7900.885241994154
12,28,2.3333333333333335,7900.885241994154
12,29,2.4166666666666665,7807.816721241374
12,30,2.5,7684.245204737559
12,31,2.5833333333333335,7465.792354800014
12,32,2.6666666666666665,7431.739359525804
12,33,2.75,7265.825456942243
12,34,2.8333333333333335,7741.643901910138
12,35,2.9166666666666665,7376.773557936384
12,36,3.0,7392.557017298637
12,37,3.0833333333333335,7511.031739578145
12,38,3.1666666666666665,7434.494712552371
12,39,3.25,7238.867070022453
12,40,3.3333333333333335,7253.493030097161
12,41,3.4166666666666665,6607.852789931429
12,42,3.5,6804.649839444435
12,43,3.5833333333333335,7524.641410187719
12,44,3.6666666666666665,7213.477881603839
12,45,3.75,7225.43644847568
12,46,3.8333333333333335,7206.035012914634
12,47,3.9166666666666665,7550.870348334787
13,26,2.0,7800.456683421223
13,27,2.076923076923077,7698.313581698842
13,28,2.1538461538461537,8113.5793777146655
13,29,2.230769230769231,7370.894284288596
13,30,2.3076923076923075,7370.894284288596
13,31,2.3846153846153846,7416.209016148234
13,32,2.4615384615384617,7867.698912017906
13,33,2.5384615384615383,7531.020559068541
13,34,2.6153846153846154,7420.220034224154
13,35,2.6923076923076925,7425.070697962692
13,36,2.769230769230769,7388.115965932216
13,37,2.8461538461538463,7388.115965932216
13,38,2.923076923076923,7229.199014477804
13,39,3.0,6465.158736694119
13,40,3.076923076923077,6841.865264607127
13,41,3.1538461538461537,7377.274174714714
13,42,3.230769230769231,7228.296973332796
13,43,3.3076923076923075,7228.296973332796
13,44,3.3846153846153846,7514.498022676364
13,45,3.4615384615384617,7550.870348334787
13,46,3.5384615384615383,7550.870348334787
13,47,3.6153846153846154,7246.751181532324
13,48,3.6923076923076925,5805.132045202548
13,49,3.769230769230769,5271.492508727507
13,50,3.8461538461538463,5271.492508727507
13,51,3.923076923076923,5271.492508727507
14,28,2.0,7035.580068626335
14,29,2.0714285714285716,7370.894284288596
14,30,2.142857142857143,8112.766725638523
14,31,2.2142857142857144,7762.433097744368
14,32,2.2857142857142856,7606.768707326703
14,33,2.357142857142857,7508.358647394139
14,34,2.4285714285714284,7303.561650889076
14,35,2.5,7228.572427890249
14,36,2.5714285714285716,6767.615129503796
14,37,2.642857142857143,6456.742366513845
