sma,bma,ratio,dollars
4,8,2.0,1128.3957545766634
4,9,2.25,955.0728990339622
4,10,2.5,929.8177494425213
4,11,2.75,945.9576040056552
4,12,3.0,1242.4547449852332
4,13,3.25,1232.6940607756485
4,14,3.5,1162.7514874760589
4,15,3.75,1161.4362421174892
5,10,2.0,1074.8926408141042
5,11,2.2,1331.686130282729
5,12,2.4,1291.618080945312
5,13,2.6,1381.2547690475267
5,14,2.8,1509.0602371782998
5,15,3.0,1617.1997359691356
5,16,3.2,1666.3903259202923
5,17,3.4,1581.1963823431481
5,18,3.6,1563.1165449306122
5,19,3.8,2027.46747899962
6,12,2.0,1302.9651195462895
6,13,2.1666666666666665,1382.5872007279022
6,14,2.3333333333333335,1470.2036552071943
6,15,2.5,1579.700160733552
6,16,2.6666666666666665,1619.1703278408775
6,17,2.8333333333333335,1585.5904446829786
6,18,3.0,1886.5783807198081
6,19,3.1666666666666665,1882.2634925711338
6,20,3.3333333333333335,2012.6010857416147
6,21,3.5,1791.430610013948
6,22,3.6666666666666665,1640.2064731295281
6,23,3.8333333333333335,1527.6120664839282
7,14,2.0,1239.5436857469765
7,15,2.142857142857143,1276.6763589527272
7,16,2.2857142857142856,1648.5687516442283
7,17,2.4285714285714284,2008.9032754402606
7,18,2.5714285714285716,2142.627390046898
7,19,2.7142857142857144,2227.1046583917446
7,20,2.857142857142857,1843.967644152365
7,21,3.0,1510.282573970171
7,22,3.142857142857143,1640.6377795707738
7,23,3.2857142857142856,1422.0500795960766
7,24,3.4285714285714284,1685.0742837332657
7,25,3.5714285714285716,2005.998831629136
7,26,3.7142857142857144,2042.305231480726
7,27,3.857142857142857,2047.3171205282845
8,16,2.0,1110.0810239311495
8,17,2.125,1289.6887993420194
8,18,2.25,2045.8105141108742
8,19,2.375,1875.4130073710362
8,20,2.5,1868.0039117013134
8,21,2.625,1830.1400487045096
8,22,2.75,1961.5021116132025
8,23,2.875,1825.2264648992768
8,24,3.0,1935.065831815144
8,25,3.125,2173.028344110809
8,26,3.25,2002.352795830584
8,27,3.375,1837.719058567647
8,28,3.5,2222.4008992412546
8,29,3.625,2186.450900880799
8,30,3.75,2254.2265986778443
8,31,3.875,2154.0698387489488
9,18,2.0,2368.593926984184
9,19,2.111111111111111,2107.8928714516574
9,20,2.2222222222222223,2549.4108111566266
9,21,2.3333333333333335,2146.1804977329884
9,22,2.4444444444444446,1697.5353658899435
9,23,2.5555555555555554,1343.5378126744756
9,24,2.6666666666666665,1517.1160203602055
9,25,2.7777777777777777,1724.1256767138914
9,26,2.888888888888889,1824.0594137831035
9,27,3.0,2160.669870119894
9,28,3.111111111111111,2025.8066207646868
9,29,3.2222222222222223,2221.1677772979738
9,30,3.3333333333333335,2146.61690800826
9,31,3.4444444444444446,2054.240609248239
9,32,3.5555555555555554,2235.614671837767
9,33,3.6666666666666665,2095.2459285422815
9,34,3.7777777777777777,1946.405142831527
9,35,3.888888888888889,2060.5415267528865
10,20,2.0,1854.4401620148767
10,21,2.1,1738.103584986176
10,22,2.2,1354.9506776434973
10,23,2.3,1407.5737853711041
10,24,2.4,1553.5114403327113
10,25,2.5,1873.2662701243246
10,26,2.6,1737.7301434668184
10,27,2.7,1621.171246372261
10,28,2.8,1710.260269203176
10,29,2.9,1919.6235759523838
10,30,3.0,2005.2029955256778
10,31,3.1,2124.7321681797653
10,32,3.2,1777.5842864373021
10,33,3.3,1822.0661756048248
10,34,3.4,2047.0391778283201
10,35,3.5,2066.4043000147067
10,36,3.6,1812.218880070082
10,37,3.7,1488.9410515668133
10,38,3.8,1481.627698065793
10,39,3.9,1397.9535629248157
11,22,2.0,1294.1536170003583
11,23,2.090909090909091,1416.594969342371
11,24,2.1818181818181817,1816.1232531843352
11,25,2.272727272727273,1570.431107871016
11,26,2.3636363636363638,1621.8667098759174
11,27,2.4545454545454546,2003.7306065323169
11,28,2.5454545454545454,1734.573100850483
11,29,2.6363636363636362,1543.6934951807887
11,30,2.727272727272727,1690.7219338236605
11,31,2.8181818181818183,1772.8272398719407
11,32,2.909090909090909,1705.2522597489547
11,33,3.0,1674.8883911563203
11,34,3.090909090909091,1788.9049024460849
11,35,3.1818181818181817,1692.883405417897
11,36,3.272727272727273,1449.0707592854255
11,37,3.3636363636363638,1320.1489287534564
11,38,3.4545454545454546,1468.0213778472014
11,39,3.5454545454545454,1620.0038357435003
11,40,3.6363636363636362,1705.6092848060916
11,41,3.727272727272727,1808.6505151725553
11,42,3.8181818181818183,1792.195361750578
11,43,3.909090909090909,1548.9847522315447
12,24,2.0,1813.0745079081225
12,25,2.0833333333333335,1888.493962008223
12,26,2.1666666666666665,1826.8592133605096
12,27,2.25,2073.9353001272234
12,28,2.3333333333333335,1797.6594441803707
12,29,2.4166666666666665,1649.7698476865774
12,30,2.5,1671.6810398791881
12,31,2.5833333333333335,1620.2577492299222
12,32,2.6666666666666665,1431.4409853373234
12,33,2.75,1481.816481021115
12,34,2.8333333333333335,1632.629910700663
12,35,2.9166666666666665,1351.7609197903714
12,36,3.0,1548.7493415869455
12,37,3.0833333333333335,1431.9169776543465
12,38,3.1666666666666665,1532.2176657078953
12,39,3.25,1781.8754497303796
12,40,3.3333333333333335,1839.2367591169373
12,41,3.4166666666666665,1915.028202437875
12,42,3.5,1921.4081923220754
12,43,3.5833333333333335,1833.5223044667744
12,44,3.6666666666666665,1750.8220883890717
12,45,3.75,1626.631872980608
12,46,3.8333333333333335,1644.563317736343
12,47,3.9166666666666665,1802.7510811461993
13,26,2.0,1673.5922773931193
13,27,2.076923076923077,1557.5169006001838
13,28,2.1538461538461537,1394.4607146590217
13,29,2.230769230769231,1411.616283290755
13,30,2.3076923076923075,1493.7283265235842
13,31,2.3846153846153846,1393.526034999719
13,32,2.4615384615384617,1440.4671584495206
13,33,2.5384615384615383,1575.381163470555
13,34,2.6153846153846154,1761.1377722068803
13,35,2.6923076923076925,1740.646536459069
13,36,2.769230769230769,1530.2902231815297
13,37,2.8461538461538463,1743.6479570800473
13,38,2.923076923076923,1716.1067441028872
13,39,3.0,1818.798396129701
13,40,3.076923076923077,1900.4612696231418
13,41,3.1538461538461537,2073.6805440691437
13,42,3.230769230769231,1877.2885218884412
13,43,3.3076923076923075,1914.6500787692999
13,44,3.3846153846153846,1655.8737225308814
13,45,3.4615384615384617,1599.684037625991
13,46,3.5384615384615383,1899.717571243246
13,47,3.6153846153846154,1885.1424237031476
13,48,3.6923076923076925,1983.9953747032564
13,49,3.769230769230769,1950.5526892771213
13,50,3.8461538461538463,1818.8062214665097
13,51,3.923076923076923,2073.9593102897807
14,28,2.0,1555.5311872771288
14,29,2.0714285714285716,1423.0692572810613
14,30,2.142857142857143,1524.4907264162316
14,31,2.2142857142857144,1677.708051809581
14,32,2.2857142857142856,1410.2230277172393
14,33,2.357142857142857,1736.7330629871115
14,34,2.4285714285714284,2007.622941126051
14,35,2.5,1855.5796940188227
14,36,2.5714285714285716,1918.4971861640713
14,37,2.642857142857143,1747.893988643542
14,38,2.7142857142857144,2089.129054681382
14,39,2.7857142857142856,1929.869584823331
14,40,2.857142857142857,1977.400857113888
14,41,2.9285714285714284,2003.940043576821
14,42,3.0,1771.1691078859224
14,43,3.0714285714285716,1677.4011314803238
14,44,3.142857142857143,1747.5042220748892
14,45,3.2142857142857144,1740.1985920513023
14,46,3.2857142857142856,1802.7530152541046
14,47,3.357142857142857,1922.4033693944573
14,48,3.4285714285714284,1902.519881525614
14,49,3.5,1867.166391799966
14,50,3.5714285714285716,2376.5794443651043
14,51,3.642857142857143,2279.7437740233663
14,52,3.7142857142857144,2028.9288243260269
14,53,3.7857142857142856,2060.798819138146
14,54,3.857142857142857,2148.63075985353
14,55,3.9285714285714284,2236.601085247968
15,30,2.0,1675.7915642737053
15,31,2.066666666666667,1770.4461069899005
15,32,2.1333333333333333,1696.8273169742727
15,33,2.2,1871.0821671734725
15,34,2.2666666666666666,1804.6645863262295
15,35,2.3333333333333335,1899.983422602648
15,36,2.4,1958.3154333817192
15,37,2.466666666666667,1736.813456277888
15,38,2.533333333333333,1946.468567092613
15,39,2.6,1795.092791235335
15,40,2.6666666666666665,1888.1382180553055
15,41,2.7333333333333334,1978.2009439649098
15,42,2.8,1933.935746298654
15,43,2.8666666666666667,1824.525609477484
15,44,2.933333333333333,1790.0376908677097
15,45,3.0,1736.8788840021286
15,46,3.066666666666667,1725.6528963514231
15,47,3.1333333333333333,1950.0386382064896
15,48,3.2,1748.6708089722367
15,49,3.2666666666666666,2277.324784760038
15,50,3.3333333333333335,2343.8393182258233
15,51,3.4,2364.0930777126637
15,52,3.466666666666667,2419.297972804294
15,53,3.533333333333333,2581.693574137425
15,54,3.6,2263.6052464166614
15,55,3.6666666666666665,2450.16692579801
15,56,3.7333333333333334,2394.680184296299
15,57,3.8,2713.746542313763
15,58,3.8666666666666667,2591.754536050678
15,59,3.933333333333333,2786.2293475477563
