sma,bma,ratio,dollars
4,8,2.0,7408.141104211187
4,9,2.25,6459.661140864233
4,10,2.5,9012.376180959602
4,11,2.75,6236.986888164427
4,12,3.0,7380.657104059901
4,13,3.25,6497.590493984917
4,14,3.5,8579.118400618285
4,15,3.75,8166.781656843261
5,10,2.0,7430.44089061759
5,11,2.2,6739.951637334802
5,12,2.4,6763.783506847346
5,13,2.6,7887.424961406162
5,14,2.8,8374.829963643893
5,15,3.0,9016.383477319621
5,16,3.2,7274.231433804892
5,17,3.4,7399.927117693284
5,18,3.6,8030.926465733292
5,19,3.8,7676.7855562915665
6,12,2.0,8303.82842174634
6,13,2.1666666666666665,11400.264536605098
6,14,2.3333333333333335,9244.192863727754
6,15,2.5,9038.793759649214
6,16,2.6666666666666665,9864.125275639302
6,17,2.8333333333333335,9456.849210741924
6,18,3.0,8768.264586451372
6,19,3.1666666666666665,8287.968357695721
6,20,3.3333333333333335,8037.25758282317
6,21,3.5,6510.497339664936
6,22,3.6666666666666665,7362.188596769336
6,23,3.8333333333333335,6084.820496664018
7,14,2.0,8233.915876845851
7,15,2.142857142857143,8666.29767058821
7,16,2.2857142857142856,11110.472047326708
7,17,2.4285714285714284,15342.216325400124
7,18,2.5714285714285716,12753.931931709907
7,19,2.7142857142857144,12409.216776830935
7,20,2.857142857142857,10462.549841258819
7,21,3.0,10258.357783328893
7,22,3.142857142857143,8490.116368712434
7,23,3.2857142857142856,7818.906323667087
7,24,3.4285714285714284,6234.547796286572
7,25,3.5714285714285716,6116.044706784271
7,26,3.7142857142857144,5433.694998486031
7,27,3.857142857142857,4916.288468598386
8,16,2.0,13960.580468552183
8,17,2.125,16773.69174146734
8,18,2.25,13658.679284274735
8,19,2.375,11275.220049989095
8,20,2.5,11894.805000808543
8,21,2.625,14552.440351343717
8,22,2.75,7722.515021830042
8,23,2.875,5734.32816892513
8,24,3.0,6399.006611887337
8,25,3.125,6417.281451392762
8,26,3.25,6991.277398619824
8,27,3.375,6159.985212119009
8,28,3.5,6090.272554555222
8,29,3.625,5089.879926493189
8,30,3.75,5040.803829421118
8,31,3.875,5620.804474920435
9,18,2.0,7886.339251515334
9,19,2.111111111111111,8146.111127201023
9,20,2.2222222222222223,10226.001637166086
9,21,2.3333333333333335,9983.927424453594
9,22,2.4444444444444446,7277.913086821597
9,23,2.5555555555555554,7800.060825175309
9,24,2.6666666666666665,8934.82764362228
9,25,2.7777777777777777,6531.6759474761475
9,26,2.888888888888889,4232.073906395265
9,27,3.0,5190.464382021527
