sma,bma,ratio,dollars
4,8,2.0,1886.5005384110586
4,9,2.25,2025.1539788756434
4,10,2.5,2102.4490338017536
4,11,2.75,2231.039678033507
4,12,3.0,2512.2888886518763
4,13,3.25,1945.9308603025038
4,14,3.5,3246.0668907344675
4,15,3.75,3110.6065822484843
5,10,2.0,2509.6619049505207
5,11,2.2,2513.247133009618
5,12,2.4,2856.4006572516905
5,13,2.6,2118.049111916292
5,14,2.8,2084.506297528648
5,15,3.0,3321.4587621932887
5,16,3.2,6130.533967446292
5,17,3.4,4724.754317172888
5,18,3.6,4642.0070426836255
5,19,3.8,4053.843873735674
6,12,2.0,2383.445878920094
6,13,2.1666666666666665,2575.354045241953
6,14,2.3333333333333335,3891.102905643164
6,15,2.5,4165.276212394318
6,16,2.6666666666666665,5135.141924776585
6,17,2.8333333333333335,4799.754175696263
6,18,3.0,5683.969881206471
6,19,3.1666666666666665,4075.6881375589924
6,20,3.3333333333333335,3833.2223635589266
6,21,3.5,3085.7701122567028
6,22,3.6666666666666665,2585.200808993227
6,23,3.8333333333333335,2540.837430845008
7,14,2.0,4060.430226078214
7,15,2.142857142857143,3765.7831812249856
7,16,2.2857142857142856,4269.270205789343
7,17,2.4285714285714284,4574.810089308866
7,18,2.5714285714285716,5129.214255535336
7,19,2.7142857142857144,4043.3916993173093
7,20,2.857142857142857,2946.8350487941834
7,21,3.0,3340.024734324966
7,22,3.142857142857143,2812.3009941204787
7,23,3.2857142857142856,2678.476088075086
7,24,3.4285714285714284,2807.838671477361
7,25,3.5714285714285716,2207.3083632778926
7,26,3.7142857142857144,2731.5042327157257
7,27,3.857142857142857,3204.834822097062
8,16,2.0,3473.102803072979
8,17,2.125,3354.9707857018775
8,18,2.25,3778.705005180321
8,19,2.375,2607.1160405732326
8,20,2.5,3104.2430032368734
8,21,2.625,2978.2936272323063
8,22,2.75,2738.9091874648198
8,23,2.875,3258.245875810609
8,24,3.0,3304.6221963868834
8,25,3.125,2673.8732950718195
8,26,3.25,3272.2408915583965
8,27,3.375,2827.0351363326686
8,28,3.5,2186.204721537165
8,29,3.625,2678.065382301222
8,30,3.75,2512.9353656371068
8,31,3.875,2424.0220355800266
9,18,2.0,2729.8649664091377
9,19,2.111111111111111,3390.581130923538
9,20,2.2222222222222223,3057.5576440311634
9,21,2.3333333333333335,2487.2363334630713
9,22,2.4444444444444446,2743.8475330409474
9,23,2.5555555555555554,3306.1322974585382
9,24,2.6666666666666665,2484.7110457404024
9,25,2.7777777777777777,2619.883224474931
9,26,2.888888888888889,2875.0366309032934
9,27,3.0,2191.6252601991205
9,28,3.111111111111111,2584.442963354345
9,29,3.2222222222222223,2652.543300429212
9,30,3.3333333333333335,2487.447574262932
9,31,3.4444444444444446,2254.4877705811427
9,32,3.5555555555555554,2598.497545586514
9,33,3.6666666666666665,2464.7386441254303
9,34,3.7777777777777777,2466.1619758784404
9,35,3.888888888888889,2203.8358387402886
10,20,2.0,2349.8140620797235
10,21,2.1,2434.636884364668
10,22,2.2,2802.80631835009
10,23,2.3,3237.487020725655
10,24,2.4,2233.101168395129
10,25,2.5,2336.904412027257
10,26,2.6,2213.509795792873
10,27,2.7,2408.9647349734205
10,28,2.8,2272.194278786856
10,29,2.9,2314.0758050793397
10,30,3.0,2579.9368277124054
10,31,3.1,2496.2716465507
10,32,3.2,2321.426043626316
10,33,3.3,2349.084574484062
10,34,3.4,1920.2093579293592
10,35,3.5,1943.3202129747103
10,36,3.6,2252.3247290020518
10,37,3.7,2352.913586289338
10,38,3.8,2072.83507506491
10,39,3.9,2167.295931630582
11,22,2.0,1520.3256076289363
11,23,2.090909090909091,1708.580700241721
11,24,2.1818181818181817,1768.896265654682
11,25,2.272727272727273,1895.4628175682906
11,26,2.3636363636363638,1851.3800240736357
11,27,2.4545454545454546,2273.6949711354328
11,28,2.5454545454545454,2051.2301441316217
11,29,2.6363636363636362,2279.1827081959627
11,30,2.727272727272727,2163.9894097634415
11,31,2.8181818181818183,1749.1184036852403
11,32,2.909090909090909,1620.6824272154893
11,33,3.0,1425.7963802524523
11,34,3.090909090909091,1449.5938438730393
11,35,3.1818181818181817,1616.9356565743717
11,36,3.272727272727273,1561.1041282470785
11,37,3.3636363636363638,1638.729444920646
11,38,3.4545454545454546,1566.8620411075085
11,39,3.5454545454545454,1719.1901229282475
11,40,3.6363636363636362,1890.834514029043
11,41,3.727272727272727,1868.1340381036946
11,42,3.8181818181818183,1649.3784745162943
11,43,3.909090909090909,1809.014144812132
12,24,2.0,2031.7520076238075
12,25,2.0833333333333335,2027.7674613819463
12,26,2.1666666666666665,1619.1310098733043
12,27,2.25,1693.9109570171795
12,28,2.3333333333333335,1898.8494707059485
12,29,2.4166666666666665,1695.10714160865
12,30,2.5,1432.6931533266495
12,31,2.5833333333333335,1396.6922539612087
12,32,2.6666666666666665,1346.184357525056
12,33,2.75,1299.5186632760726
12,34,2.8333333333333335,1185.8476295172022
12,35,2.9166666666666665,1411.150678319387
12,36,3.0,1332.128170503178
12,37,3.0833333333333335,1364.591573587419
12,38,3.1666666666666665,1349.1752443136131
12,39,3.25,1490.7136558252935
12,40,3.3333333333333335,1359.455442468943
12,41,3.4166666666666665,1428.0519720532764
12,42,3.5,1440.357177167249
12,43,3.5833333333333335,1663.9491899482714
12,44,3.6666666666666665,1758.3694559198238
12,45,3.75,1751.9717062646585
12,46,3.8333333333333335,2023.9131052850594
12,47,3.9166666666666665,2455.767905715762
13,26,2.0,1732.3389826980447
13,27,2.076923076923077,1573.0127731914222
13,28,2.1538461538461537,1366.0415982096388
13,29,2.230769230769231,1170.3247367953334
13,30,2.3076923076923075,1099.6576618143727
13,31,2.3846153846153846,1062.7913962180594
13,32,2.4615384615384617,1102.1475077955074
13,33,2.5384615384615383,1103.9147531926064
13,34,2.6153846153846154,1275.4475959375677
13,35,2.6923076923076925,1541.6333555936349
13,36,2.769230769230769,1312.3964587910502
13,37,2.8461538461538463,1405.035006421598
13,38,2.923076923076923,1416.0077445956638
13,39,3.0,1357.7456135240068
13,40,3.076923076923077,1322.4851718869213
13,41,3.1538461538461537,1347.4375455545487
13,42,3.230769230769231,1448.7162562369233
13,43,3.3076923076923075,1567.2365896380663
13,44,3.3846153846153846,1577.58110121678
13,45,3.4615384615384617,1896.6579657729073
13,46,3.5384615384615383,2069.391200845669
13,47,3.6153846153846154,1956.4630300323388
13,48,3.6923076923076925,1985.2043202186967
13,49,3.769230769230769,1908.8148387239498
13,50,3.8461538461538463,1793.7702130042928
13,51,3.923076923076923,1935.9000056595514
14,28,2.0,1364.0865931070844
14,29,2.0714285714285716,1150.65254631974
14,30,2.142857142857143,1024.6911449192
