sma,bma,ratio,dollars
4,8,2.0,4711.462591829523
4,9,2.25,3355.1667189014365
4,10,2.5,4845.206038686108
4,11,2.75,5670.927966987513
4,12,3.0,5689.2903770191215
4,13,3.25,5018.25309273562
4,14,3.5,7401.972318903217
4,15,3.75,6412.996673029858
5,10,2.0,6624.87821375815
5,11,2.2,6397.249592720796
5,12,2.4,4777.706844761362
5,13,2.6,5142.874641767345
5,14,2.8,6022.341855170596
5,15,3.0,6589.190616167039
5,16,3.2,10523.446395454177
5,17,3.4,8838.95155850011
5,18,3.6,9557.333740508011
5,19,3.8,8156.101865149197
6,12,2.0,3747.98157048138
6,13,2.1666666666666665,5251.117840458905
6,14,2.3333333333333335,6690.087391311741
6,15,2.5,7922.143205490427
6,16,2.6666666666666665,11120.259904952369
6,17,2.8333333333333335,12297.794312304948
6,18,3.0,8883.474085782493
6,19,3.1666666666666665,11597.33367295394
6,20,3.3333333333333335,7975.040624972156
6,21,3.5,7064.633031083356
6,22,3.6666666666666665,4614.965014771112
6,23,3.8333333333333335,5158.332864491608
7,14,2.0,6594.316720960373
7,15,2.142857142857143,5542.2737514237315
7,16,2.2857142857142856,13645.65094649039
7,17,2.4285714285714284,15159.676940491096
7,18,2.5714285714285716,9361.407526818115
7,19,2.7142857142857144,7810.616038078144
7,20,2.857142857142857,7870.307094059565
7,21,3.0,6178.72838613601
7,22,3.142857142857143,6760.978148666779
7,23,3.2857142857142856,7226.948838296908
7,24,3.4285714285714284,7935.670526834432
7,25,3.5714285714285716,8834.596740952782
7,26,3.7142857142857144,8420.844588434638
7,27,3.857142857142857,12590.179849447924
8,16,2.0,7633.628299550845
8,17,2.125,10351.394974535491
8,18,2.25,6675.132750593226
8,19,2.375,6845.384687850184
8,20,2.5,7690.919238206966
8,21,2.625,7903.842205431632
8,22,2.75,7690.28777694469
8,23,2.875,7270.976619822998
8,24,3.0,8342.278065553199
8,25,3.125,9839.262759633832
8,26,3.25,9958.81780330334
8,27,3.375,9823.969263231224
8,28,3.5,13257.006005908657
8,29,3.625,12868.101966000082
8,30,3.75,10911.94320323247
8,31,3.875,10652.465916733694
9,18,2.0,7996.786150953732
9,19,2.111111111111111,6856.21095331611
9,20,2.2222222222222223,7052.660643987828
9,21,2.3333333333333335,6825.032568175798
9,22,2.4444444444444446,7361.289989856111
9,23,2.5555555555555554,7685.460443916154
9,24,2.6666666666666665,8341.391389466633
9,25,2.7777777777777777,7453.453593204176
9,26,2.888888888888889,7518.900641743582
9,27,3.0,8164.964908893524
9,28,3.111111111111111,11675.678104473407
9,29,3.2222222222222223,10795.695571769384
9,30,3.3333333333333335,10484.72735471837
9,31,3.4444444444444446,10659.267745430812
9,32,3.5555555555555554,11615.888562965656
9,33,3.6666666666666665,10993.608818521068
9,34,3.7777777777777777,11422.740537086056
9,35,3.888888888888889,12506.957778975942
10,20,2.0,8388.24176082872
10,21,2.1,6485.047318853772
10,22,2.2,6853.108547599425
10,23,2.3,7380.890554058035
10,24,2.4,6475.801218871453
10,25,2.5,7438.11433148043
10,26,2.6,6331.7324865920655
10,27,2.7,7672.469042435947
10,28,2.8,11058.55836365241
10,29,2.9,10609.067720512337
10,30,3.0,11624.498352728917
10,31,3.1,11955.65667697589
10,32,3.2,10447.674768947722
10,33,3.3,12625.089439603342
10,34,3.4,11400.870390401096
10,35,3.5,10761.139496974294
10,36,3.6,10662.61884634233
10,37,3.7,9193.405430952631
10,38,3.8,8555.798010359687
10,39,3.9,10017.953867100103
11,22,2.0,6467.479571165475
11,23,2.090909090909091,6487.739243625339
11,24,2.1818181818181817,5964.761321523658
11,25,2.272727272727273,5890.4808898310885
11,26,2.3636363636363638,5494.65287186109
11,27,2.4545454545454546,8668.828225874233
11,28,2.5454545454545454,8022.174054063288
11,29,2.6363636363636362,10171.520157274126
11,30,2.727272727272727,11239.309000314073
11,31,2.8181818181818183,9789.491037101743
11,32,2.909090909090909,11077.205869119598
