sma,bma,ratio,dollars
4,8,2.0,1275.8745519213182
4,9,2.25,1144.925277866936
4,10,2.5,1010.5237367267232
4,11,2.75,957.6056841650302
4,12,3.0,989.2482502019265
4,13,3.25,1046.434912957577
4,14,3.5,1113.347682980994
4,15,3.75,1454.3061928295076
5,10,2.0,990.8301675999573
5,11,2.2,1161.3496539441721
5,12,2.4,1149.0554651175246
5,13,2.6,1297.0307675113256
5,14,2.8,1332.8640649541574
5,15,3.0,1606.9540040016768
5,16,3.2,2009.4311060818984
5,17,3.4,1907.811283916784
5,18,3.6,1823.6565397570655
5,19,3.8,1703.1373938510094
6,12,2.0,830.8147603337421
6,13,2.1666666666666665,1146.7417266779653
6,14,2.3333333333333335,1325.301957372868
6,15,2.5,2067.675640256712
6,16,2.6666666666666665,2029.2006223535457
6,17,2.8333333333333335,1704.0991560914715
6,18,3.0,1673.9217648705196
6,19,3.1666666666666665,1489.3428403457783
6,20,3.3333333333333335,1664.1328190512759
6,21,3.5,1760.8510862412838
6,22,3.6666666666666665,1669.1521608654145
6,23,3.8333333333333335,1644.8048944449092
7,14,2.0,1412.3713252609646
7,15,2.142857142857143,1769.1265966356698
7,16,2.2857142857142856,2028.0460112507833
7,17,2.4285714285714284,1763.8679727429646
7,18,2.5714285714285716,1652.4847254459137
7,19,2.7142857142857144,1552.7238285086596
7,20,2.857142857142857,1733.0748335077276
7,21,3.0,1696.4742418023188
7,22,3.142857142857143,1610.393410164657
7,23,3.2857142857142856,1765.085561843369
7,24,3.4285714285714284,1642.279639837198
7,25,3.5714285714285716,1022.4234022602828
7,26,3.7142857142857144,1006.3963579923808
7,27,3.857142857142857,957.2263930004683
8,16,2.0,1719.2828218037746
8,17,2.125,1747.9634189483875
8,18,2.25,1767.2524127258462
8,19,2.375,1667.7807806353705
8,20,2.5,1753.4593125427152
8,21,2.625,1553.9264341579687
8,22,2.75,1678.8449470002843
8,23,2.875,1784.6882652022875
8,24,3.0,1455.209731685341
8,25,3.125,978.7244640219554
8,26,3.25,1000.1406123989514
8,27,3.375,1035.4109248947516
8,28,3.5,1029.4705462452976
8,29,3.625,1074.7070666843563
8,30,3.75,1067.8924468751534
8,31,3.875,1026.979860343898
9,18,2.0,1770.0966714878366
9,19,2.111111111111111,1588.4407030700613
9,20,2.2222222222222223,1496.0695181964184
9,21,2.3333333333333335,1451.376966957943
9,22,2.4444444444444446,1732.174928188797
9,23,2.5555555555555554,1627.7103945508713
9,24,2.6666666666666665,1510.8432545706787
9,25,2.7777777777777777,1083.644708070219
9,26,2.888888888888889,964.2436672980767
9,27,3.0,1013.5954984688594
9,28,3.111111111111111,1074.7070666843563
9,29,3.2222222222222223,1074.7070666843563
9,30,3.3333333333333335,955.3816529424132
9,31,3.4444444444444446,955.3816529424132
9,32,3.5555555555555554,922.2257720237676
9,33,3.6666666666666665,919.8692558935963
9,34,3.7777777777777777,919.8692558935963
9,35,3.888888888888889,920.9292573408119
