sma,bma,ratio,dollars
4,8,2.0,3761.3188732079025
4,9,2.25,2894.2661994042796
4,10,2.5,3191.2765919896447
4,11,2.75,3358.272205091188
4,12,3.0,3928.121474379524
4,13,3.25,3647.219205788558
4,14,3.5,4078.205773120516
4,15,3.75,5835.935780154939
5,10,2.0,4072.9682297608315
5,11,2.2,3903.339238225363
5,12,2.4,4231.587554144005
5,13,2.6,3951.1803815679104
5,14,2.8,4943.362365484761
5,15,3.0,6989.826439223023
5,16,3.2,6236.805884261401
5,17,3.4,5314.476200450405
5,18,3.6,6718.925024295034
5,19,3.8,6701.754924824962
6,12,2.0,3332.3234318775612
6,13,2.1666666666666665,4951.594473545585
6,14,2.3333333333333335,4940.045158753821
6,15,2.5,5438.884462602131
6,16,2.6666666666666665,6521.871803332677
6,17,2.8333333333333335,5745.249982833289
6,18,3.0,5798.454235325165
6,19,3.1666666666666665,5825.284181828741
6,20,3.3333333333333335,7363.0763162598105
6,21,3.5,6320.686078825589
6,22,3.6666666666666665,6502.947766487575
6,23,3.8333333333333335,6511.871674015877
7,14,2.0,3976.628739012007
7,15,2.142857142857143,5090.377122970151
7,16,2.2857142857142856,5806.086667934329
7,17,2.4285714285714284,5264.97658745999
7,18,2.5714285714285716,6061.140959197987
7,19,2.7142857142857144,5524.808320680414
7,20,2.857142857142857,6089.137262517447
7,21,3.0,6558.469824865087
7,22,3.142857142857143,6301.123446376333
7,23,3.2857142857142856,5773.763657051551
7,24,3.4285714285714284,6167.458658810215
7,25,3.5714285714285716,6032.611220943439
7,26,3.7142857142857144,5785.141196912071
7,27,3.857142857142857,5742.237482284241
8,16,2.0,7207.778796722078
8,17,2.125,9783.9287591462
8,18,2.25,9402.5349325069
8,19,2.375,7507.78109783479
8,20,2.5,7968.837047410224
8,21,2.625,7928.5152479757135
8,22,2.75,7032.266228945105
8,23,2.875,6421.737663365001
8,24,3.0,6507.118410001223
8,25,3.125,4841.522031484934
8,26,3.25,4750.054088965841
8,27,3.375,6445.930308618064
8,28,3.5,6232.835075315054
8,29,3.625,6601.5150073582145
8,30,3.75,6838.406863501986
8,31,3.875,8354.636372777986
9,18,2.0,8891.021907492372
9,19,2.111111111111111,6832.26634921537
9,20,2.2222222222222223,6950.823229537312
9,21,2.3333333333333335,7465.877508751616
9,22,2.4444444444444446,7333.104840845476
9,23,2.5555555555555554,5768.749361979373
9,24,2.6666666666666665,7143.250809796607
9,25,2.7777777777777777,5638.267005912811
9,26,2.888888888888889,5634.987248905525
9,27,3.0,6934.29198726184
9,28,3.111111111111111,6976.654801167956
9,29,3.2222222222222223,5835.246475955241
9,30,3.3333333333333335,6261.597815355812
9,31,3.4444444444444446,6739.281570216696
9,32,3.5555555555555554,7114.725110930847
9,33,3.6666666666666665,6912.037806237229
9,34,3.7777777777777777,6806.229438642177
9,35,3.888888888888889,7404.229026009193
10,20,2.0,7404.683338328833
10,21,2.1,6722.003471914694
10,22,2.2,6534.1201626576185
10,23,2.3,6536.81244883546
10,24,2.4,6630.354874491658
10,25,2.5,5266.20062668475
10,26,2.6,5490.142688158933
10,27,2.7,6626.31458581176
10,28,2.8,6587.943810066997
10,29,2.9,6266.704539776249
10,30,3.0,6641.734292698378
10,31,3.1,6331.933024807794
10,32,3.2,6777.5514817877265
10,33,3.3,6933.7588539714425
10,34,3.4,7766.010374878046
10,35,3.5,7134.433292329778
10,36,3.6,6502.860384306943
10,37,3.7,6597.760290815703
10,38,3.8,7511.46615823378
10,39,3.9,6395.5935435462
11,22,2.0,6835.242486976942
11,23,2.090909090909091,6341.331739721039
11,24,2.1818181818181817,5396.787884992372
11,25,2.272727272727273,5076.652262765884
11,26,2.3636363636363638,5632.34738949238
11,27,2.4545454545454546,6525.874326215755
11,28,2.5454545454545454,7144.5739173119555
11,29,2.6363636363636362,7707.851573651092
11,30,2.727272727272727,7518.060491568142
11,31,2.8181818181818183,7072.682529449349
11,32,2.909090909090909,7342.913288882823
11,33,3.0,7714.013663802696
11,34,3.090909090909091,6823.83805958682
11,35,3.1818181818181817,6364.198655349607
11,36,3.272727272727273,6908.757475478117
11,37,3.3636363636363638,7007.192820286306
11,38,3.4545454545454546,6619.9488761074135
11,39,3.5454545454545454,6924.758550274407
11,40,3.6363636363636362,7040.070307601965
11,41,3.727272727272727,6605.05985148657
11,42,3.8181818181818183,6605.05985148657
11,43,3.909090909090909,7414.581647309251
12,24,2.0,4601.552936493419
12,25,2.0833333333333335,5821.653548221848
12,26,2.1666666666666665,5534.614735524917
12,27,2.25,5614.6699406979
12,28,2.3333333333333335,6926.230588334774
12,29,2.4166666666666665,7577.128582115343
12,30,2.5,7930.984268390747
