MTS,open,close,high,low,volume
2016-12-14 01:00:00,8.401,8.3469,8.488999999999999,8.3,1185.70177634
2016-12-14 13:00:00,8.353,8.23,8.368,8.2,3259.47271873
2016-12-15 01:00:00,8.2,7.845,8.2269,7.75,17090.37472166
2016-12-15 13:00:00,7.8889999999999985,7.8693,8.0187,7.7064,24926.42060837
2016-12-16 01:00:00,7.8703,7.8331,7.9574,7.7849,2509.08225821
2016-12-16 13:00:00,7.8628,7.8943,7.9094,7.7695,14165.49296199
2016-12-17 01:00:00,7.8914,7.6064,7.8978,7.53,32424.70885434
2016-12-17 13:00:00,7.6016,7.8367,7.944,7.4733,12906.87310134
2016-12-18 01:00:00,7.87,7.8,7.9379,7.74,3661.08270392
2016-12-18 13:00:00,7.76,7.909,7.93,7.751,2768.79560894
2016-12-19 01:00:00,7.9039,7.7,7.904,7.6397,2430.64954951
2016-12-19 13:00:00,7.7399,7.6179999999999986,7.779,7.58,6493.12123731
2016-12-20 01:00:00,7.588999999999999,7.75,7.75,7.57,5999.80106352
2016-12-20 13:00:00,7.7389,7.6858,7.7389,7.5508,10401.19953685
2016-12-21 01:00:00,7.699,7.68,7.7759,7.6391,2774.69048566
2016-12-21 13:00:00,7.68,7.8619,7.9620000000000015,7.672999999999999,12472.46151709
2016-12-22 01:00:00,7.86,7.57,7.8609,7.462999999999999,27157.19437551
2016-12-22 13:00:00,7.522,7.5613,7.8279,7.485,8151.14615512
2016-12-23 01:00:00,7.55,7.15,7.6789,7.1164,26619.95280094
2016-12-23 13:00:00,7.1989,7.147,7.398,7.1091,18638.55287847
2016-12-24 01:00:00,7.147,7.285,7.351,7.11,13314.2804124
2016-12-24 13:00:00,7.3349,7.2342,7.351,7.2342,4092.24805693
2016-12-25 01:00:00,7.2344,7.3108,7.3239,7.2,2981.20728904
2016-12-25 13:00:00,7.31,7.1826,7.3109,7.1670000000000025,1721.95492302
2016-12-26 01:00:00,7.1826,7.3201,7.35,7.05,7205.62337908
2016-12-26 13:00:00,7.33,7.258999999999999,7.33,7.07,15987.89452071
2016-12-27 01:00:00,7.301,7.2112,7.33,7.2112,1873.38686317
2016-12-27 13:00:00,7.2669,7.2,7.2976,7.0829,9815.56260383
2016-12-28 01:00:00,7.2,7.151,7.2570000000000014,7.1,9226.62496808
2016-12-28 13:00:00,7.15,7.6159,7.7566,7.1,44359.25602401
2016-12-29 01:00:00,7.5759,8.3489,8.42,7.5611,33146.68085071
2016-12-29 13:00:00,8.293,8.2711,8.6,7.9637,63035.59679251
2016-12-30 01:00:00,8.2761,8.1679,8.4986,8.0952,9431.3257803
2016-12-30 13:00:00,8.1884,8.162,8.286,8.0501,7395.06720162
2016-12-31 01:00:00,8.162,8.0,8.3515,8.0,51933.06758306
2016-12-31 13:00:00,8.032,8.002,8.1301,8.0,11096.06429599
2017-01-01 01:00:00,8.0441,8.242,8.5868,8.03,24732.23163756
2017-01-01 13:00:00,8.21,8.196,8.532,8.046,24390.76924041
2017-01-02 01:00:00,8.22,8.158999999999999,8.274,8.1221,17687.18577345
2017-01-02 13:00:00,8.158999999999999,8.4292,8.5,8.113999999999999,14238.21960267
2017-01-03 01:00:00,8.37,8.55,8.5699,8.3,7050.23624424
2017-01-03 13:00:00,8.55,9.661,9.9,8.5116,182921.28322447
2017-01-04 01:00:00,9.662,10.63,10.79,9.44,69093.24343883
2017-01-04 13:00:00,10.659,11.075,11.15,10.3,105825.88065881
2017-01-05 01:00:00,11.062000000000001,10.526,11.7,10.051,128267.55105851
2017-01-05 13:00:00,10.52,10.294,10.668,9.2,95136.73869005
2017-01-06 01:00:00,10.215,9.8339,10.401,9.551,25168.13744356
2017-01-06 13:00:00,9.827,10.1,10.312000000000001,9.4726,24257.53732393
2017-01-07 01:00:00,10.1,9.9799,10.14,9.48,14106.14486084
2017-01-07 13:00:00,9.8992,9.8129,10.19,9.6,23707.68928057
2017-01-08 01:00:00,9.796,10.077,10.219,9.796,20778.79787346
2017-01-08 13:00:00,10.094,10.29,10.475,10.073,17291.94496192
2017-01-09 01:00:00,10.359000000000002,10.634,10.772,10.224,18377.20965221
