MTS,Open,Close,High,Low,Volume
2016-12-14 01:00:00,3.6289,3.6501,3.6587,3.6101,2242.02422894
2016-12-14 13:00:00,3.648,3.6021,3.6592,3.5789,422.2382126
2016-12-15 01:00:00,3.6179,3.6253,3.6587,3.5844,1416.32337609
2016-12-15 13:00:00,3.6579,3.65,3.6752,3.65,413.21582165
2016-12-16 01:00:00,3.65,3.639,3.65,3.639,416.95208363
2016-12-16 13:00:00,3.6289,3.6,3.65,3.6,750.85875954
2016-12-17 01:00:00,3.6202,3.6469,3.65,3.616,337.58074752
2016-12-17 13:00:00,3.6091,3.7195,3.72,3.607,1348.39967673
2016-12-18 01:00:00,3.7197,3.7067,3.7197,3.6791,1984.71379834
2016-12-18 13:00:00,3.6759,3.672,3.6906,3.6685,120.34612457
2016-12-19 01:00:00,3.6721,3.6849,3.6887,3.6431,668.67130703
2016-12-19 13:00:00,3.6551,3.6493,3.6671,3.6296,507.29521143
2016-12-20 01:00:00,3.6425,3.6318,3.6565,3.6318,138.02988075
2016-12-20 13:00:00,3.6363,3.656,3.6599,3.6363,191.61568037
2016-12-21 01:00:00,3.6427,3.663,3.6744,3.6427,164.40747436
2016-12-21 13:00:00,3.663,3.632,3.7,3.6023,3547.89358301
2016-12-22 01:00:00,3.6416,3.7141,3.7379,3.6175,3856.56518811
2016-12-22 13:00:00,3.718,3.6742,3.7379,3.6742,971.13881614
2016-12-23 01:00:00,3.708,3.7404,3.7537,3.6044,10822.43291219
2016-12-23 13:00:00,3.74,4.6161,4.6199,3.74,111001.32413944
2016-12-24 01:00:00,4.5975,4.489,4.684,4.31,25337.37377276
2016-12-24 13:00:00,4.5081,4.431,4.6194,4.3391,11459.757207
2016-12-25 01:00:00,4.4286,4.2324,4.4451,4.1,38070.01485312
2016-12-25 13:00:00,4.23,4.2991,4.3289,4.2056,5301.22832628
2016-12-26 01:00:00,4.2996,4.22,4.4085,4.1425,20894.51466884
2016-12-26 13:00:00,4.1805,4.257,4.32,4.1805,2769.16905059
2016-12-27 01:00:00,4.2692,4.3180000000000005,4.3180000000000005,4.2413,1559.60187815
2016-12-27 13:00:00,4.3180000000000005,4.3633,4.4946,4.2591,22547.8984142
2016-12-28 01:00:00,4.3977,4.4864,4.5001,4.3965,11890.58208235
2016-12-28 13:00:00,4.503,4.5976,4.6383,4.4801,24129.01511956
2016-12-29 01:00:00,4.5463,4.558,4.613,4.4801,9560.62228796
2016-12-29 13:00:00,4.558,4.59,4.615,4.4431,47768.01168759
2016-12-30 01:00:00,4.5582,4.3,4.581,4.25,42888.3012752
2016-12-30 13:00:00,4.3318,4.4135,4.4587,4.2915,4638.37083828
2016-12-31 01:00:00,4.4063,4.2981,4.4786,4.2738,1457.31115286
2016-12-31 13:00:00,4.2981,4.3635,4.3635,4.274,393.27901761
2017-01-01 01:00:00,4.3636,4.4228,4.4796,4.3457,1308.9428047
2017-01-01 13:00:00,4.4214,4.4997,4.5401,4.38,8499.98382277
2017-01-02 01:00:00,4.5,4.55,4.5897,4.4486,3499.34929848
2017-01-02 13:00:00,4.57,4.58,4.74,4.4542,38157.850395
2017-01-03 01:00:00,4.5868,4.5310000000000015,4.6665,4.455,5905.14096176
2017-01-03 13:00:00,4.5293,4.593,4.61,4.4505,12914.66125468
2017-01-04 01:00:00,4.5995,4.69,4.6993,4.5398,14320.41771908
2017-01-04 13:00:00,4.68,4.59,4.7222,4.4297,27613.50051920001
2017-01-05 01:00:00,4.642,4.5859,4.721,4.37,37296.23251001
2017-01-05 13:00:00,4.5368,4.2127,4.5663,4.1,61746.36068851
2017-01-06 01:00:00,4.2525,3.9985,4.2892,3.9319,52976.30408767
2017-01-06 13:00:00,3.9895,3.84,3.9957,3.799,17236.68292971
2017-01-07 01:00:00,3.8676,3.922,3.9914,3.629,15208.02102188
2017-01-07 13:00:00,3.917,3.963,3.9999,3.8811,3687.92483428
2017-01-08 01:00:00,3.9744,3.938,4.0091,3.9371,2207.30537139
2017-01-08 13:00:00,3.938,4.02,4.04,3.92,12700.65565995
2017-01-09 01:00:00,4.0,3.977,4.0199,3.8926,2798.07833365
2017-01-09 13:00:00,3.972,4.34,4.44,3.9443,47531.85564335
2017-01-10 01:00:00,4.34,4.3862,4.5,4.3015,11871.9865647
2017-01-10 13:00:00,4.4042,4.574,4.659,4.4030000000000005,31413.44161332
2017-01-11 01:00:00,4.5866,3.985,4.619,3.8902,94314.13614925
2017-01-11 13:00:00,3.985,3.9443,4.0009,3.7623,43129.76230214
2017-01-12 01:00:00,3.927,3.8478,3.9499,3.8067,9623.52706233
2017-01-12 13:00:00,3.8499,4.0001,4.1,3.8467,14160.00590294
2017-01-13 01:00:00,4.0001,3.91,4.0389,3.8622,11615.6572107
2017-01-13 13:00:00,3.9368,3.9262,4.033,3.86,7671.35728728
2017-01-14 01:00:00,3.9448,3.96,3.9952,3.9074,756.60099636
2017-01-14 13:00:00,3.9366,3.9466,3.961,3.86,12163.83012698
2017-01-15 01:00:00,3.9466,3.9018,3.9506,3.8193,963.98523277
2017-01-15 13:00:00,3.8997,3.9135,3.927,3.8641,3234.46907764
2017-01-16 01:00:00,3.9125,3.861,3.939,3.855,1732.85636404
2017-01-16 13:00:00,3.852,3.8927,3.8999,3.8255,1429.94865135
2017-01-17 01:00:00,3.8515,3.9039,4.0199,3.8401,12439.375695
2017-01-17 13:00:00,3.9039,3.95,3.95,3.89,13020.61961981
2017-01-18 01:00:00,3.95,3.9211,3.958,3.8604,9321.38971959
2017-01-18 13:00:00,3.9216,3.8949,3.9216,3.7949,4547.99264009
2017-01-19 01:00:00,3.895,3.8481,3.921,3.8053,2191.36268242
2017-01-19 13:00:00,3.85,3.907,3.9499,3.8232,11074.88163837
2017-01-20 01:00:00,3.899,3.86,3.9171,3.86,3815.65868039
2017-01-20 13:00:00,3.8973,3.9098,3.938,3.8502,6350.44913667
2017-01-21 01:00:00,3.9009,3.9032,3.9533,3.88,3022.39208395
2017-01-21 13:00:00,3.89,3.9208,3.9228,3.882,1212.3444596
2017-01-22 01:00:00,3.921,3.9,3.9259,3.8717,4172.18813571
2017-01-22 13:00:00,3.8983,3.85,3.8983,3.8,6326.79627166
2017-01-23 01:00:00,3.8462,3.8621,3.8621,3.82,5927.06137929
2017-01-23 13:00:00,3.8282,3.8246,3.8519,3.744,9764.15347128
2017-01-24 01:00:00,3.802,3.7793,3.8636,3.75,13028.40280135
2017-01-24 13:00:00,3.7899,3.733,3.8015,3.7322,3740.29957643
2017-01-25 01:00:00,3.7491,3.71,3.772,3.71,5856.78390569
2017-01-25 13:00:00,3.73,3.69,3.7409,3.65,8729.21967072
2017-01-26 01:00:00,3.69,3.7425,3.7449,3.6662,3440.02751557
2017-01-26 13:00:00,3.7499,3.8368,3.8835,3.7486,10414.38921446
2017-01-27 01:00:00,3.8349,3.8082,3.8596,3.7752,3769.29025717
2017-01-27 13:00:00,3.8158,3.8809,3.8809,3.7838,3076.39162205
2017-01-28 01:00:00,3.8634,3.8719,3.876,3.8192,931.05631566
2017-01-28 13:00:00,3.8808,3.8558,3.8999,3.8375,4918.42806045
2017-01-29 01:00:00,3.8757,3.8746,3.8757,3.8362,3530.58032185
2017-01-29 13:00:00,3.85,3.8351,3.89,3.8314,3971.1110193
2017-01-30 01:00:00,3.8632,3.86,3.8849,3.8432,1718.06451741
2017-01-30 13:00:00,3.8652,4.0715,4.08,3.85,54064.65878955
2017-01-31 01:00:00,4.0416,4.0304,4.181,4.0242,61877.89053627
2017-01-31 13:00:00,4.047,4.06,4.1112,4.0154,11787.55417063
2017-02-01 01:00:00,4.0443,4.0535,4.0823,4.0310000000000015,6824.49100693
2017-02-01 13:00:00,4.0333,4.0163,4.0511,4.0,21074.46719629
2017-02-02 01:00:00,4.0109,4.0007,4.023,3.9801,13281.71235351
2017-02-02 13:00:00,4.0002,4.085,4.099,4.0,16851.78091149
2017-02-03 01:00:00,4.085,3.9517,4.085,3.8701,25074.29078485
2017-02-03 13:00:00,3.9484,4.0141,4.039,3.938,8447.33288934
2017-02-04 01:00:00,4.0152,3.955,4.0587,3.9501,9328.29168341
2017-02-04 13:00:00,3.9521,4.012,4.0194,3.94,9862.98068939
2017-02-05 01:00:00,3.99,3.96,4.0068,3.9523,791.52066258
2017-02-05 13:00:00,3.9523,3.9555,3.9618,3.895,7214.27246875
2017-02-06 01:00:00,3.9502,3.9475,4.0084,3.9321,3155.65615583
2017-02-06 13:00:00,3.9515,3.924,3.9993,3.9154,4162.15283485
2017-02-07 01:00:00,3.9486,3.9664,4.0,3.9101,7794.81608481
2017-02-07 13:00:00,3.9665,3.9578,4.02,3.9564,11210.06926798
2017-02-08 01:00:00,3.9932,3.93,4.01,3.8602,8949.38451056
2017-02-08 13:00:00,3.93,3.9208,3.9863,3.9121,3912.18382356
2017-02-09 01:00:00,3.9312,3.9613,3.9899,3.9,6711.95685171
2017-02-09 13:00:00,3.982,3.737,3.9892,3.61,77878.49422742
2017-02-10 01:00:00,3.737,3.7625,3.7715,3.6494,19274.30905072
2017-02-10 13:00:00,3.77,3.8296,3.8299,3.6651,16000.13483776
2017-02-11 01:00:00,3.8192,3.8,3.8299,3.7774,4076.46356099
2017-02-11 13:00:00,3.7811,3.8153,3.8153,3.7701,725.99213942
2017-02-12 01:00:00,3.782,3.7461,3.8085,3.7415,6655.5951357
2017-02-12 13:00:00,3.7568,3.7394,3.7742,3.7394,1565.04327195
2017-02-13 01:00:00,3.7487,3.7341,3.754,3.701,1934.34849857
2017-02-13 13:00:00,3.73,3.7698,3.7767,3.715,5639.20255366
2017-02-14 01:00:00,3.7415,3.772,3.842,3.7215,6526.18948706
2017-02-14 13:00:00,3.772,3.83,3.83,3.7601,4070.05966419
2017-02-15 01:00:00,3.84,3.81,3.85,3.8043,4269.69774351
2017-02-15 13:00:00,3.822,3.8933,3.9173,3.812,16669.53353146
2017-02-16 01:00:00,3.8645,3.916,3.916,3.8645,978.41445767
2017-02-16 13:00:00,3.89,3.8831,3.94,3.8524,13156.97001111
2017-02-17 01:00:00,3.9016,3.8699,3.9246,3.8462,5718.89521603
2017-02-17 13:00:00,3.8672,3.8961,3.9297,3.84,9532.12268707
2017-02-18 01:00:00,3.89,3.86,3.9295,3.86,2014.31069952
2017-02-18 13:00:00,3.861,3.8139,3.8913,3.8139,19275.10348714
2017-02-19 01:00:00,3.8432,3.7998,3.8433,3.7691,15776.92264548
2017-02-19 13:00:00,3.7738,3.8,3.8081,3.7528,9789.35213804
2017-02-20 01:00:00,3.7718,3.781,3.802,3.77,2522.08782682
