MTS,open,close,high,low,volume
2016-12-10 13:00:00,7.8861,7.7133,7.9072,7.6501,215.42719796
2016-12-11 01:00:00,7.765,7.7297,7.93,7.72,126.23979101
2016-12-11 13:00:00,7.8364,7.9225,8.054,7.8,315.04479616
2016-12-12 01:00:00,7.9149,7.9123,7.985,7.8667,24.91071965
2016-12-12 13:00:00,7.8578,7.9865,7.9865,7.8251,900.53158726
2016-12-13 01:00:00,8.077,7.9298,8.0999,7.9298,48.36384354
2016-12-13 13:00:00,8.0067,8.169,8.169,7.9786,226.13117413
2016-12-14 01:00:00,8.17,8.15,8.4,8.118,1261.70872358
2016-12-14 13:00:00,8.241,8.4528,8.5499,8.241,943.05521472
2016-12-15 01:00:00,8.3512,8.35,8.4897,8.35,1412.75543468
2016-12-15 13:00:00,8.44,8.4443,8.468,8.2667,1976.63741104
2016-12-16 01:00:00,8.4443,8.3814,8.4779,8.3814,559.10362228
2016-12-16 13:00:00,8.47,8.5117,8.5117,8.47,42.1511841
2016-12-17 01:00:00,8.4722,8.2714,8.4722,8.2714,1470.77591012
2016-12-17 13:00:00,8.3914,8.2648,8.4016,8.25,125.04271241
2016-12-18 01:00:00,8.4173,8.54,8.85,8.399,882.4991537000003
2016-12-18 13:00:00,8.7303,8.7303,8.7303,8.7303,1.2680251
2016-12-19 01:00:00,8.51,8.394,8.51,8.39,199.81694095
2016-12-19 13:00:00,8.4999,8.7234,8.7234,8.4999,126.388903
2016-12-20 01:00:00,8.7258,8.5073,8.7258,8.36,1117.79838074
2016-12-20 13:00:00,8.58,8.39,8.61,8.39,1250.78566947
2016-12-21 01:00:00,8.3636,8.5094,8.6344,8.3636,66.82673692
2016-12-21 13:00:00,8.4811,8.3111,8.6106,8.2,1923.01039754
2016-12-22 01:00:00,8.4624,8.51,8.59,8.2689,277.86537133
2016-12-22 13:00:00,8.4457,8.9248,9.47,8.3999,1616.7100242
2016-12-23 01:00:00,8.908999999999997,9.3,9.3065,8.8888,864.26134437
2016-12-23 13:00:00,9.2909,9.5,9.7,9.2909,1636.24382316
2016-12-24 01:00:00,9.55,9.4697,9.7,9.4697,395.66878486
2016-12-24 13:00:00,9.5684,9.657,9.657,9.4436,9.76476092
2016-12-25 01:00:00,9.6171,9.5469,9.7499,9.5092,334.04459618
2016-12-25 13:00:00,9.6166,9.7,9.9493,9.2844,3350.42041867
2016-12-26 01:00:00,9.7483,9.85,9.95,9.7483,1755.81736079
2016-12-26 13:00:00,9.949,10.25,10.399,9.9482,1393.8139265999994
2016-12-27 01:00:00,10.299,10.51,10.8,10.151,1980.69414811
2016-12-27 13:00:00,10.574000000000002,12.619000000000002,13.0,10.569,4394.48437472
2016-12-28 01:00:00,12.835,13.495,13.495,12.048,954.478695
2016-12-28 13:00:00,13.494000000000002,14.372,14.75,12.74,3395.61291048
2016-12-29 01:00:00,14.0,13.2,14.358,12.285,656.02511454
2016-12-29 13:00:00,13.227,13.1,13.599,12.93,552.68040183
2016-12-30 01:00:00,13.001,12.304,13.3,12.1,266.14236852
2016-12-30 13:00:00,12.205,12.749,13.175999999999998,12.139,361.27352159
2016-12-31 01:00:00,13.0,12.943,13.7,12.9,172.40115882
2016-12-31 13:00:00,13.402,13.486,13.92,13.402,271.67732543
2017-01-01 01:00:00,13.648,13.75,13.75,13.486,61.22296929
2017-01-01 13:00:00,13.8,13.882,14.1,13.45,1318.94548419
2017-01-02 01:00:00,13.886,14.247,14.4,13.777,1571.81875104
2017-01-02 13:00:00,14.5,16.195999999999998,17.4,14.2,4575.85945597
2017-01-03 01:00:00,16.05,16.452,16.953,15.7,2930.13640616
2017-01-03 13:00:00,16.467,15.692,16.686,14.9,1487.24991018
2017-01-04 01:00:00,16.0,17.163,17.192,15.79,1354.00366969
2017-01-04 13:00:00,17.042,18.364,18.4,16.892,3876.69052011
2017-01-05 01:00:00,18.071,17.124000000000002,18.6,16.55,3315.27806247
2017-01-05 13:00:00,17.262,15.8,17.262,14.001,3753.12374819
2017-01-06 01:00:00,16.442999999999998,14.291,16.442999999999998,14.2,2879.57358091
2017-01-06 13:00:00,14.29,13.875,14.601,13.364,3092.55104505
2017-01-07 01:00:00,13.843,13.416,13.843,12.25,2955.0848135
2017-01-07 13:00:00,13.5,13.0,13.5,12.5,4740.80758172
2017-01-08 01:00:00,13.0,13.9,13.9,12.842,1297.66311759
2017-01-08 13:00:00,13.735,13.553,13.752,13.211,529.51974382
2017-01-09 01:00:00,13.403,13.299,13.403,12.718,2468.787692000001
2017-01-09 13:00:00,13.3,13.694,13.695,12.88,1960.91385917
2017-01-10 01:00:00,13.533,13.965,13.965,13.497,829.09931731
