MTS,open,close,high,low,volume
2016-07-26 07:00:00,2.5,2.5,2.5,2.5,0.04
2016-07-27 07:00:00,2.5,1.6011,3.0,1.3019999999999998,224291.82926971
2016-07-28 07:00:00,1.5901,1.7275,2.0,1.36,610357.9888547
2016-07-29 07:00:00,1.7289,1.643,1.7990000000000002,1.55,494860.56307925
2016-07-30 07:00:00,1.6469999999999998,1.5794,1.71,1.538,229644.6278901
2016-07-31 07:00:00,1.5783,1.7979,1.9340000000000002,1.5575,590932.01283539
2016-08-01 07:00:00,1.7988,2.4109,2.425,1.78,1109413.01684523
2016-08-02 07:00:00,2.3775,2.3775,2.3775,2.3775,0.46297418
2016-08-10 07:00:00,1.7053,1.65,1.96,1.505,176763.02226968
2016-08-11 07:00:00,1.65,1.848,1.96,1.556,233142.42531251
2016-08-12 07:00:00,1.85,1.84,2.35,1.7693,208674.31366024
2016-08-13 07:00:00,1.847,1.8751,1.9,1.8090000000000002,90330.65063072
2016-08-14 07:00:00,1.857,1.9241,1.9837,1.8548,186696.10485357
2016-08-15 07:00:00,1.9241,1.8530000000000002,2.03,1.8256,173628.08043635
2016-08-16 07:00:00,1.8530000000000002,1.8501,1.895,1.7757,48267.61917979
2016-08-17 07:00:00,1.8501,1.7426,1.8717,1.6991,122938.49509729
2016-08-18 07:00:00,1.7429,1.68,1.775,1.65,88088.76496136
2016-08-19 07:00:00,1.68,1.7754,1.8126,1.6046,155351.54866639
2016-08-20 07:00:00,1.766,1.75,1.7878,1.6721,66069.22612929
2016-08-21 07:00:00,1.75,1.7131,1.7836,1.6924,40869.0888306
2016-08-22 07:00:00,1.723,1.6602,1.75,1.62,212135.0765238
2016-08-23 07:00:00,1.679,1.61,1.6842,1.556,292339.59613002
2016-08-24 07:00:00,1.61,1.4413,1.6477,1.4371,314572.35837228
2016-08-25 07:00:00,1.4432,1.3728,1.4663,1.2601,825824.21486132
2016-08-26 07:00:00,1.367,1.4331,1.4777,1.3059,539626.8264403
2016-08-27 07:00:00,1.4340000000000002,1.3495,1.455,1.3259999999999998,252049.25033153
2016-08-28 07:00:00,1.3365,1.3130000000000002,1.3699,1.285,365277.55312818
2016-08-29 07:00:00,1.3262,1.2636,1.3422,1.2375,518749.46474709
2016-08-30 07:00:00,1.2601,1.2495,1.3564,1.1614,1041753.32667981
2016-08-31 07:00:00,1.2456,1.1802,1.295,1.16,362896.97282426
2016-09-01 07:00:00,1.193,1.44,1.4999,1.1717,999311.23535666
2016-09-02 07:00:00,1.4509999999999998,1.4021,1.4765,1.3645,305628.94070495
2016-09-03 07:00:00,1.4094,1.3656,1.413,1.33,80179.29403384
2016-09-04 07:00:00,1.3798,1.4776,1.4776,1.34,214926.88874834
2016-09-05 07:00:00,1.4431,1.464,1.5477,1.4421,144952.96142681
2016-09-06 07:00:00,1.464,1.4729,1.5279,1.4423,149221.77053465
2016-09-07 07:00:00,1.4718,1.4876,1.4983,1.44,236873.27102275
2016-09-08 07:00:00,1.4869999999999999,1.4480000000000002,1.5333,1.4480000000000002,132041.94228044
2016-09-09 07:00:00,1.4480000000000002,1.4011,1.4492,1.3811,183671.41291252
2016-09-10 07:00:00,1.4005,1.425,1.45,1.4,132392.65297652
2016-09-11 07:00:00,1.4224,1.3438,1.4374,1.331,632923.68391238
2016-09-12 07:00:00,1.3351,1.3301,1.3605,1.31,169640.46490829
2016-09-13 07:00:00,1.3301,1.2951,1.3348,1.2763,215825.86821494
