MTS,open,close,high,low,volume
2017-07-14 07:00:00,0.5,0.55257,0.85,0.41100000000000003,305784.07523558
2017-07-15 07:00:00,0.55511,0.426,0.6982,0.42008999999999996,800181.82273041
2017-07-16 07:00:00,0.42441,0.38,0.5209,0.315,894451.06699577
2017-07-17 07:00:00,0.37831,0.5819,0.594,0.3748,1019477.14268021
2017-07-18 07:00:00,0.5819,0.7506,0.8997,0.5463,1958357.80626197
2017-07-19 07:00:00,0.7725,0.561,0.8121,0.5599,941422.52944841
2017-07-20 07:00:00,0.61,0.6521,0.73659,0.5901,860276.82100932
2017-07-21 07:00:00,0.67995,0.746,0.7851,0.6300100000000001,440222.02374338
2017-07-22 07:00:00,0.7401,0.87,0.9,0.7349,1097899.56755265
2017-07-23 07:00:00,0.87511,1.4805,1.6189,0.84004,2956241.58802517
2017-07-24 07:00:00,1.5,1.52,1.639,1.26,2049282.51490865
2017-07-25 07:00:00,1.5389,1.219,1.55,1.04,1494994.04983275
2017-07-26 07:00:00,1.2298,1.1893,1.3,1.0243,995399.73706411
2017-07-27 07:00:00,1.1989,1.3601,1.4299,1.189,947930.87854599
2017-07-28 07:00:00,1.382,1.1603,1.4068,1.1046,702689.84549523
2017-07-29 07:00:00,1.165,1.2832,1.2930000000000001,1.101,345174.96249806
2017-07-30 07:00:00,1.2829,1.1901,1.33,1.17,194477.83930762
2017-07-31 07:00:00,1.2027,1.2179,1.2501,1.1283,301485.09992779
2017-08-01 07:00:00,1.2179,1.3292,1.38,1.155,684508.66066917
2017-08-02 07:00:00,1.3419,1.3898,1.39,1.2705,495782.45966948
2017-08-03 07:00:00,1.3704,1.9497,2.12,1.34,1784866.80422897
2017-08-04 07:00:00,1.9308,2.8099,3.12,1.9058,3023692.53968483
2017-08-05 07:00:00,2.8099,3.6,3.8989999999999996,2.1452,6124094.83774315
2017-08-06 07:00:00,3.6260000000000003,2.73,3.6458,2.51,2361655.29811577
2017-08-07 07:00:00,2.73,3.0514,3.26,2.6011,2549527.88657129
2017-08-08 07:00:00,3.052,3.67,3.8277,3.0351,3052839.2527241
2017-08-09 07:00:00,3.6607,3.429,3.708,3.21,1636988.31374766
2017-08-10 07:00:00,3.43,5.928,6.6,3.35,11273379.11998503
2017-08-11 07:00:00,5.9266,7.245,7.75,5.27,7013329.84877047
2017-08-12 07:00:00,7.245,6.2011,7.626,5.776,3559714.36464268
2017-08-13 07:00:00,6.2,6.8804,7.499,5.24,4475382.60465957
2017-08-14 07:00:00,6.9,7.03,7.47,6.3,2925238.39305896
2017-08-15 07:00:00,7.03,6.7237,7.13,6.0814,2329425.17501607
2017-08-16 07:00:00,6.73,8.85,9.25,6.67,5846702.29854331
2017-08-17 07:00:00,8.9053,8.3164,9.549,8.213,3372378.78955032
2017-08-18 07:00:00,8.3544,7.25,8.45,6.0841,4089493.41285374
2017-08-19 07:00:00,7.272,7.82,8.0,6.233,2260595.26468476
2017-08-20 07:00:00,7.7999,8.48,8.9,7.1408,1978144.75202736
2017-08-21 07:00:00,8.5,7.645,8.6,7.265,1901640.94191813
2017-08-22 07:00:00,7.6909,7.5968,7.7258,6.8,1451237.79695779
2017-08-23 07:00:00,7.5979,8.1939,8.6836,7.49,2197025.14048503
2017-08-24 07:00:00,8.2,8.38,8.45,7.8888,747514.60240062
2017-08-25 07:00:00,8.38,8.1837,8.5,7.93,723681.7991985
2017-08-26 07:00:00,8.2399,8.28,8.3998,7.7681,849136.84735272
2017-08-27 07:00:00,8.2899,8.3379,8.3838,7.99,601965.01380949
2017-08-28 07:00:00,8.3379,8.62,8.97,8.081,1478784.04041755
2017-08-29 07:00:00,8.62,9.4837,9.7612,8.437000000000001,2521897.51285615
2017-08-30 07:00:00,9.4838,11.242,11.81,9.42,4457926.92183836
2017-08-31 07:00:00,11.235999999999999,11.824000000000002,12.2,10.75,1935061.47150939
2017-09-01 07:00:00,11.824000000000002,12.014000000000001,12.686,11.648,2026107.64391104
2017-09-02 07:00:00,12.014000000000001,10.849,12.118,9.8,2424760.44558124
2017-09-03 07:00:00,10.802,10.741,11.4,9.5415,1865427.05698185
2017-09-04 07:00:00,10.741,8.81,10.741,7.332999999999997,6177152.45137638
2017-09-05 07:00:00,8.81,10.99,11.440999999999999,7.6105,4258593.97458564
2017-09-06 07:00:00,10.99,11.599,11.902000000000001,10.3,3033451.54714479
2017-09-07 07:00:00,11.599,12.79,13.686,10.710999999999999,4025491.08105138
2017-09-08 07:00:00,12.854000000000001,11.444,13.489,10.36,3967701.7334698997
2017-09-09 07:00:00,11.402000000000001,12.305,12.4,10.811,1901587.74353492
2017-09-10 07:00:00,12.312999999999999,11.38,12.395999999999999,10.58,1937700.76514115
2017-09-11 07:00:00,11.4,11.368,12.099,11.0,1369309.75498563
2017-09-12 07:00:00,11.38,11.675999999999998,13.7,10.915999999999999,3456632.98284668
2017-09-13 07:00:00,11.644,10.548,11.68,9.427999999999999,3393341.46245957
2017-09-14 07:00:00,10.527999999999999,8.1,11.142000000000001,7.5520000000000005,5524324.39314621
2017-09-15 07:00:00,8.101,9.995,10.548,6.5,8796127.67795087
2017-09-16 07:00:00,10.0,9.894,10.67,9.21,3251887.90070035
2017-09-17 07:00:00,9.88,9.823,10.345,8.95,2076195.91821207
2017-09-18 07:00:00,9.8299,11.0,11.402999999999999,9.8299,2380911.92101098
2017-09-19 07:00:00,11.0,9.948,11.037,9.6211,1713303.47577623
2017-09-20 07:00:00,9.886000000000001,9.036,9.988999999999999,9.031,1398977.30651641
2017-09-21 07:00:00,9.037,8.06,9.4152,7.61,2787753.20469977
2017-09-22 07:00:00,8.0599,8.6138,8.9423,7.82,2477296.98409812
2017-09-23 07:00:00,8.571,9.0078,9.365,8.3105,1566372.15275645
2017-09-24 07:00:00,8.9647,8.601,9.1499,8.434,937490.62399233
2017-09-25 07:00:00,8.609,10.013,10.469000000000001,8.56,2773054.92883078
2017-09-26 07:00:00,10.013,9.719,10.365,9.616,1140720.8286809
2017-09-27 07:00:00,9.72,10.319,10.599,9.72,1560951.43970938
2017-09-28 07:00:00,10.317,10.453,11.55,10.027999999999999,2367545.4184306
2017-09-29 07:00:00,10.454,9.807,10.665999999999999,8.9,2507800.69014432
2017-09-30 07:00:00,9.78,10.142000000000001,10.349,9.68,1066115.5709545999
2017-10-01 07:00:00,10.142000000000001,9.8628,10.201,9.54,693913.63935637
2017-10-02 07:00:00,9.8637,9.2147,10.048,9.0551,1311372.71684832
2017-10-03 07:00:00,9.1934,9.269,9.3469,8.5,1363335.82808788
2017-10-04 07:00:00,9.2599,8.6701,9.2739,8.5,771861.37702412
2017-10-05 07:00:00,8.6521,8.7988,9.06,8.1707,871606.51658227
2017-10-06 07:00:00,8.8031,8.666,8.9106,8.455,469788.10980462
2017-10-07 07:00:00,8.666,8.5408,8.7857,8.1187,612342.99462697
2017-10-08 07:00:00,8.5475,7.7463,8.65,7.6005,1060540.19390527
2017-10-09 07:00:00,7.7463,7.4845,8.15,6.91,1476447.94266015
2017-10-10 07:00:00,7.4926,8.0865,8.4,7.2753,1051586.8039195
2017-10-11 07:00:00,8.0865,9.2544,9.3663,8.0861,1963066.83967381
2017-10-12 07:00:00,9.2543,8.2303,9.6,8.161,1764395.24780773
2017-10-13 07:00:00,8.2027,8.2917,8.71,8.02,802506.14432203
2017-10-14 07:00:00,8.2917,8.0403,8.3415,8.0,487609.43620694
2017-10-15 07:00:00,8.0403,7.98,8.265,7.6123,762213.9712075
2017-10-16 07:00:00,7.9725,7.8104,8.109,7.6,621996.61374475
2017-10-17 07:00:00,7.8216,7.9351,8.261000000000001,7.6237,894021.79414272
2017-10-18 07:00:00,7.9351,7.7958,8.0949,7.5999,719774.38627975
2017-10-19 07:00:00,7.7998,7.8210000000000015,8.06,7.67,350473.89630728
2017-10-20 07:00:00,7.8420000000000005,7.2643,7.85,7.26,596044.48416842
2017-10-21 07:00:00,7.3026,7.3676,7.45,6.91,498581.80197333
2017-10-22 07:00:00,7.3686,7.64,7.797999999999999,7.3101,542478.71915568
2017-10-23 07:00:00,7.6399,7.65,7.7,7.03,453502.79104521
2017-10-24 07:00:00,7.65,8.1086,8.7099,7.3857,1921337.26044357
2017-10-25 07:00:00,8.124,7.648,8.131,7.5206,589283.60368755
2017-10-26 07:00:00,7.6471,7.6110000000000015,7.816,7.3935,575296.47485908
2017-10-27 07:00:00,7.6201,7.4808,8.1,7.3866,872635.33055674
2017-10-28 07:00:00,7.47,7.1628,7.5572,7.1546,547772.78741435
2017-10-29 07:00:00,7.1546,7.3138,7.5,7.1153,430614.64574816
2017-10-30 07:00:00,7.29,7.244,7.44,7.12,411589.48539441
2017-10-31 07:00:00,7.2429999999999986,6.8205,7.2958,6.8151,744576.63235178
2017-11-01 07:00:00,6.8355,6.0727,6.99,6.01,1941522.77115704
2017-11-02 07:00:00,6.0599,6.2188,6.7155,5.4842,2917913.07775961
2017-11-03 07:00:00,6.2198,6.7089,6.8236,6.09,1106803.84031809
2017-11-04 07:00:00,6.7014,6.4651,6.7783,6.3441,487045.71975040005
2017-11-05 07:00:00,6.4327,6.2666,6.4948,6.1138,443521.05671966
2017-11-06 07:00:00,6.2653,6.4815,6.7,6.181,571268.50580575
2017-11-07 07:00:00,6.4978,6.3192,6.685,6.0451,525036.41805204
2017-11-08 07:00:00,6.313,7.6292,8.2,6.26,3189715.93998089
2017-11-09 07:00:00,7.629,8.0352,8.5,7.513,2214103.97723744
2017-11-10 07:00:00,8.0395,6.9699,8.1359,6.66,2187591.6742292
2017-11-11 07:00:00,6.9697,7.2834,7.58,6.8541,1029844.99775157
2017-11-12 07:00:00,7.2911,6.5713,7.3454,6.01,1680703.14507078
2017-11-13 07:00:00,6.5788,7.51,7.6788,6.5089999999999995,1537002.83216652
2017-11-14 07:00:00,7.51,7.8556,7.9118,7.19,850561.67196469
2017-11-15 07:00:00,7.8556,7.71,8.058,7.25,890218.15150016
2017-11-16 07:00:00,7.71,7.191,7.7294,7.1,652931.78906264
2017-11-17 07:00:00,7.191,7.6301,7.8,7.0820000000000025,858761.72717085
2017-11-18 07:00:00,7.6493,7.9212,8.637,7.3820000000000014,2475306.76787354
2017-11-19 07:00:00,7.9212,7.75,8.24,7.62,798939.59626998
2017-11-20 07:00:00,7.7979,8.03,8.2121,7.75,673076.12979182
2017-11-21 07:00:00,8.03,7.6610000000000005,8.1762,7.5,1109513.84105443
2017-11-22 07:00:00,7.66,7.977,8.0491,7.62,598931.01383519
2017-11-23 07:00:00,7.977,7.651,8.1899,7.651,903092.62081909
2017-11-24 07:00:00,7.6529,7.5851,7.7488,7.36,662145.60012166
2017-11-25 07:00:00,7.6008,8.7703,8.98,7.5646,2547275.93885138
2017-11-26 07:00:00,8.7703,8.5384,8.7703,8.2,1063752.90095195
2017-11-27 07:00:00,8.5123,9.5004,9.55,8.4655,2010267.86431003
2017-11-28 07:00:00,9.5,9.4119,9.9503,8.9001,2080599.69422119
2017-11-29 07:00:00,9.4073,7.8692,9.4489,2.75,3069719.28127535
2017-11-30 07:00:00,7.8692,8.055,8.52,7.0,1693982.37020038
2017-12-01 07:00:00,8.055,8.89,8.99,7.7252,1191215.88651292
2017-12-02 07:00:00,8.88,9.275,9.699,8.5041,1105449.62346737
