MTS,Open,Close,High,Low,Volume
2017-10-10 07:00:00,14.9,12.101,15.0,11.2,24412.14917941
2017-10-11 07:00:00,12.1,12.085,12.5,11.75,57320.66194422
2017-10-12 07:00:00,12.063,11.0,12.329,11.0,47810.19720556
2017-10-13 07:00:00,11.0,10.823,11.095,9.6844,101837.20429638
2017-10-14 07:00:00,10.99,10.559,11.686,10.274,72907.91714735
2017-10-15 07:00:00,10.300999999999998,10.156,10.8,9.7701,60982.47559550001
2017-10-16 07:00:00,10.3,11.402,12.09,9.914,151145.82402339
2017-10-17 07:00:00,11.688,12.0,12.44,10.78,197889.46372826
2017-10-18 07:00:00,12.0,11.32,12.0,10.411,84582.77621276
2017-10-19 07:00:00,11.32,12.12,12.4,11.295,101133.28091031
2017-10-20 07:00:00,12.123,11.065,18.0,10.4,768636.05696235
2017-10-21 07:00:00,11.075,10.802,11.44,10.158,71584.2427987
2017-10-22 07:00:00,10.94,10.3,11.1,10.081,48634.68715877
2017-10-23 07:00:00,10.392,9.57,10.5,9.251,83816.83809830001
2017-10-24 07:00:00,9.576,10.581,11.231,9.111,125969.17589421
2017-10-25 07:00:00,10.585,10.336,10.655,9.8801,103568.58826212
2017-10-26 07:00:00,10.247,10.390999999999998,10.759,10.155,37878.90588888
2017-10-27 07:00:00,10.45,10.186,10.52,9.9,140968.57746093
2017-10-28 07:00:00,10.175,9.9739,10.313,9.6931,40492.814202699985
2017-10-29 07:00:00,9.9567,10.343,10.535,9.701,85641.06353347
2017-10-30 07:00:00,10.291,10.25,10.9,10.041,96798.51301132
2017-10-31 07:00:00,10.251,10.359000000000002,10.8,10.2,83597.51960468
2017-11-01 07:00:00,10.312,9.6583,10.343,9.4611,74969.4184104
2017-11-02 07:00:00,9.7124,9.287,9.8309,8.7001,129417.2114864
2017-11-03 07:00:00,9.437,10.244000000000002,10.244000000000002,9.2814,87833.78494699
2017-11-04 07:00:00,10.243,9.968,10.298,9.7151,65072.00934235
