MTS,open,close,high,low,volume
2018-03-01 09:00:00,2.0409,2.041,2.041,2.0409,30.0
2018-03-01 10:00:00,2.0191,2.0315,2.0798,2.0107,3886.17619713
2018-03-01 11:00:00,2.0138,2.02,2.0239,2.0138,378.930194
2018-03-01 12:00:00,1.9893,2.0205,2.0205,1.9893,179.02664647
2018-03-01 13:00:00,2.01,2.0331,2.0331,2.0,1542.74446075
2018-03-01 14:00:00,2.0326,2.0446,2.0505,2.0,1560.23057805
2018-03-01 15:00:00,2.0399,2.0234,2.0399,2.0,877.33024414
2018-03-01 16:00:00,2.0001,2.0303,2.0303,2.0001,614.98
2018-03-01 17:00:00,2.0282,2.0268,2.0284,2.0268,660.31373096
2018-03-01 18:00:00,2.0267,2.0466,2.0466,2.026,6092.37875275
2018-03-01 19:00:00,2.0352,2.0518,2.0518,2.0094,147.96912592
2018-03-01 20:00:00,2.0195,2.05,2.05,2.0195,3360.91492311
2018-03-01 21:00:00,2.0568,2.055,2.1199,2.055,3266.54256753
2018-03-01 22:00:00,2.0304,2.0425,2.0425,2.029,408.78412132
2018-03-02 00:00:00,2.0524,2.0524,2.0524,2.0524,13.972
2018-03-02 01:00:00,2.055,2.0506,2.0597,2.0506,137.40701942
2018-03-02 02:00:00,2.0491,2.0419,2.0491,2.0394,228.69816849
2018-03-02 04:00:00,2.0414,2.0384,2.0532,2.022,2438.45737838
2018-03-02 05:00:00,2.0272,2.0272,2.0272,2.0272,7.9460000000000015
2018-03-02 06:00:00,2.0458,2.0234,2.0458,2.0234,89.18918572
2018-03-02 07:00:00,2.0241,2.0477,2.1247,2.02,4508.22342776
2018-03-02 08:00:00,2.0511,2.05,2.0511,2.05,131.1
2018-03-02 09:00:00,2.1094,2.02,2.1094,2.02,550.68386
2018-03-02 10:00:00,2.0201,2.02,2.0477,2.02,2836.91371071
2018-03-02 11:00:00,2.0198,2.0194,2.0201,2.0194,327.40885097
2018-03-02 12:00:00,2.0469,2.0196,2.047,2.0196,70.96
2018-03-02 13:00:00,2.0299,2.02,2.0299,2.02,153.37481774
2018-03-02 14:00:00,2.0195,2.01,2.0199,2.01,2197.04676316
2018-03-02 15:00:00,2.0101,2.02,2.02,2.01,798.01681328
2018-03-02 16:00:00,2.0299,2.0001,2.0299,2.0001,759.90561771
2018-03-02 17:00:00,2.004,2.0003,2.032,2.0001,754.68178622
2018-03-02 18:00:00,2.0022,2.0282,2.0282,2.0005,128.99483003
2018-03-02 19:00:00,2.0252,2.0252,2.0252,2.0252,85.0
2018-03-02 20:00:00,2.0531,2.0531,2.0531,2.0531,24.0
2018-03-02 21:00:00,2.0445,1.972,2.0445,1.972,2756.97870656
2018-03-02 22:00:00,2.0203,1.9791,2.0203,1.9791,19.99409398
2018-03-02 23:00:00,1.9911,2.012,2.012,1.9911,189.21140606
2018-03-03 01:00:00,2.0082,2.0116,2.0116,2.0001,72.00631691
2018-03-03 02:00:00,2.0117,2.02,2.0549,2.0117,176.88156665
2018-03-03 03:00:00,2.0248,2.0213,2.0396,2.0213,246.41492014
2018-03-03 04:00:00,2.0395,2.0395,2.0395,2.0395,143.24208702
2018-03-03 05:00:00,2.0383,2.0394,2.0394,2.0383,145.75098912
2018-03-03 10:00:00,2.0352,2.0227,2.037,2.0,3845.30655157
2018-03-03 11:00:00,2.0185,2.0185,2.0185,2.0185,7.5
2018-03-03 12:00:00,2.01,2.03,2.03,2.01,1754.0
2018-03-03 13:00:00,2.0268,2.0003,2.0268,2.0003,25.9811292
2018-03-03 14:00:00,2.0387,2.0011,2.0387,2.0011,67.20069239
2018-03-03 15:00:00,2.0011,2.0278,2.0278,2.0011,166.01401764
2018-03-03 16:00:00,2.0278,2.0,2.0278,2.0,177.94608608
2018-03-03 17:00:00,1.9999,2.0227,2.0227,1.9835,563.66859759
2018-03-03 19:00:00,1.9819,2.0255,2.0255,1.98,1344.67747678
2018-03-03 20:00:00,2.0112,1.99,2.06,1.983,5141.32302599
2018-03-03 21:00:00,2.0217,1.98,2.0217,1.98,1053.7
2018-03-04 00:00:00,2.0085,2.0185,2.0185,2.0085,35.03
2018-03-04 02:00:00,1.985,1.971,1.985,1.971,1174.81331305
2018-03-04 03:00:00,1.9875,1.9715,1.9875,1.9701,148.95560285
2018-03-04 04:00:00,1.9704,1.955,1.9704,1.955,813.69785545
2018-03-04 05:00:00,1.9569,1.955,1.9569,1.955,54.2
2018-03-04 07:00:00,1.955,1.9417,1.955,1.9417,155.59464455
2018-03-04 10:00:00,2.0088,2.0084,2.0088,2.0084,134.2543564
2018-03-04 15:00:00,1.9484,1.9484,1.9484,1.9484,106.43195714
2018-03-04 16:00:00,1.9702,1.976,1.9959,1.969,1283.56201616
2018-03-04 17:00:00,2.0081,1.9832,2.0082,1.981,431.69733011
2018-03-04 18:00:00,2.0081,2.0349,2.0349,2.0081,842.8919999999997
2018-03-04 19:00:00,2.0349,2.0727,2.0999,1.9793,11500.5697058
2018-03-04 20:00:00,1.9747,1.985,2.0534,1.9736,2139.48
2018-03-04 21:00:00,2.0408,2.0,2.0408,1.9851,201.79311383
2018-03-04 22:00:00,1.9853,2.0,2.0,1.9853,190.58988
2018-03-04 23:00:00,2.0166,2.0169,2.0169,2.0166,1241.2018444
2018-03-05 01:00:00,1.9886,1.9514,1.9886,1.9514,778.9013079
2018-03-05 02:00:00,2.0092,1.9633,2.0997,1.9633,2330.87876556
2018-03-05 03:00:00,2.0662,2.0662,2.0662,2.0662,11.0
2018-03-05 04:00:00,1.9901,1.9901,1.9901,1.9901,14.97
2018-03-05 06:00:00,1.9901,1.99,2.0001,1.99,114.78313011
2018-03-05 07:00:00,1.9901,2.02,2.02,1.99,124.97939698
2018-03-05 08:00:00,1.975,1.975,1.975,1.975,24.8502
2018-03-05 09:00:00,1.9751,1.97,1.9751,1.97,625.06806014
2018-03-05 10:00:00,1.9617,1.9563,2.0168,1.9555,2183.33638625
2018-03-05 11:00:00,1.9668,1.9658,2.0,1.9558,549.08242633
2018-03-05 12:00:00,2.01,1.9686,2.0167,1.9671,2470.18736966
2018-03-05 13:00:00,1.9702,1.9701,1.9702,1.9701,123.14
2018-03-05 14:00:00,2.0074,2.017,2.017,2.0074,222.56734962
2018-03-05 15:00:00,2.0119,2.0119,2.0119,2.0119,80.59701493
2018-03-05 16:00:00,1.9754,1.966,2.0193,1.966,1426.34374732
2018-03-05 17:00:00,2.0198,2.0198,2.0198,1.966,122.57013993
2018-03-05 18:00:00,2.0098,2.0149,2.0149,1.99,700.788716
2018-03-05 19:00:00,1.9913,1.998,1.998,1.97,1055.08870682
2018-03-05 20:00:00,1.9871,1.966,1.9871,1.966,210.08233593
2018-03-05 22:00:00,1.9681,1.9603,1.9681,1.9602,364.08
2018-03-05 23:00:00,1.9602,1.9676,1.9676,1.9556,390.3620253
2018-03-06 00:00:00,1.9556,1.9286,1.9556,1.9201,1654.77934985
2018-03-06 01:00:00,1.9201,1.9001,1.9201,1.9,624.364
2018-03-06 03:00:00,1.9002,1.8927,1.9002,1.8372,1518.7744891
2018-03-06 05:00:00,1.8893,1.8897,1.8897,1.8369,172.02287287
2018-03-06 06:00:00,1.89,1.9115,1.9115,1.89,541.29130517
2018-03-06 07:00:00,1.8369,1.8602,1.8874,1.8367,667.74919559
2018-03-06 09:00:00,1.9166,1.89,1.9186,1.8652,1531.97600728
2018-03-06 10:00:00,1.89,1.8419,1.89,1.8194,2647.84175443
2018-03-06 11:00:00,1.8397,1.777,1.8397,1.7555,9153.85774243
2018-03-06 12:00:00,1.7809,1.6967,1.798,1.6776,2054.35417304
2018-03-06 13:00:00,1.7337,1.8071,1.8553,1.6701,1675.59303623
2018-03-06 14:00:00,1.7739,1.8562,1.8563,1.7529,543.55052598
2018-03-06 15:00:00,1.7526,1.7313,1.7755,1.7313,1696.21005214
2018-03-06 16:00:00,1.7313,1.731,1.7708,1.7,3024.88819746
2018-03-06 17:00:00,1.7708,1.69,1.7708,1.69,2517.28095987
2018-03-06 18:00:00,1.7404,1.7339,1.7404,1.6701,1446.50422437
2018-03-06 19:00:00,1.6801,1.65,1.724,1.64,8721.56089805
2018-03-06 20:00:00,1.65,1.6469999999999998,1.7183,1.6203,11084.71490621
