MTS,open,close,high,low,volume
2017-11-12 13:00:00,241.5,233.83,246.92,231.0,7419.80336042
2017-11-12 16:00:00,233.84,236.09,242.0,231.5,3946.75017765
2017-11-12 19:00:00,236.1,235.0,239.22,227.77,5519.8349367
2017-11-12 22:00:00,235.98,257.0,263.5,234.8,20850.35957071
2017-11-13 01:00:00,257.33,252.08,261.47,245.67,5647.25536174
2017-11-13 04:00:00,251.39,282.08,282.34,241.68,13099.99630162
2017-11-13 07:00:00,282.08,270.83,295.45,255.0,26406.48071989
2017-11-13 10:00:00,270.67,265.72,274.9,255.27,8040.49425472
2017-11-13 13:00:00,267.18,270.03,272.18,251.08,5918.76007474
2017-11-13 16:00:00,271.6,266.4,279.0,264.6,3819.11136796
2017-11-13 19:00:00,266.4,260.8,272.7,259.0,6601.10506424
2017-11-13 22:00:00,260.88,264.39,265.2,260.0,2669.72460365
2017-11-14 01:00:00,264.38,259.86,264.57,252.6,4919.50823758
2017-11-14 04:00:00,259.84,264.33,268.66,259.84,1968.6803561000002
2017-11-14 07:00:00,262.9,264.96,264.99,261.1,1927.08268319
2017-11-14 10:00:00,264.93,265.79,271.38,263.64,3655.37028483
2017-11-14 13:00:00,266.43,265.88,269.46,260.0,3114.79422156
2017-11-14 16:00:00,265.87,265.65,268.22,264.3,1869.23795009
2017-11-14 19:00:00,266.42,266.79,269.0,259.99,4374.9604162
2017-11-14 22:00:00,266.78,269.9,271.38,265.0,2148.09852069
2017-11-15 01:00:00,268.65,274.36,275.0,266.95,2242.20234506
2017-11-15 04:00:00,273.09,269.3,277.63,269.05,3516.25079696
2017-11-15 07:00:00,269.3,272.16,274.69,269.0,3565.21952302
2017-11-15 10:00:00,272.54,272.22,275.45,270.25,1127.41179078
2017-11-15 13:00:00,272.65,272.78,276.28,270.25,1814.35310594
2017-11-15 16:00:00,272.77,276.0,281.94,271.51,5601.66770176
2017-11-15 19:00:00,276.0,285.4,295.0,271.11,14201.83693165
2017-11-15 22:00:00,287.27,278.89,289.46,271.51,6174.32324574
2017-11-16 01:00:00,278.98,277.27,288.9,276.39,3697.65896253
2017-11-16 04:00:00,277.27,288.0,293.85,277.27,5047.21215729
2017-11-16 07:00:00,288.6,303.0,310.0,285.2,14292.19173799
2017-11-16 10:00:00,303.01,305.5,323.69,295.1,24111.45508223
2017-11-16 13:00:00,306.4,297.01,309.33,292.2,11453.36195606
2017-11-16 16:00:00,297.01,288.31,299.17,285.27,8794.15052642
2017-11-16 19:00:00,288.64,297.0,306.49,288.1,11356.29237904
2017-11-16 22:00:00,298.36,302.5,312.1,296.43,9501.93894636
2017-11-17 01:00:00,302.5,301.29,304.9,300.0,1872.55095375
2017-11-17 04:00:00,301.5,294.33,306.48,294.0,6685.68274977
2017-11-17 07:00:00,294.33,289.77,302.02,280.0,8616.9362366
2017-11-17 10:00:00,289.76,291.52,294.7,287.5,1876.35933013
2017-11-17 13:00:00,292.13,289.7,292.42,280.0,2601.95551298
2017-11-17 16:00:00,290.51,289.84,294.14,284.3,1894.9146857
2017-11-17 19:00:00,289.84,291.7,293.67,288.0,1896.80885584
