MTS,Open,Close,High,Low,Volume
2017-07-10 13:00:00,0.28969,0.27498,0.28969,0.26,3426473.08623871
2017-07-10 19:00:00,0.2746,0.25846,0.28,0.2506,3116596.35683323
2017-07-11 01:00:00,0.2561,0.21,0.26508000000000004,0.18367,14933855.27221026
2017-07-11 07:00:00,0.21,0.209,0.2303,0.1951,2293625.00599022
2017-07-11 13:00:00,0.20802,0.217,0.2177,0.184,4513871.36245753
2017-07-11 19:00:00,0.21769,0.218,0.2342,0.205,3431522.50528906
2017-07-12 01:00:00,0.21751,0.1869,0.21915,0.18368,4684503.97894203
2017-07-12 07:00:00,0.18898,0.20142,0.2078,0.1806,1652852.23071106
2017-07-12 13:00:00,0.20321,0.20179,0.21499,0.1976,1568649.93903638
2017-07-12 19:00:00,0.20169,0.2285,0.23,0.19843,3486281.22793728
2017-07-13 01:00:00,0.22851,0.22877,0.2395,0.2141,4348584.96522467
2017-07-13 07:00:00,0.22877,0.2296,0.23896,0.2143,2045993.4480172
2017-07-13 13:00:00,0.2294,0.2196,0.2294,0.213,1177533.88194725
2017-07-13 19:00:00,0.2195,0.20738,0.2274,0.2001,1587325.56623023
2017-07-14 01:00:00,0.207,0.21285,0.2188,0.1875,3310610.0500112013
2017-07-14 07:00:00,0.2129,0.2,0.21307,0.189,1023092.08410825
2017-07-14 13:00:00,0.2,0.1993,0.2055,0.19851,351086.09302532
2017-07-14 19:00:00,0.1986,0.17504,0.20069,0.171,3984039.5669524
2017-07-15 01:00:00,0.175,0.1751,0.1788,0.1602,2310551.64991623
2017-07-15 07:00:00,0.1735,0.15641,0.17626,0.1502,2938303.59112038
2017-07-15 13:00:00,0.15817,0.15685,0.1599,0.1427,3641864.31427638
2017-07-15 19:00:00,0.15685,0.1696,0.17,0.15131,4515917.80944804
2017-07-16 01:00:00,0.16947,0.15824000000000002,0.17600000000000002,0.15632,3356623.41195871
2017-07-16 07:00:00,0.158,0.1635,0.16898,0.15631,888467.55715972
2017-07-16 13:00:00,0.1635,0.1616,0.1666,0.16,1143090.38699673
2017-07-16 19:00:00,0.1616,0.17205,0.173,0.155,2387044.25586149
2017-07-17 01:00:00,0.17206,0.17801,0.188,0.168,6501000.48340892
2017-07-17 07:00:00,0.18012,0.199,0.199,0.1767,2947683.682318
2017-07-17 13:00:00,0.198,0.23708,0.2395,0.1945,6951772.35611616
2017-07-17 19:00:00,0.239,0.258,0.28,0.21,14103889.89586938
2017-07-18 01:00:00,0.26,0.264,0.271,0.22511,7561649.91925557
2017-07-18 07:00:00,0.263,0.27001,0.27181,0.24601,2064103.62893438
2017-07-18 13:00:00,0.27001,0.2884,0.2989,0.265,7059708.63261622
2017-07-18 19:00:00,0.2899,0.2979,0.30908,0.2812,6445687.84238115
2017-07-19 01:00:00,0.2979,0.268,0.31234,0.2651,7659931.16855348
2017-07-19 07:00:00,0.268,0.27591,0.282,0.251,3980478.10290318
2017-07-19 13:00:00,0.2759,0.2674,0.2849,0.265,2375676.78504056
2017-07-19 19:00:00,0.2688,0.24,0.26883,0.2351,5167072.56933145
2017-07-20 01:00:00,0.2392,0.2314,0.245,0.23,3217644.1089239
2017-07-20 07:00:00,0.23499,0.267,0.267,0.2302,2591752.54927222
2017-07-20 13:00:00,0.26715,0.27269,0.2799,0.24511,3528970.70506882
2017-07-20 19:00:00,0.2726,0.28116,0.299,0.26686,7520521.17115801
2017-07-21 01:00:00,0.28116,0.29369,0.3043,0.2735,5516350.40858061
2017-07-21 07:00:00,0.29369,0.2988,0.2993,0.28039000000000003,1683992.15425569
2017-07-21 13:00:00,0.2988,0.292,0.3078,0.285,3583724.59252971
2017-07-21 19:00:00,0.2922,0.2854,0.3,0.28501,2077071.27929201
2017-07-22 01:00:00,0.28551,0.2595,0.2886,0.24524,5641882.59138759
2017-07-22 07:00:00,0.2596,0.26808000000000004,0.27344,0.2596,1156855.97226522
2017-07-22 13:00:00,0.2681,0.258,0.27851,0.257,2594489.64856436
2017-07-22 19:00:00,0.25782,0.27001,0.2706,0.2536,2314221.14820153
2017-07-23 01:00:00,0.27001,0.27158000000000004,0.2738,0.2631,1255083.38969531
2017-07-23 07:00:00,0.27272,0.27474,0.28,0.2699,1432531.00100672
2017-07-23 13:00:00,0.27474,0.261,0.2767,0.2551,2000136.95557691
2017-07-23 19:00:00,0.26098000000000005,0.26888,0.27401,0.26,1390306.76112454
2017-07-24 01:00:00,0.26888,0.2649,0.277,0.2637,1112672.46242866
2017-07-24 07:00:00,0.265,0.24559,0.26691,0.2361,3790810.13226002
2017-07-24 13:00:00,0.24555,0.263,0.263,0.24531,1716419.83441431
2017-07-24 19:00:00,0.26306,0.26176,0.273,0.2571,2082230.72455425
2017-07-25 01:00:00,0.26173,0.26744,0.2719,0.2571,1054503.03142548
2017-07-25 07:00:00,0.26528,0.2611,0.2688,0.257,678608.28436695
2017-07-25 13:00:00,0.26131,0.24055,0.26446,0.2365,2231095.49870897
2017-07-25 19:00:00,0.2452,0.25199,0.25356,0.23866,1443605.13771011
2017-07-26 01:00:00,0.251,0.24999,0.2519,0.23721,1470849.62687587
2017-07-26 07:00:00,0.24999,0.2434,0.2578,0.2409,547668.79803514
2017-07-26 13:00:00,0.2434,0.2708,0.27547,0.2417,1851074.65084704
2017-07-26 19:00:00,0.26901,0.26395,0.2845,0.25751,4469625.07006199
2017-07-27 01:00:00,0.26696,0.2744,0.28,0.26615,846663.51753471
2017-07-27 07:00:00,0.2755,0.2817,0.285,0.27371,1211483.40278013
2017-07-27 13:00:00,0.28167,0.28248,0.2847,0.27507,1413913.2413811
2017-07-27 19:00:00,0.28243,0.28101,0.28248,0.275,1482980.35678506
2017-07-28 01:00:00,0.28101,0.27301,0.28348,0.2711,1811077.86545677
2017-07-28 07:00:00,0.27401,0.27185,0.2765,0.2655,877164.5193077
2017-07-28 13:00:00,0.27011,0.26766,0.27271,0.26202,1009307.78187266
2017-07-28 19:00:00,0.26766,0.26589,0.272,0.26271,485695.08912727
2017-07-29 01:00:00,0.26589,0.2651,0.2745,0.2642,611541.04147961
2017-07-29 07:00:00,0.26571,0.2564,0.2705,0.251,1221920.12230801
2017-07-29 13:00:00,0.2564,0.24833,0.264,0.24301,929341.50468687
2017-07-29 19:00:00,0.24809,0.26002,0.2673,0.24623,947225.62513838
2017-07-30 01:00:00,0.26002,0.27666,0.278,0.255,1302409.26436974
2017-07-30 07:00:00,0.27275,0.26111,0.278,0.255,1364329.53473915
2017-07-30 13:00:00,0.26387,0.2728,0.27345,0.25807,947188.37646313
2017-07-30 19:00:00,0.2729,0.26117,0.2742,0.25638,1801787.82277563
2017-07-31 01:00:00,0.26105,0.25471,0.2646,0.2502,1611288.29257021
2017-07-31 07:00:00,0.255,0.25837,0.259,0.252,302191.8775481
2017-07-31 13:00:00,0.25844,0.25352,0.26,0.251,514807.27972586
2017-07-31 19:00:00,0.25327,0.2538,0.2599,0.25,1161501.96552733
2017-08-01 01:00:00,0.25303000000000003,0.254,0.256,0.244,1088649.0841917
