MTS,Open,Close,High,Low,Volume
2017-08-02 07:00:00,550.0,399.0,693.7,295.11,68625.85302113
2017-08-03 07:00:00,399.0,327.4,435.0,302.1,47078.32185098
2017-08-04 07:00:00,327.4,220.61,354.0,220.5,89324.1941652
2017-08-05 07:00:00,220.61,210.0,277.45,194.66,82920.99872592
2017-08-06 07:00:00,210.0,217.75,222.99,190.1,73262.59262816
2017-08-07 07:00:00,217.44,320.0,370.0,215.0,234359.77865775
2017-08-08 07:00:00,318.64,342.23,387.2,307.5,147981.14758437
2017-08-09 07:00:00,342.05,301.0,348.0,287.0,71551.31871087
2017-08-10 07:00:00,301.8,273.11,312.0,265.0,63680.66038613
2017-08-11 07:00:00,273.85,325.54,351.47,270.01,83198.61582931
2017-08-12 07:00:00,325.21,315.09,345.25,308.0,29060.43735973
2017-08-13 07:00:00,315.08,296.26,318.99,292.14,32150.18599519
2017-08-14 07:00:00,294.72,299.3,331.0,290.45,37095.49901809
2017-08-15 07:00:00,300.45,297.01,307.35,290.0,22115.54908649
2017-08-16 07:00:00,298.29,299.99,311.0,282.0,21965.34441732
2017-08-17 07:00:00,299.92,444.0,451.62,291.1,122889.35711699
2017-08-18 07:00:00,443.99,686.28,774.98,437.1,383621.60282878
2017-08-19 07:00:00,686.28,746.58,972.0,602.02,288306.36639531
2017-08-20 07:00:00,744.25,716.4,851.79,677.0,142787.01702138
2017-08-21 07:00:00,716.57,606.04,749.9,558.16,133308.2264921
2017-08-22 07:00:00,606.36,686.12,736.0,565.89,116810.35572535
2017-08-23 07:00:00,686.53,674.0,711.77,651.0,35554.5953376
2017-08-24 07:00:00,675.0,618.8,704.37,601.0,43998.18563887
2017-08-25 07:00:00,619.1,632.2,664.0,614.39,28990.88103702
2017-08-26 07:00:00,632.2,622.0,638.99,611.1,18170.91454873
2017-08-27 07:00:00,622.87,615.0,653.04,581.23,37254.26210515
2017-08-28 07:00:00,614.33,590.7,628.28,574.25,17313.71132533
2017-08-29 07:00:00,590.7,544.12,597.51,523.06,47332.36134861
2017-08-30 07:00:00,545.08,579.61,618.0,528.97,50957.62888761
2017-08-31 07:00:00,579.39,593.32,609.93,567.0,25722.5996678
2017-09-01 07:00:00,593.54,628.01,656.99,586.0,36899.35872048
2017-09-02 07:00:00,628.0,572.0,646.53,561.6,34959.00227082
2017-09-03 07:00:00,572.0,610.71,623.31,555.24,25053.6256586
2017-09-04 07:00:00,610.5,518.98,612.43,497.14,44197.13546473
2017-09-05 07:00:00,518.94,545.0,559.98,470.1,38643.12083659
2017-09-06 07:00:00,543.64,644.51,657.7,532.08,53114.83534706
2017-09-07 07:00:00,645.99,665.94,719.0,599.35,56524.71538808
2017-09-08 07:00:00,666.99,604.0,698.25,571.31,54743.64283123
2017-09-09 07:00:00,604.77,586.99,610.47,565.53,19373.17762443
2017-09-10 07:00:00,584.75,557.8,587.24,523.3,24701.45795216
2017-09-11 07:00:00,557.8,555.0,589.0,550.0,14304.35484046
2017-09-12 07:00:00,554.91,538.98,578.43,528.8,15877.51483507
2017-09-13 07:00:00,535.63,505.96,537.0,470.5,37152.84304616
2017-09-14 07:00:00,504.99,386.77,517.42,385.5,58817.5192061
2017-09-15 07:00:00,388.9,429.77,455.28,300.01,135457.78212861
2017-09-16 07:00:00,428.09,443.29,470.77,409.71,45483.09685613
2017-09-17 07:00:00,442.78,438.34,451.0,407.06,18254.42393917
2017-09-18 07:00:00,438.77,487.65,494.7,438.77,37119.22552995
2017-09-19 07:00:00,487.03,531.49,549.0,454.22,49044.98081032
2017-09-20 07:00:00,528.73,477.9,530.0,472.7,53004.59626566
2017-09-21 07:00:00,477.91,415.8,484.9,412.0,35244.93514832
2017-09-22 07:00:00,415.8,409.5,435.39,392.25,35628.7250898
2017-09-23 07:00:00,409.64,429.92,436.42,403.01,17293.755045200003
2017-09-24 07:00:00,430.59,421.0,435.99,415.0,20916.91257115
2017-09-25 07:00:00,421.68,451.3,458.35,420.2,31351.54002301
2017-09-26 07:00:00,451.3,450.0,466.21,448.99,17950.53747009
2017-09-27 07:00:00,450.48,463.0,470.0,435.96,42630.71585755
2017-09-28 07:00:00,463.93,458.0,484.9,439.18,42113.2174547
2017-09-29 07:00:00,457.92,441.67,459.96,430.33,25940.35540426
2017-09-30 07:00:00,442.04,437.43,455.89,433.4,34988.33478268
2017-10-01 07:00:00,436.46,417.8,441.1,416.5,36431.83158659
2017-10-02 07:00:00,417.8,420.0,432.45,409.98,43929.04368867
2017-10-03 07:00:00,420.0,401.01,421.49,393.02,22178.98990673
2017-10-04 07:00:00,401.77,355.85,404.04,350.69,81224.79035992
2017-10-05 07:00:00,355.11,354.49,368.3,343.53,71656.36892697
2017-10-06 07:00:00,354.94,363.62,374.98,352.42,31439.25976919
2017-10-07 07:00:00,363.74,360.0,372.0,354.63,19596.22744351
2017-10-08 07:00:00,359.78,343.67,365.0,334.04,38898.47117390001
2017-10-09 07:00:00,343.99,312.3,343.99,280.1,81675.40505347
2017-10-10 07:00:00,312.54,317.29,350.0,300.54,73749.66069727
2017-10-11 07:00:00,318.06,313.52,320.82,304.13,41382.32271262
2017-10-12 07:00:00,312.89,310.0,331.49,305.26,60344.75964599
2017-10-13 07:00:00,310.21,320.57,324.99,286.11,72990.94977924
2017-10-14 07:00:00,320.08,322.1,328.3,314.46,37351.37099865
2017-10-15 07:00:00,322.27,314.66,323.81,306.17,17077.33009948
2017-10-16 07:00:00,314.97,314.24,318.3,309.11,15021.4168717
2017-10-17 07:00:00,313.69,368.53,397.7,307.5,170783.15855186
2017-10-18 07:00:00,368.62,338.6,374.98,303.44,83423.3521195
2017-10-19 07:00:00,338.36,329.53,339.99,323.51,33076.63919063
2017-10-20 07:00:00,330.48,325.0,334.0,320.0,27065.48733364
2017-10-21 07:00:00,325.4,322.47,334.0,312.0,15662.18432603
2017-10-22 07:00:00,322.58,325.13,358.9,317.59,61338.35437000001
2017-10-23 07:00:00,325.13,312.47,330.35,297.11,41886.4846425
2017-10-24 07:00:00,311.47,322.32,339.0,303.02,49441.42678454
2017-10-25 07:00:00,322.4,328.93,331.81,314.03,19521.69898794
2017-10-26 07:00:00,329.42,335.98,351.0,324.39,47896.30798714
2017-10-27 07:00:00,336.03,364.2,373.5,335.47,87981.27324002
2017-10-28 07:00:00,365.0,416.99,421.15,363.79,124695.64575377
2017-10-29 07:00:00,416.05,452.21,522.95,400.01,323945.58327134
2017-10-30 07:00:00,452.53,444.11,484.0,415.0,133468.97249202
2017-10-31 07:00:00,445.0,435.21,459.26,425.5,56736.97893032
2017-11-01 07:00:00,436.03,532.0,548.6,434.17,176445.21985421
2017-11-02 07:00:00,532.0,573.0,594.5,490.0,231800.25399583
2017-11-03 07:00:00,573.0,626.37,688.33,558.1,250889.87037247
2017-11-04 07:00:00,627.0,614.0,645.0,563.11,167069.26516169
2017-11-05 07:00:00,613.79,626.2,637.8,570.0,106236.09428743
