MTS,Open,Close,High,Low,Volume
2016-11-30 07:00:00,7.649,9.0275,9.5549,7.004,1247.66560251
2016-12-01 07:00:00,9.1124,8.5982,9.1124,8.3579,3251.99547541
2016-12-02 07:00:00,8.5111,8.2119,8.5111,7.9128,4260.38923307
2016-12-03 07:00:00,8.2119,8.1,8.46,8.0774,810.49581715
2016-12-04 07:00:00,8.2,7.76,8.4,7.76,1492.7304732999999
2016-12-05 07:00:00,7.8947,7.7836,8.0658,7.6101,476.80683054
2016-12-06 07:00:00,7.8469,7.3231,7.89,7.0014,2101.99185187
2016-12-07 07:00:00,7.423999999999999,7.8638,7.9799,7.2601,513.06140936
2016-12-08 07:00:00,7.8959,7.7923,8.0058,7.6894,148.73047129
2016-12-09 07:00:00,7.79,7.955,8.01,7.79,14.95733403
2016-12-10 07:00:00,7.974,7.7133,7.9753,7.6501,217.09719796
2016-12-11 07:00:00,7.765,7.9225,8.054,7.72,441.28458717
2016-12-12 07:00:00,7.9149,7.9865,7.9865,7.8251,925.44230691
2016-12-13 07:00:00,8.077,8.169,8.169,7.9298,274.49501767
2016-12-14 07:00:00,8.17,8.4528,8.5499,8.118,2204.7639383
2016-12-15 07:00:00,8.3512,8.4443,8.4897,8.2667,3389.39284572
2016-12-16 07:00:00,8.4443,8.5117,8.5117,8.3814,601.25480638
2016-12-17 07:00:00,8.4722,8.2648,8.4722,8.25,1595.81862253
2016-12-18 07:00:00,8.4173,8.7303,8.85,8.399,883.7671787999999
2016-12-19 07:00:00,8.51,8.7234,8.7234,8.39,326.20584395
2016-12-20 07:00:00,8.7258,8.39,8.7258,8.36,2368.58405021
2016-12-21 07:00:00,8.3636,8.3111,8.6344,8.2,1989.83713446
2016-12-22 07:00:00,8.4624,8.9248,9.47,8.2689,1894.57539553
2016-12-23 07:00:00,8.908999999999997,9.5,9.7,8.8888,2500.50516753
2016-12-24 07:00:00,9.55,9.657,9.7,9.4436,405.43354578
2016-12-25 07:00:00,9.6171,9.7,9.9493,9.2844,3684.46501485
2016-12-26 07:00:00,9.7483,10.25,10.399000000000001,9.7483,3149.63128739
2016-12-27 07:00:00,10.299000000000001,12.619000000000002,13.0,10.151,6375.17852283
2016-12-28 07:00:00,12.835,14.372,14.75,12.048,4350.09160548
2016-12-29 07:00:00,14.0,13.1,14.357999999999999,12.285,1208.70551637
2016-12-30 07:00:00,13.001,12.749,13.3,12.1,627.41589011
2016-12-31 07:00:00,13.0,13.485999999999999,13.92,12.9,444.07848425
2017-01-01 07:00:00,13.648,13.882,14.1,13.45,1380.16845348
2017-01-02 07:00:00,13.886,16.195999999999998,17.4,13.777000000000001,6147.67820701
2017-01-03 07:00:00,16.05,15.692,16.953,14.9,4417.38631634
2017-01-04 07:00:00,16.0,18.364,18.4,15.79,5230.694189800001
2017-01-05 07:00:00,18.070999999999998,15.8,18.6,14.001,7068.40181066
2017-01-06 07:00:00,16.442999999999998,13.875,16.442999999999998,13.364,5972.12462596
2017-01-07 07:00:00,13.843,13.0,13.843,12.25,7695.89239522
