MTS,open,close,high,low,volume
2016-10-29 07:00:00,20000.0,3591.3,20000.0,1411.0,0.20518782
2016-10-30 07:00:00,2798.0,558.0,2799.9,518.2,2.88196192
2016-10-31 07:00:00,585.89,1658.7,2616.5,470.41,22.74971097
2016-11-01 07:00:00,1650.0,1350.0,2498.0,853.0,15.11109076
2016-11-02 07:00:00,1291.0,943.1,1700.0,928.3,23.24580118
2016-11-03 07:00:00,1017.0,993.4,1219.0,914.57,11.85767462
2016-11-04 07:00:00,866.66,620.0,886.21,620.0,4.69982147
2016-11-05 07:00:00,608.0,502.5,650.0,500.1,15.81779368
2016-11-06 07:00:00,502.0,333.0,502.01,327.0,24.55809136
2016-11-07 07:00:00,333.0,241.11,395.09,241.11,10.55213198
2016-11-08 07:00:00,241.11,281.0,298.66,170.1,13.45464089
2016-11-09 07:00:00,310.0,349.9,349.9,226.1,22.93475808
2016-11-10 07:00:00,252.3,221.6,259.9,221.1,9.0825517
2016-11-11 07:00:00,221.21,191.11,232.67,190.1,12.07428835
2016-11-12 07:00:00,191.11,147.0,191.11,147.0,14.6577025
2016-11-13 07:00:00,142.0,117.1,164.89,117.1,31.91095296
2016-11-14 07:00:00,117.1,106.5,144.0,100.01,46.36284183
2016-11-15 07:00:00,101.11,108.12,132.59,100.0,27.53937555
2016-11-16 07:00:00,109.0,95.457,128.75,95.457,27.16783091
2016-11-17 07:00:00,100.01,85.34,104.76,85.34,20.36292299
2016-11-18 07:00:00,85.34,68.71,85.34,67.4,13.79564559
2016-11-19 07:00:00,70.0,63.6,74.5,63.111,30.84181983
2016-11-20 07:00:00,63.8,60.445,65.5,60.445,12.13571659
2016-11-21 07:00:00,60.445,53.303,60.79,53.291,15.03707545
2016-11-22 07:00:00,53.291,56.50100000000001,72.89,50.2,81.00677536
2016-11-23 07:00:00,58.219,77.402,91.577,56.527,89.08082320000004
2016-11-24 07:00:00,79.5,95.0,107.0,68.301,394.69010375
2016-11-25 07:00:00,99.21,90.0,107.7,83.523,159.09484954
2016-11-26 07:00:00,90.0,77.862,100.0,75.111,89.23451224
2016-11-27 07:00:00,76.204,69.0,81.423,65.99600000000001,160.804499
2016-11-28 07:00:00,69.0,72.133,76.29,65.111,57.99379971
2016-11-29 07:00:00,70.889,67.38600000000001,78.055,67.111,154.40206247
2016-11-30 07:00:00,67.38600000000001,67.003,72.275,65.377,82.28857491
2016-12-01 07:00:00,67.101,62.057,68.2,60.31100000000001,157.1685024
2016-12-02 07:00:00,62.16,59.06,65.0,58.922,601.40880257
2016-12-03 07:00:00,58.207,58.868,60.2,57.83600000000001,198.15515512
2016-12-04 07:00:00,58.868,57.342,61.899,56.95,645.1413317
2016-12-05 07:00:00,57.394,53.756,59.098,53.756,948.1947724
2016-12-06 07:00:00,53.756,47.785,59.889,46.201,870.92310856
2016-12-07 07:00:00,48.794,55.0,61.878,46.83600000000001,232.43790145
2016-12-08 07:00:00,55.154,52.841,57.31,52.201,74.76875265
2016-12-09 07:00:00,52.495,49.429,52.495,48.504,28.59363608
2016-12-10 07:00:00,49.49,48.291,50.282,47.227,14.87120956
2016-12-11 07:00:00,48.418,47.907,50.143,47.804,4.90432661
2016-12-12 07:00:00,47.889,48.435,50.0,47.889,34.90515619
2016-12-13 07:00:00,49.023,46.111,49.96,46.111,84.83279304
2016-12-14 07:00:00,46.25,43.479,46.757,42.172,91.64622639
2016-12-15 07:00:00,42.933,39.55,44.354,39.118,25.07819526
2016-12-16 07:00:00,39.547,39.922,41.605,39.406,5.01635218
2016-12-17 07:00:00,39.94300000000001,35.61400000000001,40.153,35.408,24.13848513
2016-12-18 07:00:00,35.617,36.349,40.0,34.6,11.47455207
2016-12-19 07:00:00,36.08,34.001999999999995,37.209,33.519,87.45940839
2016-12-20 07:00:00,34.072,35.61400000000001,39.99800000000001,34.072,260.7534534
2016-12-21 07:00:00,35.54400000000001,35.961,39.152,35.111999999999995,67.97751748
2016-12-22 07:00:00,35.592,46.881,47.889,35.592,491.07469348
2016-12-23 07:00:00,47.514,51.14100000000001,63.199,44.7,445.76768836
2016-12-24 07:00:00,51.111,47.02,54.0,46.697,98.85731489
2016-12-25 07:00:00,47.02,45.377,48.32100000000001,42.701,37.41058793
2016-12-26 07:00:00,45.335,42.574,46.687,41.219,28.02282604
2016-12-27 07:00:00,42.301,43.401,47.508,41.401,46.54962859
2016-12-28 07:00:00,43.327,47.929,54.6,43.11600000000001,215.47343669
2016-12-29 07:00:00,48.249,50.397,52.799,48.249,118.94285625
2016-12-30 07:00:00,50.397,50.027,51.732,49.503,94.44024765
2016-12-31 07:00:00,50.0,47.676,60.0,47.601000000000006,70.13336612
2017-01-01 07:00:00,47.69300000000001,48.06399999999999,50.699,47.558,66.29293702
2017-01-02 07:00:00,48.06399999999999,49.099,50.996,47.824,206.93220039
2017-01-03 07:00:00,49.00100000000001,49.159,51.598,47.701,83.96375881
2017-01-04 07:00:00,48.684,55.0,55.0,48.684,146.08418835
2017-01-05 07:00:00,55.0,47.849,56.51,44.111,590.45056845
2017-01-06 07:00:00,49.53,46.6,50.889,44.901,130.42129922
2017-01-07 07:00:00,47.0,46.547,47.398,43.6,103.59961156
2017-01-08 07:00:00,46.479,46.2,48.315,45.65,114.77180668
2017-01-09 07:00:00,46.2,46.01,47.081,46.01,505.24365326
2017-01-10 07:00:00,46.01,45.347,46.301,44.9,487.63932764
2017-01-11 07:00:00,45.25100000000001,40.331,46.294,40.0,365.62256034
2017-01-12 07:00:00,40.0,43.393,45.889,39.301,119.44928319
2017-01-13 07:00:00,42.51,43.952,44.499,42.378,61.85713098
2017-01-14 07:00:00,42.88,43.225,44.386,42.537,277.76439479
2017-01-15 07:00:00,43.017,44.61600000000001,45.19,42.951,58.63150913
2017-01-16 07:00:00,44.413,43.807,46.357,43.229,99.89526361
2017-01-17 07:00:00,43.35,44.11,45.407,43.35,85.10503220000003
2017-01-18 07:00:00,44.21100000000001,43.302,44.4,41.94300000000001,582.9400906000002
2017-01-19 07:00:00,43.543,44.092,44.261,42.938,55.48956611
2017-01-20 07:00:00,44.234,43.202,44.234,43.027,8.40313262
2017-01-21 07:00:00,43.21100000000001,43.42,44.8,43.06399999999999,138.44616882
2017-01-22 07:00:00,43.822,43.499,44.679,42.838,128.65903383
2017-01-23 07:00:00,43.49,43.105,43.955,42.67,27.49680566
2017-01-24 07:00:00,42.67,40.894,43.33,40.894,111.35234319
2017-01-25 07:00:00,41.433,39.531,41.9,39.531,448.45520262
2017-01-26 07:00:00,40.163,38.165,41.463,36.912,255.05693291
2017-01-27 07:00:00,37.876,38.192,40.0,37.8,302.94407488
2017-01-28 07:00:00,38.011,38.055,38.944,38.01,143.47380619
2017-01-29 07:00:00,38.055,38.23,41.073,38.055,115.24258305
2017-01-30 07:00:00,38.2,39.619,40.299,38.2,124.09696606
2017-01-31 07:00:00,39.897,39.3,40.5,38.847,385.18048921
2017-02-01 07:00:00,39.3,39.501,40.0,39.0,162.98801298
2017-02-02 07:00:00,39.908,39.0,39.908,38.86,26.794836100000005
2017-02-03 07:00:00,38.86,38.209,39.089,37.253,414.38478225
2017-02-04 07:00:00,38.581,38.637,39.046,37.839,178.58729456
2017-02-05 07:00:00,39.145,37.257,39.145,37.254,357.03906606
2017-02-06 07:00:00,37.761,36.732,38.5,36.732,386.35280667
2017-02-07 07:00:00,36.732,36.305,37.287,34.946,564.11777278
2017-02-08 07:00:00,36.33,35.0,36.528,34.133,464.86035596
2017-02-09 07:00:00,34.7,32.781,38.0,32.0,2405.46965692
2017-02-10 07:00:00,32.723,32.444,33.195,32.0,219.02193447
2017-02-11 07:00:00,33.154,32.7,33.384,32.12,46.35198106
2017-02-12 07:00:00,32.467,31.501,32.595,31.501,896.89838042
2017-02-13 07:00:00,31.445,30.4,34.076,30.4,1180.84418357
2017-02-14 07:00:00,30.4,32.88,32.88,30.4,769.36915169
2017-02-15 07:00:00,32.429,33.9,35.1,31.29,635.98639239
2017-02-16 07:00:00,33.82,32.751999999999995,34.561,32.751999999999995,709.65682529
2017-02-17 07:00:00,32.666,32.05,33.161,31.604,310.72221731
2017-02-18 07:00:00,32.279,30.763,32.367,30.763,914.42374747
2017-02-19 07:00:00,30.745,30.512,31.46,30.5,301.59574917
2017-02-20 07:00:00,30.512,31.33,31.989,30.4,432.22612126
2017-02-21 07:00:00,31.15,30.01,31.199,30.01,453.61087097
2017-02-22 07:00:00,30.01,27.112,30.227,27.01,1042.27772315
2017-02-23 07:00:00,27.217,30.275,33.89,26.303,2539.06536125
2017-02-24 07:00:00,30.451,30.017,32.4,28.01,1491.55741672
2017-02-25 07:00:00,30.119,29.0,31.0,28.47,446.89123694
