MTS,open,close,high,low,volume
2018-02-03 20:00:00,1.7939,1.91,1.9313,1.7788,92263.78022713
2018-02-03 21:00:00,1.9165,1.95,1.9887,1.864,155249.90301394
2018-02-03 22:00:00,1.9501,1.8714,1.984,1.861,118969.16950366
2018-02-03 23:00:00,1.8713,1.92,1.9469,1.8419,59556.02418826
2018-02-04 00:00:00,1.9026,1.85,1.9438,1.8478,17987.02289317
2018-02-04 01:00:00,1.8479,1.9002,1.9102,1.8419,21016.76741033
2018-02-04 02:00:00,1.9102,1.8683,1.915,1.8231,43866.78218013
2018-02-04 03:00:00,1.8722,1.8654,1.9199,1.8654,24222.39332412
2018-02-04 04:00:00,1.878,1.779,1.878,1.77,62280.02629436
2018-02-04 05:00:00,1.7915,1.8239,1.8941,1.77,70980.47390477
2018-02-04 06:00:00,1.7934,1.8196,1.8553,1.79,14821.70242812
2018-02-04 07:00:00,1.8184,1.8612,1.8725,1.8184,6267.05187237
2018-02-04 08:00:00,1.8528,1.85,1.8825,1.85,2862.82946553
2018-02-04 09:00:00,1.8451,1.7835,1.8497,1.7804,18923.22146085
2018-02-04 10:00:00,1.794,1.9412,1.9412,1.794,43374.51608537
2018-02-04 11:00:00,1.9412,1.945,1.945,1.9071,5299.5578398
2018-02-04 12:00:00,1.94,1.97,1.9999,1.94,18821.95420904
2018-02-04 13:00:00,1.9699,1.95,2.0,1.95,26039.82553744
2018-02-04 14:00:00,1.951,1.8623,1.951,1.8623,29321.56403492
2018-02-04 15:00:00,1.8716,1.8301,1.878,1.8197,18099.33306611
2018-02-04 16:00:00,1.835,1.8182,1.8499,1.78,71128.07299109
2018-02-04 17:00:00,1.8206,1.8021,1.8383,1.7613,21685.91996477
2018-02-04 18:00:00,1.79,1.79,1.8464,1.7841,19602.14142055
2018-02-04 19:00:00,1.79,1.8111,1.8111,1.7201,73122.44879960001
2018-02-04 20:00:00,1.8,1.7509,1.83,1.7283,15878.60133011
2018-02-04 21:00:00,1.7526,1.68,1.7998,1.68,31522.65286064
2018-02-04 22:00:00,1.6780000000000002,1.6905,1.744,1.675,56475.46654833
2018-02-04 23:00:00,1.7266,1.6869,1.7564,1.675,21074.78081647
2018-02-05 00:00:00,1.6939,1.7666,1.7968,1.6939,26336.729622
2018-02-05 01:00:00,1.7695,1.6921,1.7981,1.69,26279.33955777
2018-02-05 02:00:00,1.6931,1.6,1.6931,1.6,82367.78548437
2018-02-05 03:00:00,1.6184,1.5832,1.626,1.5,199112.2016637
2018-02-05 04:00:00,1.597,1.582,1.6263,1.56,43391.04484404
2018-02-05 05:00:00,1.581,1.6269,1.6955,1.56,39489.35883794
2018-02-05 06:00:00,1.6319,1.6039,1.6780000000000002,1.59,18738.01553176
2018-02-05 07:00:00,1.6001,1.62,1.639,1.6,20251.28877971
2018-02-05 08:00:00,1.62,1.6991,1.6992,1.61,67318.72300917
2018-02-05 09:00:00,1.6606,1.61,1.6927,1.57,38883.75074475
2018-02-05 10:00:00,1.6129,1.67,1.693,1.6129,18814.22352673
2018-02-05 11:00:00,1.67,1.682,1.6936,1.665,11108.104855
2018-02-05 12:00:00,1.6869999999999998,1.705,1.7293,1.6869999999999998,9057.96800376
2018-02-05 13:00:00,1.7281,1.685,1.7292,1.685,11625.77387935
2018-02-05 14:00:00,1.6868,1.65,1.7038,1.65,25639.83195397
2018-02-05 15:00:00,1.65,1.6,1.654,1.5789,24784.59479162
2018-02-05 16:00:00,1.5811,1.6098,1.6368,1.5782,72142.42176337
2018-02-05 17:00:00,1.607,1.38,1.6130000000000002,1.3428,249230.38171006
2018-02-05 18:00:00,1.389,1.4115,1.4676,1.3545,108087.05381260002
2018-02-05 19:00:00,1.4115,1.445,1.475,1.4064,106109.90440059
2018-02-05 20:00:00,1.4389,1.4346,1.4606,1.4055,49249.55971135
2018-02-05 21:00:00,1.4391,1.2712,1.4409,1.2665,174915.28910761
2018-02-05 22:00:00,1.2811,1.3,1.35,1.23,203147.49106289
2018-02-05 23:00:00,1.3,1.2199,1.344,1.2,101696.6662446
2018-02-06 00:00:00,1.214,1.181,1.2394,1.175,111892.50241032
2018-02-06 01:00:00,1.181,1.196,1.2505,1.175,195420.74060085
2018-02-06 02:00:00,1.197,1.15,1.2132,1.145,130014.44214085
2018-02-06 03:00:00,1.145,1.293,1.3532,1.145,206582.60686434
2018-02-06 04:00:00,1.277,1.215,1.2861,1.16,92985.21983398
2018-02-06 05:00:00,1.2081,1.15,1.275,1.15,111984.05620075
2018-02-06 06:00:00,1.15,1.151,1.1947,1.1414,48611.84875277
2018-02-06 07:00:00,1.151,1.1762,1.2499,1.15,112825.51053026
2018-02-06 08:00:00,1.1873,1.04,1.1979,1.04,88814.30266526
2018-02-06 09:00:00,1.04,1.0,1.106,1.0,131360.41111468
2018-02-06 10:00:00,1.0,0.983,1.0001,0.965,114829.37037767
2018-02-06 11:00:00,0.983,1.0179,1.0707,0.965,96653.15485152
2018-02-06 12:00:00,1.0048,1.1657,1.25,1.0048,215654.70644064
2018-02-06 13:00:00,1.1989,1.0714,1.2039,1.02,268559.59453443
2018-02-06 14:00:00,1.0701,1.0141,1.1001,0.98043,179906.48736688
2018-02-06 15:00:00,1.0294,1.0663,1.1103,1.025,96371.4718243
2018-02-06 16:00:00,1.0601,1.178,1.2597,1.0446,248804.27147957
2018-02-06 17:00:00,1.1797,1.165,1.25,1.13,152343.6070494
2018-02-06 18:00:00,1.17,1.1017,1.1878,1.039,131265.94182302
2018-02-06 19:00:00,1.1017,1.1759,1.1899,1.075,128786.56271526
2018-02-06 20:00:00,1.169,1.2689,1.3,1.1463,182014.18195052
2018-02-06 21:00:00,1.2689,1.29,1.311,1.2,179112.87125923
2018-02-06 22:00:00,1.289,1.3119999999999998,1.404,1.2261,198590.58006837
2018-02-06 23:00:00,1.3130000000000002,1.2463,1.3472,1.1868,98569.7824225
2018-02-07 00:00:00,1.24,1.2436,1.262,1.17,58218.38932331
2018-02-07 01:00:00,1.244,1.2752,1.3,1.2003,76432.6525359
2018-02-07 02:00:00,1.2847,1.3426,1.43,1.2671,85357.24157692
2018-02-07 03:00:00,1.352,1.3279,1.4252,1.3021,91353.9432391
2018-02-07 04:00:00,1.3279,1.3914,1.4399,1.3214,127250.82177956
2018-02-07 05:00:00,1.3916,1.3355,1.3916,1.3119999999999998,59212.21467737
2018-02-07 06:00:00,1.3424,1.4199,1.4369999999999998,1.34,87290.78189604
2018-02-07 07:00:00,1.4241,1.321,1.4369,1.317,96174.53241398
2018-02-07 08:00:00,1.3277,1.3641,1.3709,1.26,56003.11097399
2018-02-07 09:00:00,1.3594,1.236,1.4,1.215,110240.62930948
2018-02-07 10:00:00,1.2415,1.248,1.28,1.206,116688.79105743
2018-02-07 11:00:00,1.247,1.332,1.3499,1.2203,43451.53830544
2018-02-07 12:00:00,1.33,1.272,1.33,1.2611,40901.36976804
2018-02-07 13:00:00,1.2728,1.3288,1.3288,1.26,41461.24995665
2018-02-07 14:00:00,1.33,1.3788,1.379,1.2793,47250.04516844
2018-02-07 15:00:00,1.3789,1.3430000000000002,1.4,1.3119999999999998,67138.43189353
2018-02-07 16:00:00,1.3462,1.41,1.43,1.3462,75482.39043002
2018-02-07 17:00:00,1.4273,1.6225,1.7099,1.3899,430646.89406164
2018-02-07 18:00:00,1.6298,1.75,1.75,1.6298,177114.84283061
2018-02-07 19:00:00,1.7413,1.78,1.79,1.6725,118532.10717687
2018-02-07 20:00:00,1.7803,1.786,1.9,1.774,230447.85536823
2018-02-07 21:00:00,1.786,1.721,1.8017,1.6749,157806.71293471
2018-02-07 22:00:00,1.7380000000000002,1.6149,1.7819,1.55,295360.09338989
2018-02-07 23:00:00,1.6149,1.6175,1.666,1.556,116387.90214323
2018-02-08 00:00:00,1.6042,1.75,1.8206,1.6,170060.13970732
2018-02-08 01:00:00,1.7556,1.6815,1.78,1.6489,111497.66987756
2018-02-08 02:00:00,1.6796,1.6199,1.7017,1.579,107623.68959369
2018-02-08 03:00:00,1.62,1.6952,1.7671,1.56,132400.91903678
2018-02-08 04:00:00,1.6952,1.707,1.817,1.6491,133919.59188256
2018-02-08 05:00:00,1.69,1.5935,1.7380000000000002,1.5481,130576.74077336
2018-02-08 06:00:00,1.5935,1.32,1.5935,1.2777,412956.72326241
2018-02-08 07:00:00,1.3479,1.42,1.5721,1.331,202099.2739526
2018-02-08 08:00:00,1.47,1.6364,1.69,1.42,109594.73085938
2018-02-08 09:00:00,1.6335,1.61,1.75,1.61,93479.66579606
2018-02-08 10:00:00,1.6236,1.6101,1.6829,1.59,60263.55311691
2018-02-08 11:00:00,1.6101,1.8851,1.9799,1.6101,480539.83061486
2018-02-08 12:00:00,1.8882,1.7897,1.9406,1.61,324384.64479726
2018-02-08 13:00:00,1.789,1.73,1.79,1.61,237843.38299415
2018-02-08 14:00:00,1.73,1.886,1.9019,1.68,350349.25904403
2018-02-08 15:00:00,1.8881,1.7805,1.9019,1.72,176016.53525106
2018-02-08 16:00:00,1.78,1.8678,1.881,1.7202,216636.86513672
2018-02-08 17:00:00,1.8505,1.815,1.95,1.8062,223795.39629412
2018-02-08 18:00:00,1.815,1.78,1.88,1.74,72258.57985843
2018-02-08 19:00:00,1.78,1.8128,1.8699,1.7,175752.02275677
2018-02-08 20:00:00,1.808,1.8091,1.8465,1.7586,87051.00689203
2018-02-08 21:00:00,1.8081,1.7961,1.8328,1.7053,177382.84075068
2018-02-08 22:00:00,1.8147,1.6645,1.8445,1.6645,227552.77417865
2018-02-08 23:00:00,1.68,1.75,1.7741,1.65,160910.97269321
2018-02-09 00:00:00,1.75,1.7196,1.7979,1.671,78169.86782372
2018-02-09 01:00:00,1.7061,1.6856,1.75,1.612,338200.23412251
2018-02-09 02:00:00,1.6813,1.6848,1.7397,1.65,125314.4041049
2018-02-09 03:00:00,1.6848,1.6727,1.7221,1.6702,44497.76603104
2018-02-09 04:00:00,1.6727,1.6501,1.7115,1.6321,105380.02765441
2018-02-09 05:00:00,1.6501,1.702,1.7297,1.6307,214353.55149487
2018-02-09 06:00:00,1.702,1.7464,1.7704,1.632,246958.98285659
2018-02-09 07:00:00,1.72,1.531,1.7591,1.4999,370346.05141257
2018-02-09 08:00:00,1.531,1.6287,1.64,1.5113,202438.07817534
2018-02-09 09:00:00,1.62,1.7,1.7372,1.5431,256389.76798068
