MTS,open,close,high,low,volume
2018-02-03 20:00:00,244.5,249.5,250.75,240.0,764.67540658
2018-02-03 21:00:00,249.48,252.73,256.39,248.02,949.90606201
2018-02-03 22:00:00,252.57,247.2,255.6,246.99,972.67256742
2018-02-03 23:00:00,247.2,250.96,250.96,245.0,655.24440751
2018-02-04 00:00:00,250.99,250.35,253.79,250.23,596.65259349
2018-02-04 01:00:00,250.45,255.0,255.0,248.03,202.47701821
2018-02-04 02:00:00,255.0,254.3,258.95,252.62,1424.58059619
2018-02-04 03:00:00,254.53,254.4,258.68,253.65,562.22156326
2018-02-04 04:00:00,253.81,250.07,254.83,249.28,472.80660478
2018-02-04 05:00:00,250.08,249.72,252.09,246.49,1616.03990306
2018-02-04 06:00:00,249.21,252.01,252.64,247.56,446.58024261
2018-02-04 07:00:00,252.35,248.02,252.68,248.02,739.32590039
2018-02-04 08:00:00,248.72,246.76,251.09,246.76,151.68250027
2018-02-04 09:00:00,246.44,249.12,251.44,246.44,263.44470714
2018-02-04 10:00:00,248.12,253.72,254.61,248.12,196.90983878
2018-02-04 11:00:00,253.87,249.63,254.15,248.64,314.32917215
2018-02-04 12:00:00,250.88,254.35,254.72,250.01,127.11304564
2018-02-04 13:00:00,254.99,255.1,257.8,254.99,541.6085737000002
2018-02-04 14:00:00,255.29,251.1,256.88,250.46,574.23637397
2018-02-04 15:00:00,252.33,248.2,252.49,245.87,1191.58214752
2018-02-04 16:00:00,247.51,237.44,247.56,236.04,918.12265503
2018-02-04 17:00:00,238.31,239.3,241.23,232.59,838.78658561
2018-02-04 18:00:00,239.26,235.46,243.98,234.11,550.66487919
2018-02-04 19:00:00,234.1,230.94,234.1,225.98,1720.62847915
2018-02-04 20:00:00,232.0,230.34,233.73,227.72,760.88325819
2018-02-04 21:00:00,230.5,228.76,235.27,228.0,430.44234135
2018-02-04 22:00:00,228.68,222.67,229.52,219.69,1094.28761949
2018-02-04 23:00:00,222.19,230.38,230.38,220.41,1557.01501637
2018-02-05 00:00:00,230.99,230.38,233.95,229.15,614.03683647
2018-02-05 01:00:00,229.99,229.59,232.59,225.51,996.06945499
2018-02-05 02:00:00,230.04,226.0,230.13,225.09,1286.28367298
2018-02-05 03:00:00,226.0,219.93,226.0,211.37,4117.31246712
2018-02-05 04:00:00,219.24,216.06,220.59,215.37,820.36406599
2018-02-05 05:00:00,215.94,224.95,226.62,215.1,1035.34333436
2018-02-05 06:00:00,225.69,219.65,226.94,217.8,482.79351388
2018-02-05 07:00:00,219.0,218.7,222.27,218.56,166.51952528
2018-02-05 08:00:00,218.88,214.48,218.88,210.0,488.27563401
2018-02-05 09:00:00,214.48,212.51,216.18,208.05,569.34613335
2018-02-05 10:00:00,213.22,214.24,217.79,213.22,363.46862074
2018-02-05 11:00:00,213.01,218.43,219.43,209.5,150.21714542
2018-02-05 12:00:00,217.87,217.0,220.3,217.0,148.63021757
2018-02-05 13:00:00,216.74,212.51,219.66,211.02,599.21086952
2018-02-05 14:00:00,211.66,210.3,213.63,207.49,533.13148645
2018-02-05 15:00:00,210.39,204.4,210.44,203.51,788.68419851
2018-02-05 16:00:00,204.4,203.9,209.75,201.86,710.21808509
2018-02-05 17:00:00,203.06,201.51,205.72,201.51,402.7028577
2018-02-05 18:00:00,201.51,191.48,201.51,191.0,4506.37777365
2018-02-05 19:00:00,191.48,199.43,211.13,190.26,10656.32828907
2018-02-05 20:00:00,199.42,194.06,200.99,192.05,1649.25833584
2018-02-05 21:00:00,194.06,186.03,194.92,185.66,2349.6386434
2018-02-05 22:00:00,186.03,188.52,190.01,182.5,4642.22410546
2018-02-05 23:00:00,188.87,186.0,190.01,185.21,800.55548415
2018-02-06 00:00:00,185.41,180.0,187.39,180.0,2642.72517939
2018-02-06 01:00:00,179.94,176.0,182.71,176.0,7314.60452108
2018-02-06 02:00:00,176.76,167.1,179.23,165.84,4808.62259527
2018-02-06 03:00:00,167.1,187.7,196.18,166.09,7066.04728358
2018-02-06 04:00:00,187.7,189.47,192.7,180.5,2817.84235006
2018-02-06 05:00:00,189.47,178.71,191.66,177.32,2615.46026875
2018-02-06 06:00:00,179.47,180.14,181.59,175.01,1428.21684967
2018-02-06 07:00:00,180.16,181.2,186.27,180.0,1505.75699463
2018-02-06 08:00:00,181.74,165.0,181.8,165.0,1825.71670815
2018-02-06 09:00:00,165.12,162.5,168.63,161.0,3383.458713800001
2018-02-06 10:00:00,162.95,156.19,162.95,153.21,4206.83846885
2018-02-06 11:00:00,156.67,150.5,157.33,150.23,1416.76647789
2018-02-06 12:00:00,150.5,163.78,167.13,150.0,4826.49717262
2018-02-06 13:00:00,163.5,157.27,163.8,154.1,1844.86346363
2018-02-06 14:00:00,156.47,151.54,161.5,150.15,1360.06168895
2018-02-06 15:00:00,151.54,153.12,156.59,151.0,2304.60833006
2018-02-06 16:00:00,152.9,172.01,178.25,152.63,8131.02654866
2018-02-06 17:00:00,172.01,158.01,172.45,157.0,2046.95878507
2018-02-06 18:00:00,159.05,160.3,162.37,155.69,1327.4991352
2018-02-06 19:00:00,160.3,170.77,173.9,159.11,2049.28143392
2018-02-06 20:00:00,170.78,181.7,181.7,170.42,3137.4464242
2018-02-06 21:00:00,181.6,182.43,185.65,176.1,2368.63048722
2018-02-06 22:00:00,182.7,190.7,191.79,179.73,4250.02832246
2018-02-06 23:00:00,190.64,179.77,193.16,176.6,3021.41219904
2018-02-07 00:00:00,179.0,175.91,179.0,172.43,790.64431086
2018-02-07 01:00:00,176.73,187.81,188.26,176.73,1314.9033272
2018-02-07 02:00:00,188.71,202.85,202.91,188.71,2711.75919836
2018-02-07 03:00:00,202.7,201.45,210.26,198.87,2676.1297801
2018-02-07 04:00:00,202.02,209.17,212.95,201.55,1446.67396222
2018-02-07 05:00:00,209.19,205.91,210.33,202.36,1916.66340706
2018-02-07 06:00:00,204.27,209.4,212.88,204.27,1082.53883298
2018-02-07 07:00:00,209.4,208.0,212.17,203.5,554.7251717
2018-02-07 08:00:00,208.0,206.35,210.98,206.05,774.09381224
2018-02-07 09:00:00,207.44,191.31,209.4,191.0,4295.81424833
2018-02-07 10:00:00,191.3,191.27,194.04,189.26,1633.38934527
2018-02-07 11:00:00,191.79,200.36,202.21,190.47,944.16537702
2018-02-07 12:00:00,200.44,201.76,205.67,199.57,2290.79224938
2018-02-07 13:00:00,201.87,200.99,202.01,196.09,1280.68649859
2018-02-07 14:00:00,200.98,208.96,210.0,198.54,1243.14766809
2018-02-07 15:00:00,209.18,207.97,211.99,206.07,1068.81233148
2018-02-07 16:00:00,208.59,217.09,217.46,207.99,1686.10108235
2018-02-07 17:00:00,216.69,217.01,220.77,213.79,1754.26234836
2018-02-07 18:00:00,217.09,214.97,217.38,209.49,2734.96699894
2018-02-07 19:00:00,213.49,220.04,221.43,211.54,1741.42860335
2018-02-07 20:00:00,220.76,221.53,227.21,220.06,1985.50566886
2018-02-07 21:00:00,220.54,220.0,225.0,217.43,1621.75910788
2018-02-07 22:00:00,220.72,215.7,223.24,215.02,1723.31833812
2018-02-07 23:00:00,215.7,215.32,222.43,215.17,3489.50480495
2018-02-08 00:00:00,215.39,229.99,229.99,215.31,3204.46903032
2018-02-08 01:00:00,229.98,229.2,231.52,228.32,1564.46800649
2018-02-08 02:00:00,228.76,224.5,229.72,222.76,1068.11257899
2018-02-08 03:00:00,224.5,226.44,228.0,220.89,1118.67910195
2018-02-08 04:00:00,226.59,225.46,230.53,222.78,713.52433011
2018-02-08 05:00:00,225.44,218.89,225.44,213.19,3972.55806385
2018-02-08 06:00:00,217.88,206.39,217.88,205.0,2208.73674716
2018-02-08 07:00:00,205.49,213.87,216.74,205.49,1979.10743236
2018-02-08 08:00:00,213.47,217.03,221.56,209.19,1479.4298146
2018-02-08 09:00:00,219.0,224.6,226.77,219.0,1057.67592517
2018-02-08 10:00:00,224.82,221.61,224.86,219.52,1335.03526575
2018-02-08 11:00:00,221.61,228.33,229.45,221.61,512.82825345
2018-02-08 12:00:00,228.25,222.35,229.26,222.35,682.2653927
2018-02-08 13:00:00,222.35,222.14,223.45,219.36,510.01300667
2018-02-08 14:00:00,222.8,232.0,232.0,222.41,1263.85852499
2018-02-08 15:00:00,232.0,227.72,233.6,227.72,735.74059662
2018-02-08 16:00:00,228.88,231.99,231.99,227.09,515.51789805
2018-02-08 17:00:00,231.53,238.0,239.0,231.53,1650.1158575
2018-02-08 18:00:00,237.13,239.39,240.99,235.07,2228.35908583
2018-02-08 19:00:00,240.34,242.87,242.87,234.16,1432.5700804
2018-02-08 20:00:00,242.87,238.11,243.62,237.59,805.18247453
2018-02-08 21:00:00,238.12,241.38,243.91,234.04,2080.97680583
2018-02-08 22:00:00,241.88,240.22,243.44,237.01,2620.72330383
2018-02-08 23:00:00,238.36,239.03,239.96,235.15,425.06899363
2018-02-09 00:00:00,239.06,238.11,241.12,236.64,1298.00254028
2018-02-09 01:00:00,238.16,246.01,246.5,236.0,1221.7036624000002
2018-02-09 02:00:00,245.75,252.82,255.41,245.75,1630.01587092
2018-02-09 03:00:00,252.79,250.33,254.77,249.06,1359.3216826
2018-02-09 04:00:00,250.77,245.69,251.9,245.06,1205.75683023
2018-02-09 05:00:00,245.16,247.38,249.82,243.04,669.11211128
2018-02-09 06:00:00,248.2,246.31,248.87,244.75,538.47745172
2018-02-09 07:00:00,246.37,238.52,247.62,236.74,2075.3424301
2018-02-09 08:00:00,238.53,242.38,242.83,236.04,2050.13475298
2018-02-09 09:00:00,242.62,246.99,247.32,241.0,924.53124259
2018-02-09 10:00:00,246.27,244.72,247.32,238.08,865.39459584
2018-02-09 11:00:00,243.21,235.56,244.67,234.01,593.7890541
2018-02-09 12:00:00,235.81,236.88,237.98,230.37,1298.09257817
2018-02-09 13:00:00,236.16,237.27,238.69,234.2,594.5579065000003
2018-02-09 14:00:00,238.11,237.72,240.25,236.98,529.34995961
2018-02-09 15:00:00,237.66,238.25,239.06,233.64,661.82018404
2018-02-09 16:00:00,239.07,244.55,244.89,239.07,1072.59060642
2018-02-09 17:00:00,244.25,242.72,244.91,241.1,368.46937996
2018-02-09 18:00:00,242.0,243.69,245.52,241.38,285.83965576
2018-02-09 19:00:00,243.44,241.08,243.44,240.3,272.29025426
2018-02-09 20:00:00,240.12,240.47,241.59,239.43,536.68084423
2018-02-09 21:00:00,240.0,247.85,249.45,240.0,3076.86706431
2018-02-09 22:00:00,247.85,246.01,249.99,246.0,3015.1439827
2018-02-09 23:00:00,246.02,248.15,248.16,245.49,1261.99936544
2018-02-10 00:00:00,248.15,253.65,257.96,247.06,3392.32486608
2018-02-10 01:00:00,253.62,252.03,257.0,250.66,1323.49944652
2018-02-10 02:00:00,252.06,254.31,256.84,251.78,512.74816485
2018-02-10 03:00:00,255.96,252.49,257.86,252.04,922.13880338
2018-02-10 04:00:00,252.26,252.06,253.35,249.08,464.73282625
2018-02-10 05:00:00,252.06,252.11,253.05,248.08,706.93803037
2018-02-10 06:00:00,252.06,257.7,258.74,252.06,870.08140882
2018-02-10 07:00:00,257.54,265.3,267.42,256.01,3515.86587167
2018-02-10 08:00:00,265.3,259.15,266.99,257.39,1612.31088873
2018-02-10 09:00:00,257.99,262.12,262.99,256.48,477.4087437
2018-02-10 10:00:00,262.34,263.97,266.42,261.35,582.62965646
2018-02-10 11:00:00,262.72,259.46,263.84,259.46,579.85403765
2018-02-10 12:00:00,259.14,262.46,264.25,259.01,274.92777947
2018-02-10 13:00:00,261.5,267.0,267.16,260.82,665.49562129
2018-02-10 14:00:00,267.03,268.75,269.12,263.01,2363.63617304
2018-02-10 15:00:00,266.0,255.0,267.28,255.0,1449.37545668
2018-02-10 16:00:00,254.41,256.81,261.85,251.12,1255.18081948
2018-02-10 17:00:00,256.52,249.47,257.75,248.4,1733.54651939
2018-02-10 18:00:00,248.84,252.82,256.49,248.29,323.67118063
2018-02-10 19:00:00,253.56,253.55,254.23,249.51,439.05747533
2018-02-10 20:00:00,253.93,256.22,257.93,253.89,1184.18354025
2018-02-10 21:00:00,256.35,252.82,258.5,252.2,609.76333493
2018-02-10 22:00:00,252.8,242.82,253.01,241.29,4772.87489705
2018-02-10 23:00:00,243.92,242.61,246.9,240.0,1291.63682127
2018-02-11 00:00:00,240.84,246.65,246.67,240.84,709.58243117
2018-02-11 01:00:00,246.82,244.96,247.1,243.39,275.52315707
2018-02-11 02:00:00,243.73,248.67,249.23,242.37,675.62929114
2018-02-11 03:00:00,248.38,241.0,248.38,240.84,280.872063
2018-02-11 04:00:00,240.84,242.17,243.68,240.0,803.79739268
2018-02-11 05:00:00,242.94,249.13,250.97,242.16,941.87797457
2018-02-11 06:00:00,250.0,246.11,250.74,245.26,1271.81825994
2018-02-11 07:00:00,246.24,241.39,246.24,240.27,632.46760621
2018-02-11 08:00:00,241.25,235.85,241.25,235.28,986.76027677
2018-02-11 09:00:00,236.03,235.36,237.39,234.5,673.9360785
2018-02-11 10:00:00,234.37,225.92,234.53,224.72,1507.23112538
2018-02-11 11:00:00,225.1,223.49,229.25,223.49,353.80451277
2018-02-11 12:00:00,223.49,227.68,229.99,222.69,3149.20365163
2018-02-11 13:00:00,227.78,225.1,227.81,222.3,734.95606112
2018-02-11 14:00:00,224.63,219.15,225.54,218.37,1013.99938735
2018-02-11 15:00:00,219.01,220.27,220.87,216.24,770.55094171
2018-02-11 16:00:00,219.67,224.71,224.77,216.32,1251.23759084
2018-02-11 17:00:00,224.71,225.34,226.53,223.43,633.32257258
2018-02-11 18:00:00,225.71,233.42,234.0,224.8,1786.29463862
2018-02-11 19:00:00,233.45,235.76,237.9,231.46,327.25467571
2018-02-11 20:00:00,236.35,235.6,238.6,231.39,1941.34433965
2018-02-11 21:00:00,235.51,241.74,242.06,233.88,598.37327574
2018-02-11 22:00:00,240.6,239.18,241.66,235.63,620.31543528
2018-02-11 23:00:00,238.06,234.25,241.04,231.76,2101.67305973
2018-02-12 00:00:00,234.25,227.59,237.03,227.43,1731.7959476
2018-02-12 01:00:00,228.0,234.33,234.33,227.4,656.28190912
2018-02-12 02:00:00,233.74,235.5,237.0,232.96,409.16268268
2018-02-12 03:00:00,234.0,233.78,234.97,232.8,86.88220999
2018-02-12 04:00:00,233.66,237.46,237.73,233.48,405.80010445
2018-02-12 05:00:00,237.0,235.38,238.44,234.88,153.39413489
2018-02-12 06:00:00,235.08,227.07,236.73,227.07,844.6467694
2018-02-12 07:00:00,228.61,231.04,233.24,227.85,136.63201807
2018-02-12 08:00:00,232.03,236.32,239.38,229.73,489.24073926
2018-02-12 09:00:00,236.32,243.25,244.16,236.32,1135.71565421
2018-02-12 10:00:00,243.62,242.15,243.97,239.19,446.08097014
2018-02-12 11:00:00,242.25,240.64,243.0,239.02,98.87910755
2018-02-12 12:00:00,240.59,238.27,240.66,236.4,299.11599199
2018-02-12 13:00:00,238.85,238.87,241.16,238.74,53.3760427
2018-02-12 14:00:00,239.83,239.68,242.13,237.85,223.79624482
2018-02-12 15:00:00,240.72,245.41,247.52,240.37,701.0579404
2018-02-12 16:00:00,246.03,246.88,247.24,244.62,284.17330391
2018-02-12 17:00:00,246.7,246.32,247.78,244.5,430.19624871
2018-02-12 18:00:00,247.42,243.32,247.79,242.22,259.60059433
2018-02-12 19:00:00,242.49,247.04,247.86,242.49,580.1800003
2018-02-12 20:00:00,247.3,245.14,247.47,244.24,436.60577853
2018-02-12 21:00:00,245.1,239.89,245.15,239.3,1062.55725406
2018-02-12 22:00:00,240.73,241.24,242.67,239.83,360.82928048
2018-02-12 23:00:00,242.37,243.9,246.4,241.69,499.95428102
2018-02-13 00:00:00,243.9,246.05,246.05,243.02,174.14591397
2018-02-13 01:00:00,246.49,244.8,246.99,242.44,321.18395177
2018-02-13 02:00:00,246.0,247.3,247.3,244.67,268.80411682
2018-02-13 03:00:00,247.66,250.83,252.39,246.54,1120.40960009
2018-02-13 04:00:00,250.83,247.48,250.83,246.05,331.87708632
2018-02-13 05:00:00,247.52,246.73,247.52,244.41,292.75056424
2018-02-13 06:00:00,246.74,246.33,250.27,245.6,781.05688007
2018-02-13 07:00:00,247.01,246.11,248.55,244.72,225.93899741
2018-02-13 08:00:00,246.07,241.38,246.07,241.25,331.27382687
2018-02-13 09:00:00,241.25,239.23,241.88,239.01,396.13946019
2018-02-13 10:00:00,239.65,241.23,242.34,239.65,90.04119087
