MTS,open,close,high,low,volume
2017-10-24 07:00:00,154.0,107.0,180.0,56.0,13602.47632222
2017-10-24 13:00:00,107.1,158.0,200.01,106.7,20936.42801555
2017-10-24 19:00:00,157.44,117.2,157.44,95.0,28775.61644624
2017-10-25 01:00:00,117.2,105.13,117.76,99.0,13990.82527748
2017-10-25 07:00:00,105.13,107.7,110.9,85.9,10672.35753541
2017-10-25 13:00:00,108.0,116.31,136.44,105.59,25802.31273092
2017-10-25 19:00:00,116.31,113.2,120.0,100.0,12431.31216176
2017-10-26 01:00:00,113.2,110.0,119.1,108.3,7096.407404800001
2017-10-26 07:00:00,111.4,119.96,125.14,108.5,7304.03051064
2017-10-26 13:00:00,119.96,111.5,121.54,110.1,7137.72605937
2017-10-26 19:00:00,111.52,111.93,113.1,105.03,11732.54305239
2017-10-27 01:00:00,111.58,114.77,115.0,110.0,4005.60847434
2017-10-27 07:00:00,114.77,111.47,117.2,106.23,5827.06259423
2017-10-27 13:00:00,110.2,106.67,113.18,106.0,4898.61424909
2017-10-27 19:00:00,107.02,100.5,109.5,99.26,8365.5269607
2017-10-28 01:00:00,101.01,102.0,102.48,99.29,2755.49944814
2017-10-28 07:00:00,102.0,91.84,105.0,91.1,4438.69966546
2017-10-28 13:00:00,91.84,96.44,98.6,87.2,4667.08697929
2017-10-28 19:00:00,96.47,93.0,97.259,91.571,2243.54939862
2017-10-29 01:00:00,93.495,97.04,97.99,93.001,1564.47012186
2017-10-29 07:00:00,97.04,103.3,104.01,96.41,4243.99759284
2017-10-29 13:00:00,103.3,110.85,114.4,101.01,6348.86952276
2017-10-29 19:00:00,110.84,111.0,112.34,106.7,6105.93273875
2017-10-30 01:00:00,111.1,115.0,116.68,109.5,6671.84456433
2017-10-30 07:00:00,115.0,111.5,117.39,108.3,5370.88225305
2017-10-30 13:00:00,111.8,114.77,115.0,111.24,2232.83521284
2017-10-30 19:00:00,114.77,111.7,115.0,109.5,3596.1058922
2017-10-31 01:00:00,111.7,111.66,112.92,110.66,1776.06504449
2017-10-31 07:00:00,111.69,115.05,116.48,111.69,1875.94751673
2017-10-31 13:00:00,115.77,116.5,116.5,112.5,3336.67636409
2017-10-31 19:00:00,116.5,130.84,132.0,116.5,19754.05531918
2017-11-01 01:00:00,130.81,149.0,155.0,130.51,39716.83721223
2017-11-01 07:00:00,149.62,145.02,152.71,135.5,16257.81214935
2017-11-01 13:00:00,144.35,142.27,147.98,127.61,16477.29916909
2017-11-01 19:00:00,142.27,137.8,147.7,135.53,7133.06796061
2017-11-02 01:00:00,137.99,130.0,142.48,128.13,9394.52647183
2017-11-02 07:00:00,130.43,131.1,137.02,127.1,5867.13982233
2017-11-02 13:00:00,131.65,116.0,133.21,111.48,12589.02121024
2017-11-02 19:00:00,116.84,128.49,131.1,114.0,6889.58473382
2017-11-03 01:00:00,128.7,120.0,128.7,116.99,5007.79906947
2017-11-03 07:00:00,120.0,119.84,122.68,115.11,3730.38348264
2017-11-03 13:00:00,119.6,119.81,129.5,116.9,7940.38009149
2017-11-03 19:00:00,121.0,119.5,123.21,117.06,5218.36439988
2017-11-04 01:00:00,119.5,120.2,125.0,118.2,3694.42523325
2017-11-04 07:00:00,120.2,119.51,121.98,118.2,1655.18288224
2017-11-04 13:00:00,119.52,125.7,125.79,119.5,2452.1284504
2017-11-04 19:00:00,125.79,135.82,138.7,124.7,11745.52180012
2017-11-05 01:00:00,135.16,137.52,139.43,125.48,7456.45192992
2017-11-05 07:00:00,137.53,137.14,138.5,134.3,2113.67226055
2017-11-05 13:00:00,137.01,149.1,153.32,136.59,12890.12590056
2017-11-05 19:00:00,148.13,161.0,167.0,145.85,18891.40698001
2017-11-06 01:00:00,160.98,164.42,174.49,156.0,16536.24513039
2017-11-06 07:00:00,163.8,164.4,164.86,156.0,4057.2448343
2017-11-06 13:00:00,164.3,163.71,168.57,159.0,5212.24561821
2017-11-06 19:00:00,164.28,147.81,165.3,147.81,9269.85665792
2017-11-07 01:00:00,147.81,145.0,155.0,141.1,8572.41039712
2017-11-07 07:00:00,144.0,151.04,154.0,142.2,1915.15848528
2017-11-07 13:00:00,151.0,155.9,157.3,147.0,3168.71977792
2017-11-07 19:00:00,155.23,149.69,160.0,146.0,7582.74060374
2017-11-08 01:00:00,149.69,151.4,152.8,148.01,2327.34666926
2017-11-08 07:00:00,151.44,153.89,155.0,148.13,3028.55265069
2017-11-08 13:00:00,153.88,154.0,157.0,150.02,4128.71933819
2017-11-08 19:00:00,153.0,147.0,153.9,142.93,6054.07120422
2017-11-09 01:00:00,146.03,131.07,150.0,125.55,25369.82652488
2017-11-09 07:00:00,131.07,140.52,142.62,128.4,7299.21290386
2017-11-09 13:00:00,141.6,133.48,142.0,130.0,6867.96969438
2017-11-09 19:00:00,132.99,136.78,137.4,129.99,4917.48050662
2017-11-10 01:00:00,136.78,151.3,153.6,135.06,13988.27176319
2017-11-10 07:00:00,151.41,158.58,165.0,149.16,9843.02301737
2017-11-10 13:00:00,158.8,166.39,174.9,153.12,19818.00870508
2017-11-10 19:00:00,165.97,156.49,168.9,140.0,21517.98147537
2017-11-11 01:00:00,156.1,190.0,194.9,154.13,27811.21233175
2017-11-11 07:00:00,190.0,256.78,285.0,180.12,49566.59876698
2017-11-11 13:00:00,256.69,273.97,298.88,254.0,37535.44864977
2017-11-11 19:00:00,273.3,362.0,386.0,252.0,72031.11169262
2017-11-12 01:00:00,361.05,400.0,478.0,303.0,111830.9651272
2017-11-12 07:00:00,401.0,412.0,447.99,340.0,34340.43058698
2017-11-12 13:00:00,412.0,341.99,413.0,283.4,48652.09019457
2017-11-12 19:00:00,341.98,321.6,353.99,299.47,20589.24397576
2017-11-13 01:00:00,322.22,252.91,327.02,235.0,42120.98325087
2017-11-13 07:00:00,252.9,208.0,274.8,182.0,18495.28028509
2017-11-13 13:00:00,209.5,255.21,282.04,186.0,34441.47828381
2017-11-13 19:00:00,255.31,237.97,268.34,230.0,17771.29862318
2017-11-14 01:00:00,237.87,240.0,272.23,224.8,18326.03606216
2017-11-14 07:00:00,240.0,219.9,247.0,201.5,17212.76262232
2017-11-14 13:00:00,220.0,212.39,230.5,195.0,17186.54548878
2017-11-14 19:00:00,212.35,200.5,213.87,192.0,17876.51110179
2017-11-15 01:00:00,200.5,173.69,202.26,160.0,23528.17065126
2017-11-15 07:00:00,173.6,190.58,194.0,160.0,16900.07354264
2017-11-15 13:00:00,190.58,176.6,197.5,173.0,12679.78268221
2017-11-15 19:00:00,176.6,173.21,177.89,165.67,12751.683080600002
2017-11-16 01:00:00,173.21,163.6,173.21,160.2,10406.29452355
2017-11-16 07:00:00,163.6,177.0,190.0,161.0,13003.17863801
2017-11-16 13:00:00,177.0,184.0,198.26,172.05,17352.31103163
2017-11-16 19:00:00,183.97,174.0,186.0,169.5,9798.16956513
2017-11-17 01:00:00,174.0,154.8,175.85,151.0,15563.89092754
2017-11-17 07:00:00,154.51,155.74,169.06,152.68,7412.72693565
2017-11-17 13:00:00,155.6,162.3,167.0,152.83,12413.33827435
2017-11-17 19:00:00,162.5,163.41,173.0,160.0,10675.89655157
2017-11-18 01:00:00,165.0,162.91,168.05,161.2,3311.56735921
2017-11-18 07:00:00,163.55,177.6,180.3,162.7,10118.99598746
2017-11-18 13:00:00,176.79,174.6,180.15,170.05,8346.67002052
2017-11-18 19:00:00,174.51,168.43,175.9,166.84,5437.44246708
2017-11-19 01:00:00,169.0,176.2,177.0,167.0,5632.05996593
2017-11-19 07:00:00,176.2,171.0,178.0,170.5,5204.47021125
2017-11-19 13:00:00,171.0,165.0,174.57,163.05,6677.18266146
2017-11-19 19:00:00,164.8,166.44,170.44,164.79,4875.26879665
2017-11-20 01:00:00,166.26,163.99,167.0,160.0,6972.00813884
2017-11-20 07:00:00,162.51,158.7,164.0,156.0,4865.25388193
2017-11-20 13:00:00,158.7,161.0,164.7,156.0,5815.02204262
2017-11-20 19:00:00,161.0,158.1,161.58,158.0,6042.36589298
2017-11-21 01:00:00,158.2,195.0,240.0,150.0,73146.70101471
2017-11-21 07:00:00,194.1,225.03,262.14,181.65,71686.84117742
2017-11-21 13:00:00,225.08,245.0,255.0,207.07,47214.46994289
2017-11-21 19:00:00,244.99,232.02,260.0,222.97,35163.8700807
2017-11-22 01:00:00,233.72,252.0,260.05,227.0,26486.49352744
2017-11-22 07:00:00,251.8,244.9,258.8,243.0,8594.9311153
2017-11-22 13:00:00,244.9,234.8,245.0,231.3,11820.11556156
2017-11-22 19:00:00,234.8,234.46,239.99,216.5,16546.91597511
2017-11-23 01:00:00,234.42,233.2,239.7,230.31,4784.1316876
2017-11-23 07:00:00,233.17,247.5,255.99,232.8,18545.0541107
2017-11-23 13:00:00,247.5,263.0,283.37,244.0,32401.99567684
2017-11-23 19:00:00,261.2,280.74,294.78,261.2,30000.23880919
2017-11-24 01:00:00,280.74,284.5,287.9,272.0,11872.90536919
2017-11-24 07:00:00,284.1,319.0,319.0,274.55,41095.84598603
2017-11-24 13:00:00,319.0,409.0,420.0,291.0,97098.06377185
2017-11-24 19:00:00,408.8,391.41,410.48,370.0,54925.6814507
2017-11-25 01:00:00,391.41,392.3,399.49,361.1,29962.09897448
2017-11-25 07:00:00,392.0,381.3,394.4,368.02,19033.6105162
2017-11-25 13:00:00,381.39,386.0,394.0,378.0,14915.04062704
2017-11-25 19:00:00,385.0,348.05,386.9,346.3,22540.94167702
2017-11-26 01:00:00,350.0,357.05,383.88,319.5,45795.54177373
2017-11-26 07:00:00,357.04,350.0,363.78,345.0,16703.31462884
2017-11-26 13:00:00,349.96,350.47,360.14,335.63,14429.90056815
2017-11-26 19:00:00,350.46,344.5,353.0,340.0,12597.44630185
2017-11-27 01:00:00,345.45,368.27,370.0,330.0,19000.85211444
2017-11-27 07:00:00,367.01,383.0,393.0,357.2,22501.21641601
2017-11-27 13:00:00,383.0,361.95,387.76,346.08,16803.42482216
2017-11-27 19:00:00,361.05,362.03,365.0,350.0,12015.03554745
2017-11-28 01:00:00,364.66,361.91,376.0,359.59,13758.57649162
2017-11-28 07:00:00,361.88,353.22,362.0,351.0,8825.12932362
2017-11-28 13:00:00,353.26,346.0,367.0,345.3,9390.82216727
2017-11-28 19:00:00,345.5,325.95,363.3,325.2,15650.38079579
2017-11-29 01:00:00,325.95,329.4,342.0,321.5,8173.71076176
2017-11-29 07:00:00,329.4,320.9,332.73,303.35,16288.97340833
2017-11-29 13:00:00,320.9,320.26,330.0,310.92,12144.77238917
2017-11-29 19:00:00,321.79,316.97,345.0,309.0,22856.29507156
2017-11-30 01:00:00,316.97,287.0,321.0,277.0,28346.11668626
2017-11-30 07:00:00,287.0,288.47,305.5,282.31,10275.78405802
2017-11-30 13:00:00,290.99,281.5,297.3,271.95,8293.50434385
2017-11-30 19:00:00,281.0,270.54,285.97,254.0,17281.68338825
2017-12-01 01:00:00,270.71,286.2,302.99,264.86,12715.59748171
