MTS,Open,Close,High,Low,Volume
2017-07-10 13:00:00,236.0,233.03,240.3,233.03,187.05999274
2017-07-10 19:00:00,233.03,216.29,233.04,205.06,4713.27902745
2017-07-11 01:00:00,216.19,192.58,216.68,175.0,6968.63163094
2017-07-11 07:00:00,192.59,174.0,199.84,172.7,4912.68588091
2017-07-11 13:00:00,174.0,185.75,186.96,162.0,5005.49891941
2017-07-11 19:00:00,185.66,187.61,200.0,182.39,6062.82771746
2017-07-12 01:00:00,187.57,178.0,187.57,166.1,3950.99744788
2017-07-12 07:00:00,176.5,181.83,183.0,166.0,1859.85152343
2017-07-12 13:00:00,181.82,192.2,195.32,181.17,1772.60035524
2017-07-12 19:00:00,192.4,203.85,203.85,185.97,2015.46159167
2017-07-13 01:00:00,202.7,212.95,218.41,202.39,3406.67202552
2017-07-13 07:00:00,213.93,207.73,215.31,204.56,1021.10365925
2017-07-13 13:00:00,209.49,196.9,209.49,193.0,1778.71096193
2017-07-13 19:00:00,196.98,185.99,203.98,185.99,1050.79253841
2017-07-14 01:00:00,186.01,192.66,196.99,184.05,1224.83936697
2017-07-14 07:00:00,192.41,185.94,194.76,180.01,554.48741472
2017-07-14 13:00:00,184.92,183.9,188.05,183.22,607.34674497
2017-07-14 19:00:00,183.22,167.8,183.22,164.29,2452.93199689
2017-07-15 01:00:00,168.69,177.32,179.7,168.26,1369.36620169
2017-07-15 07:00:00,177.62,165.31,178.4,164.51,1886.4368193
2017-07-15 13:00:00,165.4,163.78,171.27,163.31,1742.56573989
2017-07-15 19:00:00,163.77,168.22,169.99,155.11,2432.88362392
2017-07-16 01:00:00,169.39,161.59,172.97,160.0,1150.76040462
2017-07-16 07:00:00,160.09,160.5,165.96,154.9,2677.37227623
2017-07-16 13:00:00,160.5,147.89,161.39,146.91,3407.60169172
2017-07-16 19:00:00,148.61,157.48,159.99,146.91,4611.1745617
2017-07-17 01:00:00,157.41,167.01,167.99,149.0,2054.47452939
2017-07-17 07:00:00,167.01,165.6,167.14,161.25,1094.60250814
2017-07-17 13:00:00,165.62,167.89,177.82,165.4,2810.62934918
2017-07-17 19:00:00,167.85,173.09,174.0,160.01,4987.26422763
2017-07-18 01:00:00,173.09,180.04,182.11,168.5,2250.61431368
2017-07-18 07:00:00,180.0,178.74,180.6,171.85,1062.293903
2017-07-18 13:00:00,179.24,188.06,189.65,175.0,2124.73533857
2017-07-18 19:00:00,187.79,194.6,199.87,186.05,2858.29685803
2017-07-19 01:00:00,194.7,200.26,225.0,193.5,8299.370857
2017-07-19 07:00:00,199.73,207.0,207.0,186.98,1885.23950844
2017-07-19 13:00:00,205.72,210.33,217.73,205.55,2935.14690656
2017-07-19 19:00:00,210.29,198.74,210.33,195.0,2007.68649072
2017-07-20 01:00:00,198.74,181.0,198.78,180.01,1592.60723713
2017-07-20 07:00:00,183.58,191.05,198.77,183.0,1745.27314418
2017-07-20 13:00:00,190.4,203.8,204.84,182.0,2566.01175902
2017-07-20 19:00:00,203.18,211.0,219.99,199.89,3291.97447059
2017-07-21 01:00:00,210.53,210.96,217.55,205.44,1607.39055442
2017-07-21 07:00:00,210.11,211.07,212.74,203.8,861.32145793
